,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Rocky,2.616719,7.083475000000001,4.466756000000001
1,1,1,1,Deepa Hegde,2.6833869999999997,7.083475000000001,4.4000879999999984
2,2,2,2,News Channel Owner,2.8833910000000005,7.083475000000001,4.2000839999999995
3,3,3,3,Shyam,2.8833910000000005,7.083475000000001,4.2000839999999995
4,4,4,4,Anand Ingalagi,4.450089,7.083475000000001,2.6333860000000007
5,5,5,5,Office Assistant,4.700094,7.083475000000001,2.383381000000001
6,6,6,6,Shyam,7.3834810000000015,16.750335000000003,9.366854000000002
7,7,7,7,News Channel Owner,7.483483,16.750335000000003,9.266852000000004
8,8,8,8,Anand Ingalagi,7.783489,16.750335000000003,8.966846000000004
9,9,9,9,Deepa Hegde,7.783489,16.750335000000003,8.966846000000004
10,10,10,10,Rocky's Mother,8.950178999999997,16.750335000000003,7.8001560000000065
11,11,11,11,Sooryavardhan,9.716861000000002,16.750335000000003,7.033474000000003
12,12,12,12,Young Rocky,11.100222,16.750335000000003,5.650113000000003
13,13,13,13,Inayath Khalil,13.583604999999999,16.750335000000003,3.166730000000003
14,14,14,14,Shetty,13.616939000000002,16.750335000000003,3.133396000000001
15,15,15,15,Anand Ingalagi,16.783669000000003,26.85053700000001,10.066868000000008
16,16,16,16,Sooryavardhan,17.100342,26.85053700000001,9.750195000000009
17,17,17,17,Kamal,17.300345999999998,26.85053700000001,9.550191000000012
18,18,18,18,Rajendra Desai,17.467016,26.85053700000001,9.383521000000009
19,19,19,19,Daya,17.533684,26.85053700000001,9.316853000000009
20,20,20,20,Andrews,17.533684,26.85053700000001,9.316853000000009
21,21,21,21,Guru Pandyan,17.600351999999994,26.85053700000001,9.250185000000016
22,22,22,22,Garuda,17.867024,26.85053700000001,8.98351300000001
23,23,23,23,Inayath Khalil,18.267032,26.85053700000001,8.58350500000001
24,24,24,24,Dilawar,18.400368,26.85053700000001,8.45016900000001
25,25,25,25,Shetty,18.767042,26.85053700000001,8.08349500000001
26,26,26,26,Rocky,19.733728000000006,26.85053700000001,7.116809000000004
27,27,27,27,Rocky,27.00054,35.534044,8.533503999999999
28,28,28,28,Shetty,27.15054300000001,35.534044,8.383500999999992
29,29,29,29,Anand Ingalagi,28.533904000000003,35.534044,7.000139999999997
30,30,30,30,Rocky's Mother,29.26725200000001,35.534044,6.266791999999992
31,31,31,31,Andrews,32.850657000000005,35.534044,2.683386999999996
32,32,32,32,Daya,33.283999,35.534044,2.250045
33,33,33,33,Rocky,35.56737800000001,52.05104100000001,16.483663
34,34,34,34,Andrews,36.117389,52.05104100000001,15.93365200000001
35,35,35,35,Reena,36.900738,52.05104100000001,15.150303000000017
36,36,36,36,Daya,41.6675,52.05104100000001,10.383541000000015
37,37,37,37,Kamal,41.6675,52.05104100000001,10.383541000000015
38,38,38,38,Rocky's Mother,48.38430100000001,52.05104100000001,3.666740000000004
39,39,39,39,Young Anand Ingalagi,52.084375,74.801496,22.717121
