,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Durai,2.183377,4.866764000000001,2.6833870000000006
1,1,1,1,Tony Lee,2.6833869999999997,4.866764000000001,2.183377000000001
2,2,2,2,Velu,2.733388,4.866764000000001,2.1333760000000006
3,3,3,3,Veerasekaran,2.9833930000000004,4.866764000000001,1.8833710000000004
4,4,4,4,Loga,3.1500630000000003,4.866764000000001,1.7167010000000005
5,5,5,5,Seeni,3.1500630000000003,4.866764000000001,1.7167010000000005
6,6,6,6,Seeni,5.0834350000000015,5.783449000000001,0.7000139999999995
7,7,7,7,Durai,5.816783000000001,14.333620000000002,8.516836999999999
8,8,8,8,Kabali,5.916785000000001,14.333620000000002,8.416835
9,9,9,9,Kumudhavalli,7.183477000000001,14.333620000000002,7.150143000000001
10,10,10,10,Ameer Bhai,8.416835,14.333620000000002,5.916785000000001
11,11,11,11,Sampath,8.416835,14.333620000000002,5.916785000000001
12,12,12,12,Kumaran,8.950178999999997,14.333620000000002,5.383441000000005
13,13,13,13,Seeni,11.833570000000002,14.333620000000002,2.50005
14,14,14,14,Jeeva,12.016907000000002,14.333620000000002,2.316713
15,15,15,15,Kabali,14.383621000000002,17.733688,3.3500669999999992
16,16,16,16,Ameer Bhai,14.383621000000002,17.733688,3.3500669999999992
17,17,17,17,Kumaran,14.383621000000002,17.733688,3.3500669999999992
18,18,18,18,Sampath,14.416955000000002,17.733688,3.316733
19,19,19,19,Veerasekaran,17.733688,18.867044000000003,1.1333560000000027
20,20,20,20,Kabali,18.917045,22.21711100000001,3.300066000000008
21,21,21,21,Ameer Bhai,18.917045,22.21711100000001,3.300066000000008
22,22,22,22,Kumaran,18.917045,22.21711100000001,3.300066000000008
23,23,23,23,Kumudhavalli,19.750395,22.21711100000001,2.4667160000000092
24,24,24,24,Sampath,22.21711100000001,23.650473,1.4333619999999918
25,25,25,25,Kabali,22.267112,23.650473,1.3833610000000007
26,26,26,26,Ameer Bhai,22.28377900000001,23.650473,1.366693999999992
27,27,27,27,Jeeva,23.233798000000004,23.650473,0.4166749999999979
28,28,28,28,Kabali,23.683807,27.967226000000004,4.283419000000002
29,29,29,29,Ameer Bhai,23.683807,27.967226000000004,4.283419000000002
30,30,30,30,Jeeva,23.750475,27.967226000000004,4.216751000000002
31,31,31,31,Meena,25.133836,27.967226000000004,2.833390000000005
32,32,32,32,Tiger,25.133836,27.967226000000004,2.833390000000005
33,33,33,33,Kumaran,25.150503000000004,27.967226000000004,2.816723
34,34,34,34,Marthandam,27.417215,27.967226000000004,0.5500110000000014
35,35,35,35,Kabali,28.017227,31.767302000000004,3.7500750000000025
36,36,36,36,Ameer Bhai,28.017227,31.767302000000004,3.7500750000000025
37,37,37,37,Jeeva,28.017227,31.767302000000004,3.7500750000000025
38,38,38,38,Marthandam,28.017227,31.767302000000004,3.7500750000000025
39,39,39,39,Tamilmaaran,28.017227,31.767302000000004,3.7500750000000025
40,40,40,40,Sampath,28.017227,31.767302000000004,3.7500750000000025
41,41,41,41,Marthandam,31.900638000000004,33.817343,1.9167049999999968
42,42,42,42,Kabali,32.233978,33.817343,1.5833650000000006
43,43,43,43,Ameer Bhai,32.283978999999995,33.817343,1.533364000000006
44,44,44,44,Jeeva,32.31731300000001,33.817343,1.5000299999999882
45,45,45,45,Meena,32.433982,33.817343,1.3833610000000007
46,46,46,46,Sampath,32.617319,33.817343,1.2000239999999989
47,47,47,47,Loga,32.983993000000005,33.817343,0.8333499999999958
48,48,48,48,Kabali,33.884011,37.984093,4.100082
49,49,49,49,Loga,33.884011,37.984093,4.100082
50,50,50,50,Ameer Bhai,36.067388,37.984093,1.9167050000000003
51,51,51,51,Jeeva,36.067388,37.984093,1.9167050000000003
52,52,52,52,Kumudhavalli,36.23405800000001,37.984093,1.7500349999999898
53,53,53,53,Sampath,37.067408,37.984093,0.9166850000000012
54,54,54,54,Veerasekaran,37.317413,37.984093,0.6666799999999995
55,55,55,55,Seeni,37.634085999999996,37.984093,0.350006999999998
56,56,56,56,Veerasekaran,38.01742700000001,39.284119,1.2666919999999848
57,57,57,57,Seeni,38.050761,39.284119,1.2333579999999955
58,58,58,58,Yogi,38.467436000000006,39.284119,0.8166829999999905
