,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,HR Department Officer,0.6333460000000001,4.2000839999999995,3.5667380000000004
1,1,1,1,Job Applicant,0.700014,4.2000839999999995,3.5000700000000005
2,2,2,2,Amorous Ex-Collegemate,4.2000839999999995,17.800356,13.600272
3,3,3,3,HR Department Officer,4.566758,17.800356,13.233598
4,4,4,4,Cab Driver,8.816842999999997,17.800356,8.983513000000004
5,5,5,5,PKP,10.083535,17.800356,7.716820999999999
6,6,6,6,PKP's Henchman,10.16687,17.800356,7.633486000000001
7,7,7,7,Job Applicant,18.483703,19.917065,1.4333620000000025
8,8,8,8,Cab Driver,20.017067,25.433842,5.416775000000001
9,9,9,9,Winnings,21.183757000000004,25.433842,4.250084999999999
10,10,10,10,PKP's Henchman,21.183757000000004,25.433842,4.250084999999999
11,11,11,11,Job Applicant,22.35044700000001,25.433842,3.0833949999999923
12,12,12,12,Cab Driver,25.433842,35.100702000000005,9.666860000000003
13,13,13,13,Winnings,27.200544,35.100702000000005,7.900158000000005
14,14,14,14,Job Applicant,27.767222000000004,35.100702000000005,7.3334800000000016
15,15,15,15,Amorous Ex-Collegemate,28.467236000000003,35.100702000000005,6.633466000000002
16,16,16,16,Winnings,35.217371,37.08407500000001,1.8667040000000128
17,17,17,17,Job Applicant,36.400728,37.08407500000001,0.6833470000000119
18,18,18,18,Cab Driver,39.98413300000001,42.85085700000001,2.866724000000005
19,19,19,19,Job Applicant,40.46747600000001,42.85085700000001,2.383381
20,20,20,20,Winnings,42.85085700000001,45.267571999999994,2.4167149999999893
21,21,21,21,Cab Driver,44.717560999999996,45.267571999999994,0.5500109999999978
22,22,22,22,Job Applicant,45.267571999999994,52.55105100000001,7.283479000000009
23,23,23,23,HR Department Officer,47.967626,52.55105100000001,4.5834250000000045
24,24,24,24,Amorous Ex-Collegemate,48.067628000000006,52.55105100000001,4.483423000000002
25,25,25,25,Job Applicant,52.55105100000001,60.51787700000001,7.966826000000005
26,26,26,26,HR Department Officer,52.717721,60.51787700000001,7.8001560000000145
27,27,27,27,Amorous Ex-Collegemate,53.784409,60.51787700000001,6.733468000000018
28,28,28,28,Winnings,56.08445500000001,60.51787700000001,4.433422
29,29,29,29,PKP's Henchman,57.601152000000006,60.51787700000001,2.9167250000000067
30,30,30,30,HR Department Officer,60.56787800000001,61.734568,1.1666899999999956
31,31,31,31,Job Applicant,60.617879,61.734568,1.1166890000000012
32,32,32,32,Winnings,61.78456900000001,65.98465300000001,4.200083999999997
33,33,33,33,PKP's Henchman,62.08457500000001,65.98465300000001,3.9000780000000006
34,34,34,34,Job Applicant,66.10132200000001,69.33471999999999,3.23339799999998
35,35,35,35,Cab Driver,66.151323,69.33471999999999,3.183396999999985
36,36,36,36,Amorous Ex-Collegemate,66.201324,69.33471999999999,3.1333959999999905
37,37,37,37,PKP,66.301326,69.33471999999999,3.033393999999987
38,38,38,38,Winnings,66.401328,69.33471999999999,2.933391999999984
39,39,39,39,Winnings,69.33471999999999,70.418075,1.0833550000000116
40,40,40,40,PKP,69.868064,70.418075,0.5500109999999978
41,41,41,41,Job Applicant,70.75141500000002,72.16811000000001,1.4166949999999898
42,42,42,42,Amorous Ex-Collegemate,70.88475100000002,72.16811000000001,1.28335899999999
43,43,43,43,Cab Driver,71.084755,72.16811000000001,1.0833550000000116
44,44,44,44,Winnings,71.201424,72.16811000000001,0.96668600000001
45,45,45,45,Amorous Ex-Collegemate,72.30144600000001,83.93501200000001,11.633566000000002
46,46,46,46,Job Applicant,72.98479300000002,83.93501200000001,10.95021899999999
47,47,47,47,HR Department Officer,73.184797,83.93501200000001,10.750215000000011
48,48,48,48,Cab Driver,74.81816300000001,83.93501200000001,9.116849000000002
49,49,49,49,PKP's Henchman,76.618199,83.93501200000001,7.31681300000001
50,50,50,50,PKP,77.968226,83.93501200000001,5.966786000000013
51,51,51,51,Amorous Ex-Collegemate,84.16835,90.868484,6.700133999999991
52,52,52,52,HR Department Officer,84.25168500000002,90.868484,6.616798999999973
53,53,53,53,Cab Driver,85.518377,90.868484,5.350106999999994
54,54,54,54,Job Applicant,85.96838600000002,90.868484,4.900097999999971
55,55,55,55,PKP,86.73506800000001,90.868484,4.133415999999983
56,56,56,56,Amorous Ex-Collegemate,90.918485,99.68532700000002,8.766842000000011
57,57,57,57,HR Department Officer,91.00182,99.68532700000002,8.683507000000018
58,58,58,58,Job Applicant,92.35184699999999,99.68532700000002,7.333480000000009
59,59,59,59,Cab Driver,92.518517,99.68532700000002,7.166810000000013
60,60,60,60,PKP,99.885331,104.96876600000002,5.083435000000009
