,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Anjanam Azhagiya Pillai,2.5500510000000003,14.466956,11.916905
1,1,1,1,Smuggler,5.416775,14.466956,9.050180999999998
2,2,2,2,Ravi,7.50015,14.466956,6.966806
3,3,3,3,Meghala,12.400248,14.466956,2.066708
4,4,4,4,Anjanam Azhagiya Pillai,14.483623,32.850657000000005,18.367034000000004
5,5,5,5,Ravi,14.600292,32.850657000000005,18.250365
6,6,6,6,Meghala,17.567018,32.850657000000005,15.283639000000004
7,7,7,7,Anjanam Azhagiya Pillai,32.917325000000005,48.134296000000006,15.216971
8,8,8,8,Meghala,33.400667999999996,48.134296000000006,14.733628000000005
9,9,9,9,Ravi,40.26747200000001,48.134296000000006,7.866823999999994
10,10,10,10,TNEB Officer,41.150822999999995,48.134296000000006,6.983473000000004
11,11,11,11,Anjanam Azhagiya Pillai,48.167629999999996,68.251365,20.083735000000004
12,12,12,12,Meghala,48.167629999999996,68.251365,20.083735000000004
13,13,13,13,Ravi,48.18429700000001,68.251365,20.067068
14,14,14,14,TNEB Officer,60.88455100000001,68.251365,7.366813999999998
15,15,15,15,Smuggler,65.401308,68.251365,2.8500570000000067
16,16,16,16,Smuggler,68.451369,84.185017,15.733648000000002
17,17,17,17,Anjanam Azhagiya Pillai,68.86804400000001,84.185017,15.31697299999999
18,18,18,18,TNEB Officer,77.20154400000001,84.185017,6.9834729999999885
19,19,19,19,Ravi,80.78494900000003,84.185017,3.400067999999976
20,20,20,20,Smuggler,84.33502000000001,99.93533199999999,15.600311999999988
21,21,21,21,Anjanam Azhagiya Pillai,85.45170900000002,99.93533199999999,14.48362299999998
22,22,22,22,Meghala,86.435062,99.93533199999999,13.50027
23,23,23,23,Ravi,86.63506600000002,99.93533199999999,13.300265999999981
24,24,24,24,Anjanam Azhagiya Pillai,100.118669,116.98567299999999,16.86700400000001
25,25,25,25,Smuggler,100.268672,116.98567299999999,16.71700100000001
26,26,26,26,Meghala,100.852017,116.98567299999999,16.133656000000002
27,27,27,27,Ravi,106.135456,116.98567299999999,10.850217
28,28,28,28,Anjanam Azhagiya Pillai,117.00233999999999,134.852697,17.850357000000006
29,29,29,29,Smuggler,119.685727,134.852697,15.166970000000005
30,30,30,30,Meghala,127.98589300000002,134.852697,6.866803999999987
31,31,31,31,Ravi,128.88591100000002,134.852697,5.966785999999987
