,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Pariyerum Perumal,3.750075,14.066948000000002,10.316873
1,1,1,1,Pariyerum Perumal,14.216951000000002,28.050561,13.833609999999995
2,2,2,2,Law College Principal,14.466956,28.050561,13.583605
3,3,3,3,Thatha,16.083655,28.050561,11.966905999999998
4,4,4,4,Pariyan's Senior,18.067028,28.050561,9.983532999999998
5,5,5,5,Sankaralingam,18.183697,28.050561,9.866864
6,6,6,6,Anand,18.3337,28.050561,9.716860999999998
7,7,7,7,Jothi Mahalakshmi,19.767062000000006,28.050561,8.283498999999992
8,8,8,8,Jothi Mahalakshmi,28.050561,42.63418600000001,14.583625000000007
9,9,9,9,Pariyerum Perumal,28.117229,42.63418600000001,14.516957000000007
10,10,10,10,Anand,28.117229,42.63418600000001,14.516957000000007
11,11,11,11,Thatha,33.717341000000005,42.63418600000001,8.916845000000002
12,12,12,12,Pariyerum Perumal,42.63418600000001,55.93445200000001,13.300266
13,13,13,13,Jothi Mahalakshmi,42.684187,55.93445200000001,13.250265000000004
14,14,14,14,Anand,50.517677000000006,55.93445200000001,5.416775000000001
15,15,15,15,Jothi Mahalakshmi,55.93445200000001,71.584765,15.650312999999995
16,16,16,16,Pariyerum Perumal,55.967786,71.584765,15.616979000000008
17,17,17,17,Thatha,56.967806,71.584765,14.616959
18,18,18,18,Jo's Father,59.151182999999996,71.584765,12.433582
19,19,19,19,Anand,59.934532,71.584765,11.650233000000007
20,20,20,20,Pariyerum Perumal,71.76810200000001,86.568398,14.800295999999989
21,21,21,21,Jothi Mahalakshmi,72.018107,86.568398,14.550291
22,22,22,22,Jo's Father,75.801516,86.568398,10.766881999999995
23,23,23,23,Anand,80.81828300000002,86.568398,5.7501149999999805
24,24,24,24,Thatha,86.63506600000002,107.035474,20.40040799999997
25,25,25,25,Pariyerum Perumal,86.701734,107.035474,20.333739999999988
26,26,26,26,Anand,86.701734,107.035474,20.333739999999988
27,27,27,27,Pariyan's Fake Father,87.051741,107.035474,19.983732999999987
28,28,28,28,Jothi Mahalakshmi,87.85175699999998,107.035474,19.183717000000016
29,29,29,29,Sankaralingam,92.985193,107.035474,14.050280999999984
30,30,30,30,Pariyerum Perumal,107.05214099999999,122.685787,15.633646
31,31,31,31,Anand,107.05214099999999,122.685787,15.633646
32,32,32,32,Special Appearance,108.302166,122.685787,14.38362100000002
33,33,33,33,Sankaralingam,116.568998,122.685787,6.116789000000013
34,34,34,34,Jo's Father,119.83573,122.685787,2.8500570000000067
35,35,35,35,Thatha,122.735788,142.069508,19.333720000000028
36,36,36,36,Sankaralingam,123.035794,142.069508,19.033714000000018
37,37,37,37,Pariyerum Perumal,124.985833,142.069508,17.083675
38,38,38,38,Anand,126.919205,142.069508,15.150303000000005
39,39,39,39,Jothi Mahalakshmi,127.30254599999999,142.069508,14.766962000000007
40,40,40,40,Jo's Father,139.70279399999998,142.069508,2.3667140000000297
41,41,41,41,Pariyerum Perumal,142.069508,150.186337,8.116828999999996
42,42,42,42,Jo's Father,142.23617800000005,150.186337,7.950158999999957
43,43,43,43,Sankaralingam,142.23617800000005,150.186337,7.950158999999957
44,44,44,44,Thatha,142.66952,150.186337,7.516817000000002
45,45,45,45,Jothi Mahalakshmi,144.302886,150.186337,5.883451000000008
