,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Amudhavan,3.0500610000000004,12.933591999999999,9.883531
1,1,1,1,Paappa,3.2833989999999997,12.933591999999999,9.650193000000002
2,2,2,2,Amudhavan's Mother,12.350247,12.933591999999999,0.5833450000000013
3,3,3,3,Amudhavan,12.950258999999999,24.30048600000001,11.35022700000001
4,4,4,4,Paappa,13.166929999999999,24.30048600000001,11.13355600000001
5,5,5,5,Amudhavan's Niece,13.550270999999999,24.30048600000001,10.75021500000001
6,6,6,6,Amudhavan's Sister In Law,14.250285000000002,24.30048600000001,10.050201000000008
7,7,7,7,Amudhavan's Mother,16.883671000000003,24.30048600000001,7.416815000000009
8,8,8,8,Amudhavan's Friend,18.517037,24.30048600000001,5.783449000000013
9,9,9,9,Paappa,24.450489,36.88407100000001,12.433582000000012
10,10,10,10,Amudhavan,24.617159,36.88407100000001,12.266912000000012
11,11,11,11,Boat Man,33.750675,36.88407100000001,3.133396000000012
12,12,12,12,Amudhavan,36.934072,49.86766400000001,12.933592000000012
13,13,13,13,Paappa,36.934072,49.86766400000001,12.933592000000012
14,14,14,14,Maid,39.184117,49.86766400000001,10.683547000000011
15,15,15,15,Maid's Husband,41.78416900000001,49.86766400000001,8.083495
16,16,16,16,Vijayalakshmi,43.284199,49.86766400000001,6.583465000000013
17,17,17,17,Boat Man,43.284199,49.86766400000001,6.583465000000013
18,18,18,18,Vijayalakshmi,50.034334,63.30126600000001,13.266932000000011
19,19,19,19,Babu,50.034334,63.30126600000001,13.266932000000011
20,20,20,20,Amudhavan,50.33434000000001,63.30126600000001,12.966925999999999
21,21,21,21,Paappa,55.93445200000001,63.30126600000001,7.366814000000005
22,22,22,22,Amudhavan,63.40126800000001,73.868144,10.466875999999992
23,23,23,23,Babu,63.48460300000001,73.868144,10.383540999999994
24,24,24,24,Vijayalakshmi,63.651272999999996,73.868144,10.216870999999998
25,25,25,25,Paappa,63.651272999999996,73.868144,10.216870999999998
26,26,26,26,Boat Man,73.13479600000002,73.868144,0.7333479999999781
27,27,27,27,Amudhavan,74.60149200000002,91.601832,17.00033999999998
28,28,28,28,Paappa,74.86816400000002,91.601832,16.73366799999998
29,29,29,29,Hospital Nurse,89.43512199999998,91.601832,2.1667100000000232
30,30,30,30,Amudhavan,91.618499,108.968846,17.350347
31,31,31,31,Dr. Dhanapal,91.618499,108.968846,17.350347
32,32,32,32,Paappa,91.951839,108.968846,17.017006999999992
33,33,33,33,Meera,101.818703,108.968846,7.150142999999999
34,34,34,34,House Owner,109.16885,123.585805,14.416955000000002
35,35,35,35,Amudhavan,109.18551699999999,123.585805,14.400288000000005
36,36,36,36,Meera,109.18551699999999,123.585805,14.400288000000005
37,37,37,37,Paappa,111.435562,123.585805,12.150243000000005
38,38,38,38,David,113.085595,123.585805,10.50021000000001
39,39,39,39,Dr. Dhanapal,115.0023,123.585805,8.583505000000002
40,40,40,40,Amudhavan,123.785809,142.73618800000003,18.95037900000001
41,41,41,41,House Owner,124.319153,142.73618800000003,18.417035000000027
42,42,42,42,Meera,124.43582200000002,142.73618800000003,18.30036600000001
43,43,43,43,Paappa,126.485863,142.73618800000003,16.250325000000032
