,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Minister,1.8000360000000002,4.50009,2.700054
1,1,1,1,Commissioner,1.850037,4.50009,2.6500529999999998
2,2,2,2,Durai Singam,2.9667260000000004,4.50009,1.5333639999999995
3,3,3,3,Durai Singam,5.350107,10.116869,4.766761999999999
4,4,4,4,Vidya,5.633446,10.116869,4.483422999999998
5,5,5,5,Subba Rao,8.050161000000001,10.116869,2.0667079999999984
6,6,6,6,Srinivas,8.050161000000001,10.116869,2.0667079999999984
7,7,7,7,Madhusudhana Reddy,10.183537,13.750275000000002,3.5667380000000017
8,8,8,8,Vitthal Prasad,11.316892999999999,13.750275000000002,2.4333820000000017
9,9,9,9,Subba Rao,13.750275000000002,15.633645999999999,1.8833709999999984
10,10,10,10,Constable,13.750275000000002,15.633645999999999,1.8833709999999984
11,11,11,11,Constable Veera,13.900278000000002,15.633645999999999,1.7333679999999991
12,12,12,12,Durai Singam,15.650313,22.11710900000001,6.466796000000008
13,13,13,13,Srinivas,15.666979999999999,22.11710900000001,6.450129000000008
14,14,14,14,Subba Rao,15.683647,22.11710900000001,6.4334620000000085
15,15,15,15,Constable Veera,15.900318000000002,22.11710900000001,6.216791000000009
16,16,16,16,Special Appearance in song,17.217011000000007,22.11710900000001,4.900098000000003
17,17,17,17,Constable,22.11710900000001,24.70049400000001,2.583385
18,18,18,18,Constable Veera,22.11710900000001,24.70049400000001,2.583385
19,19,19,19,Vidya,22.200444,24.70049400000001,2.5000500000000088
20,20,20,20,Durai Singam,22.717121,24.70049400000001,1.983373000000011
21,21,21,21,Subba Rao,22.717121,24.70049400000001,1.983373000000011
22,22,22,22,Kavya,23.800476000000003,24.70049400000001,0.9000180000000064
23,23,23,23,Constable Veera,24.717160999999997,29.483923000000004,4.766762000000004
24,24,24,24,Durai Singam,24.73382800000001,29.483923000000004,4.7500949999999955
25,25,25,25,Vidya,24.867164,29.483923000000004,4.616759000000002
26,26,26,26,Madhusudhana Reddy,27.883891,29.483923000000004,1.600032000000006
27,27,27,27,Constable Veera,29.483923000000004,38.567438,9.083514999999998
28,28,28,28,Durai Singam,30.317273000000004,38.567438,8.250164999999999
29,29,29,29,Subba Rao,30.317273000000004,38.567438,8.250164999999999
30,30,30,30,Srinivas,30.33394,38.567438,8.233497999999999
31,31,31,31,Vidya,30.417275000000004,38.567438,8.150163000000001
32,32,32,32,Kavya,31.433962000000005,38.567438,7.133475999999997
33,33,33,33,Kavya's Father,33.750675,38.567438,4.816763000000002
34,34,34,34,TN Home Minister,33.750675,38.567438,4.816763000000002
35,35,35,35,Durai Singam's Father,33.750675,38.567438,4.816763000000002
36,36,36,36,Dhanalakshmi,33.800676,38.567438,4.766762
37,37,37,37,Kavya's Mother,33.884011,38.567438,4.683427000000002
38,38,38,38,Kavya's Grandfather,33.900678000000006,38.567438,4.6667599999999965
39,39,39,39,TN Home Minister,38.600772000000006,40.784149000000006,2.183377
40,40,40,40,Durai Singam,38.700773999999996,40.784149000000006,2.083375000000004
41,41,41,41,Kavya,38.884111,40.784149000000006,1.9000380000000088
42,42,42,42,Subba Rao,39.417455,40.784149000000006,1.3666940000000096
43,43,43,43,Srinivas,39.73412800000001,40.784149000000006,1.050020999999994
44,44,44,44,Commissioner,40.784149000000006,46.034254,5.250104999999991
45,45,45,45,Commissioner's wife,40.80081600000001,46.034254,5.233437999999985
46,46,46,46,Durai Singam,40.80081600000001,46.034254,5.233437999999985
47,47,47,47,Subba Rao,40.80081600000001,46.034254,5.233437999999985
48,48,48,48,Constable Veera,42.71752100000001,46.034254,3.316732999999985
49,49,49,49,Srinivas,42.71752100000001,46.034254,3.316732999999985
50,50,50,50,Murali,42.950859,46.034254,3.083394999999996
51,51,51,51,Durai Singam,46.050921,49.31765300000001,3.2667320000000046
