,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Sketch,2.4667160000000004,4.883431000000002,2.4167150000000013
1,1,1,1,Sait,3.1667300000000003,4.883431000000002,1.7167010000000014
2,2,2,2,Ravi,3.4667360000000005,4.883431000000002,1.4166950000000011
3,3,3,3,Sketch,4.900098000000002,10.050201,5.150102999999998
4,4,4,4,Bhaskar,5.1001020000000015,10.050201,4.950098999999998
5,5,5,5,Guna,5.1001020000000015,10.050201,4.950098999999998
6,6,6,6,Chitti,5.1001020000000015,10.050201,4.950098999999998
7,7,7,7,Sait,5.2501050000000005,10.050201,4.800095999999999
8,8,8,8,'Royapuram' Kumar,10.350207,11.600232000000002,1.2500250000000008
9,9,9,9,Ammu,11.616899000000002,16.116989,4.500089999999998
10,10,10,10,Priya,11.850237000000002,16.116989,4.266751999999999
11,11,11,11,Sketch,12.616919,16.116989,3.5000699999999987
12,12,12,12,Guna,12.616919,16.116989,3.5000699999999987
13,13,13,13,Chitti,12.616919,16.116989,3.5000699999999987
14,14,14,14,Sketch,16.183657,18.250365,2.0667079999999984
15,15,15,15,Chitti,16.450329,18.250365,1.8000359999999986
16,16,16,16,Guna,16.466995999999998,18.250365,1.7833690000000004
17,17,17,17,Maari,18.300366,21.683767000000003,3.3834010000000028
18,18,18,18,Ravi,20.383741,21.683767000000003,1.3000260000000026
19,19,19,19,Sait,20.417075,21.683767000000003,1.2666920000000026
20,20,20,20,Chitti,20.417075,21.683767000000003,1.2666920000000026
21,21,21,21,Sketch,20.567078,21.683767000000003,1.1166890000000045
22,22,22,22,Bhaskar,20.617079,21.683767000000003,1.0666880000000027
23,23,23,23,Guna,20.617079,21.683767000000003,1.0666880000000027
24,24,24,24,Sundaram,21.700434,24.517157,2.816723
25,25,25,25,Shekar,21.717101000000003,24.517157,2.8000559999999983
26,26,26,26,Murali,21.98377300000001,24.517157,2.533383999999991
27,27,27,27,Sketch,22.16711,24.517157,2.350047
28,28,28,28,Bhaskar,22.717121,24.517157,1.8000360000000022
29,29,29,29,Ravi,22.717121,24.517157,1.8000360000000022
30,30,30,30,Guna,22.717121,24.517157,1.8000360000000022
31,31,31,31,Chitti,22.717121,24.517157,1.8000360000000022
32,32,32,32,'Royapuram' Kumar,24.63382600000001,25.83385,1.200023999999992
33,33,33,33,Sketch,25.883851000000003,31.217291000000003,5.33344
34,34,34,34,Ammu,26.283859000000003,31.217291000000003,4.933432
35,35,35,35,Priya,26.500529999999998,31.217291000000003,4.716761000000002
36,36,36,36,Guna,26.733868,31.217291000000003,4.483423000000002
37,37,37,37,Bhaskar,26.767202,31.217291000000003,4.450089000000002
38,38,38,38,Chitti,27.100541999999997,31.217291000000003,4.116749000000002
39,39,39,39,Police,31.217291000000003,34.400688,3.1833970000000003
40,40,40,40,Shakthivel,31.267291999999998,34.400688,3.133396000000001
41,41,41,41,Sketch,31.867304000000004,34.400688,2.533383999999998
42,42,42,42,Sundaram,31.917305,34.400688,2.4833830000000034
43,43,43,43,Guna,32.083975,34.400688,2.316713
44,44,44,44,Chitti,32.083975,34.400688,2.316713
45,45,45,45,Ammu,32.800656000000004,34.400688,1.6000319999999988
