,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Paranjothi,1.633366,4.700094,3.066728
1,1,1,1,Iniyan's Father,2.5167170000000003,4.700094,2.183377
2,2,2,2,Iniyan's Friend,2.83339,4.700094,1.8667040000000001
3,3,3,3,Police Officer,4.716761000000001,11.133556,6.416795
4,4,4,4,Iniyan's Friend,4.750095000000001,11.133556,6.3834610000000005
5,5,5,5,Iniyan,4.816763000000001,11.133556,6.316793
6,6,6,6,Iniyan's Friend's Wife,8.483503,11.133556,2.650053
7,7,7,7,Iniyan's Father,8.583505,11.133556,2.550051
8,8,8,8,Iniyan,11.150223,12.33358,1.1833569999999989
9,9,9,9,Iniyan's Friend's Wife,11.150223,12.33358,1.1833569999999989
10,10,10,10,Iniyan's Friend,11.166889999999999,12.33358,1.1666899999999991
11,11,11,11,Iniyan's Father,12.33358,16.400328000000002,4.066748000000001
12,12,12,12,Iniyan,12.33358,16.400328000000002,4.066748000000001
13,13,13,13,Uthaman,12.766922,16.400328000000002,3.6334060000000012
14,14,14,14,Vetrivel,16.500329999999998,18.16703,1.6667000000000023
15,15,15,15,Iniyan,16.566998,18.16703,1.6000319999999988
16,16,16,16,Muthu,16.733667999999998,18.16703,1.4333620000000025
17,17,17,17,Azhagu Meena,16.933672,18.16703,1.233357999999999
18,18,18,18,Iniyan's Assistant,17.50035,18.16703,0.6666799999999995
19,19,19,19,Ondiveeran,17.550351000000006,18.16703,0.6166789999999942
20,20,20,20,Mangaiyarkarasi,17.867024,18.16703,0.3000059999999998
21,21,21,21,Madhu,18.233698,27.167209999999997,8.933512
22,22,22,22,Minister,18.250365,27.167209999999997,8.916845000000002
23,23,23,23,Iniyan,18.867044000000003,27.167209999999997,8.300165999999997
24,24,24,24,Azhagu Meena,18.883710999999998,27.167209999999997,8.283498999999999
25,25,25,25,Muthu,18.883710999999998,27.167209999999997,8.283498999999999
26,26,26,26,Iniyan's Assistant,18.900378000000003,27.167209999999997,8.266831999999997
27,27,27,27,Ondiveeran,18.917045,27.167209999999997,8.250164999999999
