,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Mrs. Dhivakar,1.9167049999999999,3.5834050000000004,1.6667000000000003
1,1,1,1,ACP Paul,3.766742,6.4001280000000005,2.6333860000000007
2,2,2,2,ACP Vijayakumar,4.716761000000001,6.4001280000000005,1.6833669999999996
3,3,3,3,Kaniyan Poongundran,5.2834389999999996,6.4001280000000005,1.116689
4,4,4,4,Manohar,5.466776,6.4001280000000005,0.9333520000000002
5,5,5,5,Manohar,6.866804000000001,11.866904000000002,5.0001000000000015
6,6,6,6,Kaniyan Poongundran,7.233478000000002,11.866904000000002,4.633425999999999
7,7,7,7,Madhavan,8.216830999999999,11.866904000000002,3.6500730000000026
8,8,8,8,Kaniyan Poongundran,11.900238000000002,14.783629,2.883391
9,9,9,9,Manohar,11.916905000000002,14.783629,2.866724
10,10,10,10,Mallika,12.150243,14.783629,2.6333860000000016
11,11,11,11,Kaniyan Poongundran,14.800296,21.083755000000004,6.283459000000002
12,12,12,12,Manohar,14.816963,21.083755000000004,6.266792000000002
13,13,13,13,Naveen,14.933632,21.083755000000004,6.150123000000002
14,14,14,14,Manohar,21.567098,22.867124,1.300025999999999
15,15,15,15,Kaniyan Poongundran,21.567098,22.867124,1.300025999999999
16,16,16,16,Kaniyan Poongundran,22.867124,25.450509000000004,2.583385000000004
17,17,17,17,Manohar,22.867124,25.450509000000004,2.583385000000004
18,18,18,18,Mallika's uncle,25.450509000000004,28.783909,3.333399999999997
19,19,19,19,Mallika,25.650513000000004,28.783909,3.1333959999999976
20,20,20,20,Manohar,26.433862,28.783909,2.350047
21,21,21,21,Kaniyan Poongundran,26.700534,28.783909,2.083375
22,22,22,22,Manohar,28.817242999999998,32.283978999999995,3.4667359999999934
23,23,23,23,Kaniyan Poongundran,28.817242999999998,32.283978999999995,3.4667359999999934
24,24,24,24,Kaniyan Poongundran,32.283978999999995,36.01738700000001,3.7334080000000114
25,25,25,25,Manohar,32.483983,36.01738700000001,3.5334040000000044
26,26,26,26,Mallika,34.63402600000001,36.01738700000001,1.3833609999999936
27,27,27,27,Mallika's uncle,35.284039,36.01738700000001,0.7333480000000066
28,28,28,28,Manohar,36.134056,39.050781,2.916725
29,29,29,29,Kaniyan Poongundran,36.134056,39.050781,2.916725
30,30,30,30,Mallika,38.750775,39.050781,0.3000060000000033
31,31,31,31,Pritha,39.16745,42.200844,3.0333940000000013
32,32,32,32,Kamalesh,39.317453,42.200844,2.883391000000003
33,33,33,33,Devil's Henchman,39.85079700000001,42.200844,2.3500469999999964
34,34,34,34,Muthu,40.284139,42.200844,1.9167050000000003
35,35,35,35,Devil,40.284139,42.200844,1.9167050000000003
36,36,36,36,Manohar,42.200844,43.3342,1.1333559999999991
37,37,37,37,Kaniyan Poongundran,42.25084500000001,43.3342,1.0833549999999903
38,38,38,38,Mallika,42.43418200000001,43.3342,0.9000179999999958
39,39,39,39,Manohar,43.400868,49.00098000000001,5.60011200000001
40,40,40,40,Pritha,44.43422200000001,49.00098000000001,4.566758
41,41,41,41,Devil,44.50089000000001,49.00098000000001,4.50009
42,42,42,42,Devil's Henchman,44.50089000000001,49.00098000000001,4.50009
43,43,43,43,Muthu,44.784228999999996,49.00098000000001,4.216751000000009
44,44,44,44,Kaniyan Poongundran,45.0009,49.00098000000001,4.000080000000011
45,45,45,45,Muthu,49.217651,50.98435300000001,1.7667020000000089
46,46,46,46,Devil's Henchman,50.16767,50.98435300000001,0.8166830000000118
47,47,47,47,Muthu,51.00102,57.18447700000001,6.183457000000002
48,48,48,48,Manohar,51.484363,57.18447700000001,5.700114000000006
49,49,49,49,Kaniyan Poongundran,51.484363,57.18447700000001,5.700114000000006
50,50,50,50,Devil's Henchman,57.13447600000001,57.18447700000001,0.05000100000000174
51,51,51,51,Pritha,57.201144000000006,62.35124700000001,5.150103000000001
52,52,52,52,Devil,57.201144000000006,62.35124700000001,5.150103000000001
53,53,53,53,Devil's Henchman,57.201144000000006,62.35124700000001,5.150103000000001
54,54,54,54,Muthu,57.45114900000001,62.35124700000001,4.900098000000002
55,55,55,55,SwarnaVel,59.31785300000001,62.35124700000001,3.0333940000000013
56,56,56,56,Manohar,62.401247999999995,66.701334,4.300086
57,57,57,57,Kaniyan Poongundran,62.401247999999995,66.701334,4.300086
58,58,58,58,Mallika,62.984593,66.701334,3.716740999999999
59,59,59,59,ACP Vijayakumar,64.051281,66.701334,2.650053
60,60,60,60,Kaniyan Poongundran,66.734668,70.951419,4.216751000000002
61,61,61,61,Manohar,66.75133500000001,70.951419,4.200083999999992
62,62,62,62,Mrs. Dhivakar,66.93467199999999,70.951419,4.0167470000000085
63,63,63,63,Muthu,70.784749,70.951419,0.16666999999999632
64,64,64,64,Manohar,71.034754,75.36817400000002,4.333420000000018
65,65,65,65,Kaniyan Poongundran,71.034754,75.36817400000002,4.333420000000018
66,66,66,66,Muthu,72.684787,75.36817400000002,2.6833870000000246
67,67,67,67,Manohar,75.38484100000002,81.16829000000001,5.78344899999999
68,68,68,68,Kaniyan Poongundran,75.38484100000002,81.16829000000001,5.78344899999999
69,69,69,69,Ram Prasad,75.38484100000002,81.16829000000001,5.78344899999999
70,70,70,70,Mallika,80.16826999999998,81.16829000000001,1.0000200000000348
71,71,71,71,Kamalesh,81.16829000000001,83.18499700000002,2.016707000000011
72,72,72,72,Muthu,81.20162400000002,83.18499700000002,1.9833730000000005
73,73,73,73,Devil,81.20162400000002,83.18499700000002,1.9833730000000005
74,74,74,74,Kaniyan Poongundran,83.18499700000002,89.351787,6.166789999999978
75,75,75,75,Manohar,83.18499700000002,89.351787,6.166789999999978
76,76,76,76,Kamalesh,89.351787,94.268552,4.916764999999998
77,77,77,77,Pritha,89.43512199999998,94.268552,4.833430000000021
78,78,78,78,Manohar,91.818503,94.268552,2.4500489999999933
79,79,79,79,Kaniyan Poongundran,91.818503,94.268552,2.4500489999999933
80,80,80,80,ACP Vijayakumar,91.818503,94.268552,2.4500489999999933
81,81,81,81,Kaniyan Poongundran,94.268552,98.88531100000002,4.616759000000017
82,82,82,82,Pritha,94.50189,98.88531100000002,4.383421000000014
83,83,83,83,Manohar,96.98527299999999,98.88531100000002,1.9000380000000088
84,84,84,84,ACP Vijayakumar,96.98527299999999,98.88531100000002,1.9000380000000088
85,85,85,85,Devil,98.75197500000002,98.88531100000002,0.1333359999999999
86,86,86,86,Muthu,98.785309,98.88531100000002,0.10000200000001767
87,87,87,87,Manohar,98.901978,100.768682,1.8667039999999984
88,88,88,88,Kaniyan Poongundran,98.951979,100.768682,1.8167029999999893
89,89,89,89,Mallika,99.185317,100.768682,1.5833650000000006
90,90,90,90,Manohar,100.83535,103.435402,2.600051999999991
91,91,91,91,Kaniyan Poongundran,100.885351,103.435402,2.5500509999999963
92,92,92,92,Mallika,100.935352,103.435402,2.5000499999999874
93,93,93,93,Pritha,101.068688,103.435402,2.3667140000000018
94,94,94,94,Muthu,103.435402,108.25216499999999,4.816763000000009
95,95,95,95,Manohar,104.402088,108.25216499999999,3.850076999999999
