,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Rachana's Mother,3.9000779999999997,12.616919,8.716841
1,1,1,1,Rachana,3.9000779999999997,12.616919,8.716841
2,2,2,2,Akhila,10.966886,12.616919,1.6500330000000003
3,3,3,3,Karthi,10.966886,12.616919,1.6500330000000003
4,4,4,4,Akhila's Husband,11.116889,12.616919,1.5000300000000006
5,5,5,5,Rachana,12.616919,24.117148999999998,11.50023
6,6,6,6,Akhila,12.733588,24.117148999999998,11.383561
7,7,7,7,Karthi,12.733588,24.117148999999998,11.383561
8,8,8,8,Akhila's Husband,12.766922,24.117148999999998,11.350227
9,9,9,9,Aditya,18.867044000000003,24.117148999999998,5.250104999999998
10,10,10,10,Rachana,24.117148999999998,37.80075600000001,13.683607000000006
11,11,11,11,Aditya,25.267172,37.80075600000001,12.533584000000005
12,12,12,12,Prabhakar,28.317233,37.80075600000001,9.483523000000003
13,13,13,13,Akhila,30.483943000000004,37.80075600000001,7.3168130000000025
14,14,14,14,Chandra Shekhar,30.483943000000004,37.80075600000001,7.3168130000000025
15,15,15,15,Nayak,33.050661000000005,37.80075600000001,4.750095000000002
16,16,16,16,Rachana,37.80075600000001,48.900978,11.100221999999995
17,17,17,17,Nayak,37.850757,48.900978,11.050221
18,18,18,18,Prabhakar,40.684146999999996,48.900978,8.216830999999999
19,19,19,19,Prabhakar,48.900978,53.717741,4.816763000000002
20,20,20,20,Rachana,49.20098400000001,53.717741,4.516756999999991
21,21,21,21,Nayak,49.234318,53.717741,4.483423000000002
22,22,22,22,Sharath Kumar,49.950998999999996,53.717741,3.7667420000000007
23,23,23,23,Prabhakar,53.784409,60.31787300000001,6.533464000000016
24,24,24,24,Chandra Shekhar,54.01774700000001,60.31787300000001,6.300126000000006
25,25,25,25,Nayak,54.23441800000001,60.31787300000001,6.0834550000000025
26,26,26,26,Rachana,55.701114,60.31787300000001,4.616759000000009
27,27,27,27,Aditya,60.351206999999995,70.08473500000001,9.733528000000009
28,28,28,28,Nayak,60.551211,70.08473500000001,9.533524000000009
29,29,29,29,Rachana,61.98457300000001,70.08473500000001,8.100161999999997
30,30,30,30,Chandra Shekhar,63.56793800000001,70.08473500000001,6.516796999999998
31,31,31,31,Rachana,71.13475600000002,79.951599,8.816842999999976
32,32,32,32,Nayak,71.13475600000002,79.951599,8.816842999999976
33,33,33,33,Aditya,71.51809700000003,79.951599,8.433501999999976
34,34,34,34,Prabhakar,74.71816100000002,79.951599,5.233437999999978
35,35,35,35,Aditya,80.00160000000002,89.53512400000002,9.533524
36,36,36,36,Rachana,80.201604,89.53512400000002,9.33352000000002
37,37,37,37,Nayak,82.16830999999998,89.53512400000002,7.366814000000048
38,38,38,38,Chandra Shekhar,82.20164399999999,89.53512400000002,7.333480000000037
39,39,39,39,Prabhakar,82.318313,89.53512400000002,7.216811000000021
40,40,40,40,Ritesh,83.81834300000001,89.53512400000002,5.716781000000013
41,41,41,41,Rachana,89.53512400000002,101.93537200000002,12.40024799999999
42,42,42,42,Nayak,90.41847500000002,101.93537200000002,11.516897
43,43,43,43,Sharath Kumar,90.518477,101.93537200000002,11.416895000000013
44,44,44,44,Rachana's Mother,90.601812,101.93537200000002,11.33356000000002
45,45,45,45,Aditya,91.768502,101.93537200000002,10.166870000000015
46,46,46,46,Maaya,95.151903,101.93537200000002,6.7834690000000135
47,47,47,47,Arna,96.618599,101.93537200000002,5.316773000000012
48,48,48,48,Nayak,101.93537200000002,115.085635,13.150262999999995
49,49,49,49,Rachana,101.93537200000002,115.085635,13.150262999999995
50,50,50,50,Maaya,104.118749,115.085635,10.966886000000017
51,51,51,51,Arna,104.15208299999999,115.085635,10.933552000000004
52,52,52,52,Aditya,110.552211,115.085635,4.5334239999999975
53,53,53,53,Aditya,115.102302,125.569178,10.466876
54,54,54,54,Rachana,115.202304,125.569178,10.36687400000001
55,55,55,55,Nayak,115.43564200000002,125.569178,10.133535999999992
56,56,56,56,Ritesh,115.618979,125.569178,9.950198999999998
57,57,57,57,Arna,118.635706,125.569178,6.933472000000008
58,58,58,58,Maaya,119.40238800000002,125.569178,6.166789999999992
