,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Rudhran,2.033374,13.866944000000002,11.833570000000002
1,1,1,1,DGP,6.866804000000001,13.866944000000002,7.000140000000001
2,2,2,2,Ethan,8.783509,13.866944000000002,5.0834350000000015
3,3,3,3,Nicole,9.783529,13.866944000000002,4.083415000000001
4,4,4,4,Ajay,10.533544,13.866944000000002,3.333400000000001
5,5,5,5,Alice,11.50023,13.866944000000002,2.3667140000000018
6,6,6,6,Rudhran,13.950279000000002,23.00046,9.050180999999998
7,7,7,7,Ajay,14.783629,23.00046,8.216830999999999
8,8,8,8,Alice,14.783629,23.00046,8.216830999999999
9,9,9,9,Paul,15.600311999999999,23.00046,7.400148
10,10,10,10,Sheldon,15.633645999999999,23.00046,7.366814
11,11,11,11,Carlos,15.733648000000002,23.00046,7.266811999999998
12,12,12,12,Majid,16.883671000000003,23.00046,6.116788999999998
13,13,13,13,Bharathi,16.900338,23.00046,6.100121999999999
14,14,14,14,Ramya,18.133696,23.00046,4.866764
15,15,15,15,Meena,18.217031,23.00046,4.783429000000002
16,16,16,16,Najiba,19.717060999999998,23.00046,3.2833989999999997
17,17,17,17,Saima,19.750395,23.00046,3.250065
18,18,18,18,Ethan,21.250425000000003,23.00046,1.7500349999999967
19,19,19,19,Nicole,21.283759000000003,23.00046,1.7167009999999967
20,20,20,20,Mona,23.067128000000004,37.86742400000001,14.800296000000005
21,21,21,21,Rudhran,23.117129,37.86742400000001,14.750295000000005
22,22,22,22,Bharathi,23.133796000000004,37.86742400000001,14.733628000000005
23,23,23,23,Jeff,23.517136999999998,37.86742400000001,14.350287000000005
24,24,24,24,Alice,24.26715200000001,37.86742400000001,13.600271999999995
25,25,25,25,Najiba,24.46715600000001,37.86742400000001,13.400267999999995
26,26,26,26,Carlos,24.50049000000001,37.86742400000001,13.366933999999995
27,27,27,27,Majid,24.817163,37.86742400000001,13.050261000000004
28,28,28,28,Ajay,25.733848,37.86742400000001,12.133576000000005
29,29,29,29,Ramya,25.750515000000004,37.86742400000001,12.116909000000005
30,30,30,30,Sheldon,26.967206,37.86742400000001,10.900218000000004
31,31,31,31,Student,27.767222000000004,37.86742400000001,10.100202000000003
32,32,32,32,Paul,28.267232000000003,37.86742400000001,9.600192000000003
33,33,33,33,News Reporter,32.350646999999995,37.86742400000001,5.516777000000012
34,34,34,34,Detective Watson,32.367314,37.86742400000001,5.500110000000007
35,35,35,35,Detective Claire,32.367314,37.86742400000001,5.500110000000007
36,36,36,36,Meena,32.600652000000004,37.86742400000001,5.266772000000003
37,37,37,37,Nicole,37.900758,50.584345000000006,12.683587000000005
38,38,38,38,Ethan,37.93409200000001,50.584345000000006,12.650253
39,39,39,39,Rudhran,40.500809999999994,50.584345000000006,10.083535000000003
40,40,40,40,Bharathi,40.500809999999994,50.584345000000006,10.083535000000003
41,41,41,41,Detective Claire,40.950819,50.584345000000006,9.633526000000003
42,42,42,42,Mary,41.367494,50.584345000000006,9.216851000000004
43,43,43,43,Ajay,42.56751800000001,50.584345000000006,8.016827000000001
44,44,44,44,Ramya,42.56751800000001,50.584345000000006,8.016827000000001
45,45,45,45,Meena,43.234198000000006,50.584345000000006,7.350147
46,46,46,46,Alice,43.234198000000006,50.584345000000006,7.350147
47,47,47,47,News Reader,43.300866000000006,50.584345000000006,7.283478999999999
48,48,48,48,Carlos,49.51765700000001,50.584345000000006,1.0666879999999992
49,49,49,49,Najiba,49.66766000000001,50.584345000000006,0.9166849999999941
50,50,50,50,Ethan,50.617678999999995,71.218091,20.600412
51,51,51,51,Nicole,50.651013000000006,71.218091,20.567077999999995
52,52,52,52,News Reader,52.667719999999996,71.218091,18.550371
53,53,53,53,Rudhran,52.767722000000006,71.218091,18.450368999999995
54,54,54,54,Ajay,52.767722000000006,71.218091,18.450368999999995
55,55,55,55,Bharathi,55.351107000000006,71.218091,15.866983999999995
56,56,56,56,Carlos,56.08445500000001,71.218091,15.133635999999989
57,57,57,57,Detective Claire,56.16779,71.218091,15.050300999999996
58,58,58,58,Detective Watson,56.41779500000001,71.218091,14.800295999999989
59,59,59,59,Alice,59.817863,71.218091,11.400227999999998
60,60,60,60,Paul,60.601212,71.218091,10.616879000000004
61,61,61,61,Mona,63.43460200000001,71.218091,7.783488999999987
62,62,62,62,Ramya,64.617959,71.218091,6.600132000000002
63,63,63,63,Jeff,65.484643,71.218091,5.7334479999999965
64,64,64,64,News Reporter,68.951379,71.218091,2.2667119999999983
65,65,65,65,Rudhran,71.26809200000002,78.70157400000002,7.433481999999998
66,66,66,66,Bharathi,71.301426,78.70157400000002,7.4001480000000175
67,67,67,67,Alice,71.318093,78.70157400000002,7.3834810000000175
68,68,68,68,Ramya,71.33476,78.70157400000002,7.366814000000019
69,69,69,69,Detective Claire,71.584765,78.70157400000002,7.116809000000018
70,70,70,70,Detective Watson,71.60143199999997,78.70157400000002,7.100142000000048
71,71,71,71,Carlos,72.96812600000001,78.70157400000002,5.73344800000001
72,72,72,72,Paul,73.051461,78.70157400000002,5.650113000000019
73,73,73,73,Mona,73.11812900000002,78.70157400000002,5.5834449999999975
74,74,74,74,Ajay,73.23479800000001,78.70157400000002,5.466776000000008
75,75,75,75,News Reader,74.351487,78.70157400000002,4.350087000000016
76,76,76,76,Bharathi,78.768242,95.16856999999999,16.400328000000002
