,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Anand Kumar,1.866704,2.9833930000000004,1.1166890000000005
1,1,1,1,Anand Kumar,3.250065,15.600311999999999,12.350247
2,2,2,2,Sri Lakshmi,5.1001020000000015,15.600311999999999,10.500210000000001
3,3,3,3,Sri Lakshmi's Father,8.000160000000001,15.600311999999999,7.6001520000000005
4,4,4,4,Vishwa,9.100182,15.600311999999999,6.50013
5,5,5,5,Sri Lakshmi,15.666979999999999,34.650693000000004,18.983713
6,6,6,6,Murthy,21.317093000000003,34.650693000000004,13.3336
7,7,7,7,Anand Kumar,21.367094,34.650693000000004,13.283599000000002
8,8,8,8,Anand Kumar,34.734028,45.650913,10.916885
9,9,9,9,Sri Lakshmi,34.934032,45.650913,10.716880999999999
10,10,10,10,Sri Lakshmi's Father,35.384040999999996,45.650913,10.266872
11,11,11,11,Ticket Collector,35.80071599999999,45.650913,9.850197000000016
12,12,12,12,Sri Lakshmi,45.650913,58.26783200000001,12.61691900000001
13,13,13,13,Anand Kumar,45.734248,58.26783200000001,12.533584000000012
14,14,14,14,Ticket Collector,47.55095100000001,58.26783200000001,10.716880999999999
15,15,15,15,Murthy,47.68428700000001,58.26783200000001,10.583544999999999
16,16,16,16,Sri Lakshmi's Father,49.00098000000001,58.26783200000001,9.266852
17,17,17,17,Vishwa,52.48438300000001,58.26783200000001,5.7834490000000045
18,18,18,18,Anand Kumar,58.26783200000001,65.86798399999999,7.600151999999981
19,19,19,19,Sri Lakshmi,58.26783200000001,65.86798399999999,7.600151999999981
20,20,20,20,Murthy,59.551191,65.86798399999999,6.316792999999992
21,21,21,21,Praveen,61.55123100000001,65.86798399999999,4.316752999999984
22,22,22,22,Vishwa,61.70123400000001,65.86798399999999,4.166749999999986
23,23,23,23,Anand Kumar,65.901318,80.03493399999998,14.133615999999973
24,24,24,24,Praveen,66.00131999999999,80.03493399999998,14.033613999999984
25,25,25,25,Murthy,71.41809500000002,80.03493399999998,8.616838999999956
26,26,26,26,Sri Lakshmi,72.401448,80.03493399999998,7.633485999999976
27,27,27,27,Vishwa,79.434922,80.03493399999998,0.6000119999999782
28,28,28,28,Anand Kumar,80.10160200000001,98.3353,18.23369799999999
29,29,29,29,Murthy,80.80161600000002,98.3353,17.53368399999998
30,30,30,30,Sri Lakshmi,81.73496800000002,98.3353,16.60033199999998
31,31,31,31,Vishwa,84.51835700000002,98.3353,13.81694299999998
32,32,32,32,Sri Lakshmi's Father,88.10176200000002,98.3353,10.233537999999982
33,33,33,33,Sri Lakshmi,98.385301,104.952099,6.566798000000006
34,34,34,34,Anand Kumar,98.385301,104.952099,6.566798000000006
35,35,35,35,Sri Lakshmi's Father,98.801976,104.952099,6.150123000000009
36,36,36,36,Sri Lakshmi,104.985433,121.069088,16.083654999999993
37,37,37,37,Anand Kumar,105.702114,121.069088,15.366974
38,38,38,38,Vishwa,106.152123,121.069088,14.91696499999999
39,39,39,39,Murthy,107.20214399999999,121.069088,13.866943999999993
40,40,40,40,Cop,115.218971,121.069088,5.850116999999997
41,41,41,41,Sri Lakshmi's Father,115.635646,121.069088,5.4334419999999986
