,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Yamuna,8.933512,12.83359,3.900077999999999
1,1,1,1,Yamuna's Mother,9.566858000000002,12.83359,3.266731999999997
2,2,2,2,Yamuna's Father,9.566858000000002,12.83359,3.266731999999997
3,3,3,3,Yamuna,15.0003,25.517177000000004,10.516877000000003
4,4,4,4,Amudhan,18.383701,25.517177000000004,7.133476000000003
5,5,5,5,Yamuna's Mother,18.700374,25.517177000000004,6.816803000000004
6,6,6,6,Yamuna's Father,18.700374,25.517177000000004,6.816803000000004
7,7,7,7,Mani,21.317093000000003,25.517177000000004,4.2000839999999995
8,8,8,8,Parvathy Paati,21.417095000000003,25.517177000000004,4.100082
9,9,9,9,Parvathy Paati,25.583845000000004,36.900738,11.316892999999993
10,10,10,10,Yamuna,25.617179000000004,36.900738,11.283558999999993
11,11,11,11,Mani,25.650513000000004,36.900738,11.250224999999993
12,12,12,12,Amudhan,27.583885,36.900738,9.316852999999998
13,13,13,13,Babloo,32.11730900000001,36.900738,4.783428999999983
14,14,14,14,Mani,37.66742000000001,42.084175,4.416754999999995
15,15,15,15,Amudhan,37.66742000000001,42.084175,4.416754999999995
16,16,16,16,Parvathy Paati,37.66742000000001,42.084175,4.416754999999995
17,17,17,17,Yamuna,37.66742000000001,42.084175,4.416754999999995
18,18,18,18,Babloo,37.66742000000001,42.084175,4.416754999999995
19,19,19,19,Yamuna's Father,39.384121,42.084175,2.700054000000001
20,20,20,20,Yamuna's Mother,40.750815,42.084175,1.333359999999999
21,21,21,21,Amudhan,42.600852,56.21779100000001,13.61693900000001
22,22,22,22,Yamuna,43.300866000000006,56.21779100000001,12.916925000000004
23,23,23,23,Parvathy Paati,43.300866000000006,56.21779100000001,12.916925000000004
24,24,24,24,Mani,43.434202000000006,56.21779100000001,12.783589000000005
25,25,25,25,Doctor,46.650933,56.21779100000001,9.566858000000009
26,26,26,26,Babloo,47.61761900000001,56.21779100000001,8.600172
27,27,27,27,Yamuna's Mother,48.01762700000001,56.21779100000001,8.200164000000001
28,28,28,28,Yamuna's Father,48.01762700000001,56.21779100000001,8.200164000000001
29,29,29,29,Yamuna,56.58446500000001,69.234718,12.650252999999992
30,30,30,30,Doctor,56.634466,69.234718,12.600251999999998
31,31,31,31,Yamuna's Mother,56.68446700000001,69.234718,12.550250999999989
32,32,32,32,Yamuna's Father,56.68446700000001,69.234718,12.550250999999989
33,33,33,33,Babloo,56.78446900000001,69.234718,12.450248999999992
34,34,34,34,Mani,56.78446900000001,69.234718,12.450248999999992
35,35,35,35,Parvathy Paati,57.38448100000001,69.234718,11.850236999999993
36,36,36,36,Amudhan,58.434502,69.234718,10.800216
37,37,37,37,Amudhan,69.368054,91.451829,22.08377500000001
38,38,38,38,Yamuna,73.851477,91.451829,17.600351999999994
39,39,39,39,Babloo,75.75151500000003,91.451829,15.700313999999974
40,40,40,40,Young Bhavani,83.80167600000001,91.451829,7.650152999999987
41,41,41,41,Young Amudhan,83.85167700000002,91.451829,7.600151999999981
42,42,42,42,Yamuna,91.551831,106.318793,14.766961999999992
43,43,43,43,Yamuna's Mother,92.21851099999999,106.318793,14.100281999999993
44,44,44,44,Yamuna's Father,92.21851099999999,106.318793,14.100281999999993
45,45,45,45,Parvathy Paati,93.66854,106.318793,12.650252999999992
46,46,46,46,Amudhan,96.251925,106.318793,10.066868
47,47,47,47,Bhavani,99.51865699999999,106.318793,6.800135999999995
48,48,48,48,Amudhan,106.402128,126.26919200000002,19.867064000000013
49,49,49,49,Bhavani,106.51879699999999,126.26919200000002,19.75039500000001
50,50,50,50,Babloo,113.83561000000002,126.26919200000002,12.433582
51,51,51,51,Yamuna,120.652413,126.26919200000002,5.6167790000000215
52,52,52,52,Amudhan,126.319193,138.102762,11.783569000000016
53,53,53,53,Yamuna,126.735868,138.102762,11.366894000000016
54,54,54,54,Bhavani,128.219231,138.102762,9.883531000000003
