,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Tau,2.1333759999999997,15.16697,13.033594
1,1,1,1,Xi,2.350047,15.16697,12.816923
2,2,2,2,Shaman Woman,2.4333820000000004,15.16697,12.733588
3,3,3,3,Rho,2.4333820000000004,15.16697,12.733588
4,4,4,4,Nu,2.4333820000000004,15.16697,12.733588
5,5,5,5,Keda,2.4333820000000004,15.16697,12.733588
6,6,6,6,Sigma,2.4333820000000004,15.16697,12.733588
7,7,7,7,Kappa,2.4333820000000004,15.16697,12.733588
8,8,8,8,Kappa,15.16697,31.150623000000003,15.983653000000002
9,9,9,9,Sigma,15.16697,31.150623000000003,15.983653000000002
10,10,10,10,Keda,15.16697,31.150623000000003,15.983653000000002
11,11,11,11,Tau,15.16697,31.150623000000003,15.983653000000002
12,12,12,12,Nu,15.16697,31.150623000000003,15.983653000000002
13,13,13,13,Rho,15.16697,31.150623000000003,15.983653000000002
14,14,14,14,Xi,15.16697,31.150623000000003,15.983653000000002
15,15,15,15,Shaman Woman,15.16697,31.150623000000003,15.983653000000002
16,16,16,16,Kappa,31.150623000000003,45.03423400000001,13.883611000000007
17,17,17,17,Sigma,31.150623000000003,45.03423400000001,13.883611000000007
18,18,18,18,Tau,31.150623000000003,45.03423400000001,13.883611000000007
19,19,19,19,Nu,31.150623000000003,45.03423400000001,13.883611000000007
20,20,20,20,Rho,31.150623000000003,45.03423400000001,13.883611000000007
21,21,21,21,Xi,31.150623000000003,45.03423400000001,13.883611000000007
22,22,22,22,Shaman Woman,31.150623000000003,45.03423400000001,13.883611000000007
23,23,23,23,Keda,45.03423400000001,67.93469200000001,22.900458
24,24,24,24,Tau,68.06802800000001,89.485123,21.41709499999999
25,25,25,25,Rho,68.13469599999999,89.485123,21.35042700000001
26,26,26,26,Keda,68.318033,89.485123,21.167089999999998
27,27,27,27,Nu,84.56835799999998,89.485123,4.9167650000000265
28,28,28,28,Shaman Woman,85.80171600000001,89.485123,3.683406999999988
29,29,29,29,Xi,85.80171600000001,89.485123,3.683406999999988
30,30,30,30,Sigma,85.80171600000001,89.485123,3.683406999999988
