,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Young Amar,1.1833570000000002,14.516957,13.3336
1,1,1,1,Young Aishwarya,1.2666920000000002,14.516957,13.250264999999999
2,2,2,2,Sanjay Mitra,2.2000439999999997,14.516957,12.316913
3,3,3,3,Anand Prasad,2.2000439999999997,14.516957,12.316913
4,4,4,4,Lakshmi,2.5500510000000003,14.516957,11.966906000000002
5,5,5,5,Amar's Mother,2.5500510000000003,14.516957,11.966906000000002
6,6,6,6,Jalal,3.0667280000000003,14.516957,11.450229
7,7,7,7,Karan Arora,4.616759,14.516957,9.900198
8,8,8,8,Vikram Talwar,4.683427,14.516957,9.83353
9,9,9,9,Rajveer,4.700094,14.516957,9.816863
10,10,10,10,Saboo,4.816763000000001,14.516957,9.700194
11,11,11,11,Amar,7.300146000000002,14.516957,7.216810999999999
12,12,12,12,Balwant Kharge,14.583625,24.133816000000003,9.550191000000003
13,13,13,13,Chidambaram,14.600292,24.133816000000003,9.533524000000002
14,14,14,14,Rajveer,14.716960999999998,24.133816000000003,9.416855000000004
15,15,15,15,Pulla Reddy,16.016987,24.133816000000003,8.116829000000003
16,16,16,16,Maa Reddy,16.083655,24.133816000000003,8.050161000000003
17,17,17,17,Miryalu,16.717001,24.133816000000003,7.416815000000002
18,18,18,18,Kandhulu,16.933672,24.133816000000003,7.2001440000000025
19,19,19,19,Gandikota,17.200344,24.133816000000003,6.933472000000003
20,20,20,20,Chethan Sharma,17.683687000000006,24.133816000000003,6.450128999999998
21,21,21,21,Tanikella,18.050361,24.133816000000003,6.0834550000000025
22,22,22,22,Karan Arora,21.150423000000004,24.133816000000003,2.9833929999999995
23,23,23,23,Saboo,21.150423000000004,24.133816000000003,2.9833929999999995
24,24,24,24,Vikram Talwar,21.150423000000004,24.133816000000003,2.9833929999999995
25,25,25,25,Sanjay Mitra,22.867124,24.133816000000003,1.2666920000000026
26,26,26,26,Anand Prasad,22.867124,24.133816000000003,1.2666920000000026
27,27,27,27,Balwant Kharge,24.133816000000003,34.084015,9.950198999999998
28,28,28,28,Chethan Sharma,24.550491,34.084015,9.533524
29,29,29,29,Gandikota,24.550491,34.084015,9.533524
30,30,30,30,Kandhulu,24.550491,34.084015,9.533524
31,31,31,31,Miryalu,24.550491,34.084015,9.533524
32,32,32,32,Akbar,26.317193000000003,34.084015,7.766821999999998
33,33,33,33,Karan Arora,29.900598,34.084015,4.183417000000002
34,34,34,34,Saboo,29.900598,34.084015,4.183417000000002
35,35,35,35,Chidambaram,29.900598,34.084015,4.183417000000002
36,36,36,36,Vikram Talwar,29.900598,34.084015,4.183417000000002
37,37,37,37,Pooja,31.75063500000001,34.084015,2.3333799999999907
38,38,38,38,Sony,31.75063500000001,34.084015,2.3333799999999907
39,39,39,39,Balwant Kharge,34.084015,45.267571999999994,11.183557
40,40,40,40,Karan Arora,34.100682000000006,45.267571999999994,11.166889999999995
41,41,41,41,Saboo,34.100682000000006,45.267571999999994,11.166889999999995
42,42,42,42,Chidambaram,34.100682000000006,45.267571999999994,11.166889999999995
43,43,43,43,Vikram Talwar,34.100682000000006,45.267571999999994,11.166889999999995
44,44,44,44,Lakshmi,34.76736200000001,45.267571999999994,10.500209999999988
45,45,45,45,Amar's Mother,34.76736200000001,45.267571999999994,10.500209999999988
46,46,46,46,Young Amar,34.76736200000001,45.267571999999994,10.500209999999988
47,47,47,47,Sanjay Mitra,34.76736200000001,45.267571999999994,10.500209999999988
48,48,48,48,Anand Prasad,34.76736200000001,45.267571999999994,10.500209999999988
49,49,49,49,Chethan Sharma,35.250704999999996,45.267571999999994,10.016866999999998
50,50,50,50,Gandikota,35.250704999999996,45.267571999999994,10.016866999999998
51,51,51,51,Kandhulu,35.250704999999996,45.267571999999994,10.016866999999998
52,52,52,52,Maa Reddy,35.250704999999996,45.267571999999994,10.016866999999998
53,53,53,53,Miryalu,35.250704999999996,45.267571999999994,10.016866999999998
54,54,54,54,Junior Paul,35.30070600000001,45.267571999999994,9.966865999999989
55,55,55,55,Akbar,35.850716999999996,45.267571999999994,9.416854999999998
56,56,56,56,Pooja,40.45080900000001,45.267571999999994,4.8167629999999955
57,57,57,57,Sony,40.484142999999996,45.267571999999994,4.783428999999998
58,58,58,58,Chethan Sharma,45.317572999999996,58.284499,12.966925999999996
59,59,59,59,Gandikota,45.317572999999996,58.284499,12.966925999999996
60,60,60,60,Kandhulu,45.317572999999996,58.284499,12.966925999999996
61,61,61,61,Maa Reddy,45.317572999999996,58.284499,12.966925999999996
62,62,62,62,Miryalu,45.317572999999996,58.284499,12.966925999999996
63,63,63,63,Junior Paul,45.317572999999996,58.284499,12.966925999999996
64,64,64,64,Pooja,45.384240999999996,58.284499,12.900257999999996
