,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Mr. Gowda,3.683407,12.600252,8.916845000000002
1,1,1,1,George,3.866744,12.600252,8.733508
2,2,2,2,Anjali Vikramadityan,4.983433000000002,12.600252,7.6168190000000005
3,3,3,3,Narayanan,5.400108,12.600252,7.200144000000001
4,4,4,4,Blackmailer,6.716800999999999,12.600252,5.883451000000003
5,5,5,5,Shalini Vikramadithyan,12.250245,12.600252,0.3500070000000015
6,6,6,6,Shalini Vikramadithyan,12.633586,25.800516,13.166930000000002
7,7,7,7,Anjali Vikramadityan,12.683587,25.800516,13.116929000000004
8,8,8,8,Vikram Vikramadityan,14.033614000000002,25.800516,11.766902
9,9,9,9,Narayanan,15.666979999999999,25.800516,10.133536
10,10,10,10,Mr. Gowda,15.666979999999999,25.800516,10.133536
11,11,11,11,Rudra,16.266992000000002,25.800516,9.533524
12,12,12,12,Vineeth,19.083714999999998,25.800516,6.716800999999999
13,13,13,13,Dr. Arjun Prabakar,20.733748,25.800516,5.066768
14,14,14,14,Krithika Rao,20.733748,25.800516,5.066768
15,15,15,15,Vinoth,20.733748,25.800516,5.066768
16,16,16,16,Narayanan,25.867183999999998,44.984233,19.117048999999998
17,17,17,17,Anjali Vikramadityan,25.867183999999998,44.984233,19.117048999999998
18,18,18,18,Mr. Gowda,25.867183999999998,44.984233,19.117048999999998
19,19,19,19,Rudra,26.400528,44.984233,18.583705
20,20,20,20,Vinoth,44.984233,55.101102,10.116869
21,21,21,21,Dr. Arjun Prabakar,44.984233,55.101102,10.116869
22,22,22,22,Krithika Rao,45.23423800000001,55.101102,9.866863999999993
23,23,23,23,Surya,45.23423800000001,55.101102,9.866863999999993
24,24,24,24,Shalini Vikramadithyan,55.151103000000006,69.96806600000001,14.816963
25,25,25,25,Anjali Vikramadityan,55.151103000000006,69.96806600000001,14.816963
26,26,26,26,Dr. Arjun Prabakar,55.151103000000006,69.96806600000001,14.816963
27,27,27,27,Vinoth,55.151103000000006,69.96806600000001,14.816963
28,28,28,28,Rudra,57.434481999999996,69.96806600000001,12.533584000000005
29,29,29,29,Narayanan,59.984533000000006,69.96806600000001,9.983533
30,30,30,30,Krithika Rao,60.217870999999995,69.96806600000001,9.750195000000003
31,31,31,31,Mr. Gowda,61.68456700000001,69.96806600000001,8.283498999999999
32,32,32,32,Vinoth,69.96806600000001,80.90161800000001,10.933552000000004
33,33,33,33,Anjali Vikramadityan,69.96806600000001,80.90161800000001,10.933552000000004
34,34,34,34,Narayanan,70.934752,80.90161800000001,9.96686600000001
35,35,35,35,Dr. Arjun Prabakar,71.55143100000002,80.90161800000001,9.350186999999991
36,36,36,36,Krithika Rao,76.95153900000003,80.90161800000001,3.950078999999988
37,37,37,37,Dr. Arjun Prabakar,80.93495200000002,95.935252,15.000299999999983
38,38,38,38,Rudra,81.151623,95.935252,14.783629000000005
39,39,39,39,Krithika Rao,81.23495799999998,95.935252,14.700294000000026
40,40,40,40,Vinoth,81.384961,95.935252,14.550291
41,41,41,41,Narayanan,81.60163200000002,95.935252,14.333619999999984
42,42,42,42,Anjali Vikramadityan,83.751675,95.935252,12.183577
43,43,43,43,Shalini Vikramadithyan,83.80167600000001,95.935252,12.13357599999999
44,44,44,44,Dr. Arjun Prabakar,95.968586,102.452049,6.4834629999999995
