,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Samuel Mullins,0.7833490000000001,7.266812000000002,6.483463000000002
1,1,1,1,Bee Mullins,4.0000800000000005,7.266812000000002,3.266732000000002
2,2,2,2,Esther Mullins,4.333419999999999,7.266812000000002,2.933392000000004
3,3,3,3,Victor Palmeri,6.050121000000001,7.266812000000002,1.2166910000000015
4,4,4,4,Linda,7.900158000000001,20.967086,13.066927999999995
5,5,5,5,Janice,7.933492000000001,20.967086,13.033593999999995
6,6,6,6,Sister Charlotte,9.050181,20.967086,11.916904999999998
7,7,7,7,Father Massey,9.116849,20.967086,11.850236999999998
8,8,8,8,Carol,9.533524000000002,20.967086,11.433561999999995
9,9,9,9,Nancy,9.533524000000002,20.967086,11.433561999999995
10,10,10,10,Kate,9.533524000000002,20.967086,11.433561999999995
11,11,11,11,Samuel Mullins,10.233538,20.967086,10.733547999999997
12,12,12,12,Carol,21.017087000000004,37.73408800000001,16.717001000000003
13,13,13,13,Sister Charlotte,21.017087000000004,37.73408800000001,16.717001000000003
14,14,14,14,Nancy,21.017087000000004,37.73408800000001,16.717001000000003
15,15,15,15,Kate,21.017087000000004,37.73408800000001,16.717001000000003
16,16,16,16,Janice,21.017087000000004,37.73408800000001,16.717001000000003
17,17,17,17,Linda,21.017087000000004,37.73408800000001,16.717001000000003
18,18,18,18,Tierney,21.017087000000004,37.73408800000001,16.717001000000003
19,19,19,19,Linda,37.73408800000001,63.15126300000001,25.417175
20,20,20,20,Kate,37.73408800000001,63.15126300000001,25.417175
21,21,21,21,Nancy,37.73408800000001,63.15126300000001,25.417175
22,22,22,22,Carol,37.73408800000001,63.15126300000001,25.417175
23,23,23,23,Samuel Mullins,37.95075900000001,63.15126300000001,25.200503999999995
24,24,24,24,Sister Charlotte,40.567478,63.15126300000001,22.58378500000001
25,25,25,25,Janice,41.050821000000006,63.15126300000001,22.100442
26,26,26,26,Esther Mullins,42.85085700000001,63.15126300000001,20.300405999999995
27,27,27,27,Bee Mullins,43.084195,63.15126300000001,20.067068000000006
28,28,28,28,Janice,63.15126300000001,90.11846899999999,26.967206
29,29,29,29,Sister Charlotte,63.15126300000001,90.11846899999999,26.967206
30,30,30,30,Nancy,63.93461200000001,90.11846899999999,26.183857
31,31,31,31,Kate,63.93461200000001,90.11846899999999,26.183857
32,32,32,32,Linda,63.93461200000001,90.11846899999999,26.183857
33,33,33,33,Tierney,63.93461200000001,90.11846899999999,26.183857
34,34,34,34,Samuel Mullins,68.33470000000001,90.11846899999999,21.78376899999999
35,35,35,35,Esther Mullins,77.66821999999998,90.11846899999999,12.450249000000026
36,36,36,36,Linda,90.11846899999999,103.60207199999999,13.483603000000002
37,37,37,37,Janice,94.085215,103.60207199999999,9.516857000000002
38,38,38,38,Sister Charlotte,95.918585,103.60207199999999,7.683487000000013
39,39,39,39,Nancy,97.068608,103.60207199999999,6.533464000000008
40,40,40,40,Kate,97.068608,103.60207199999999,6.533464000000008
41,41,41,41,Tierney,97.068608,103.60207199999999,6.533464000000008
42,42,42,42,Fuller,98.685307,103.60207199999999,4.916765000000012
43,43,43,43,Father Massey,99.085315,103.60207199999999,4.516756999999998
44,44,44,44,Pete Higgins,100.918685,103.60207199999999,2.6833870000000104
45,45,45,45,Adoption Agent,100.918685,103.60207199999999,2.6833870000000104
46,46,46,46,Sharon Higgins,100.935352,103.60207199999999,2.666719999999998
47,47,47,47,Annabelle Higgins,102.885391,103.60207199999999,0.7166810000000083
48,48,48,48,Mia Form,103.068728,103.60207199999999,0.5333439999999996
49,49,49,49,John Form,103.418735,103.60207199999999,0.18333700000000874
