,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Arjun,0.7500150000000001,3.650073,2.9000580000000005
1,1,1,1,Preeti,0.7500150000000001,3.650073,2.9000580000000005
2,2,2,2,Narrator,0.850017,3.650073,2.8000560000000005
3,3,3,3,Arjun's Grandmother,1.400028,3.650073,2.250045
4,4,4,4,Gautham,2.9500590000000004,3.650073,0.7000139999999999
5,5,5,5,Arjun's Father,3.0167270000000004,3.650073,0.633346
6,6,6,6,Arjun's Mother,3.1500630000000003,3.650073,0.5000100000000001
7,7,7,7,Arjun,3.650073,9.050181,5.400108
8,8,8,8,Shiva,6.766802,9.050181,2.283379
9,9,9,9,Durga,9.066848,11.550231000000002,2.4833830000000017
10,10,10,10,Arjun,9.16685,11.550231000000002,2.3833810000000017
11,11,11,11,Arjun,11.550231000000002,18.383701,6.8334699999999975
12,12,12,12,Amit,11.983573000000002,18.383701,6.4001280000000005
13,13,13,13,Keerthi,12.050241000000002,18.383701,6.3334600000000005
14,14,14,14,Shiva,12.050241000000002,18.383701,6.3334600000000005
15,15,15,15,Vidya,12.050241000000002,18.383701,6.3334600000000005
16,16,16,16,Kamal,12.650253,18.383701,5.733448000000003
17,17,17,17,Dean,18.400368,21.91710500000001,3.5167370000000098
18,18,18,18,Arjun,18.550371,21.91710500000001,3.366734000000012
19,19,19,19,Keerthi,19.033714000000003,21.91710500000001,2.8833910000000067
20,20,20,20,Shiva,19.033714000000003,21.91710500000001,2.8833910000000067
21,21,21,21,Vidya,19.033714000000003,21.91710500000001,2.8833910000000067
22,22,22,22,Kamal,19.033714000000003,21.91710500000001,2.8833910000000067
23,23,23,23,Arjun,21.91710500000001,25.283839000000004,3.3667339999999935
24,24,24,24,Preeti,22.48378300000001,25.283839000000004,2.8000559999999943
25,25,25,25,Shiva,23.417135,25.283839000000004,1.866704000000002
26,26,26,26,Arjun,25.300506,27.500550000000004,2.200044000000005
27,27,27,27,Shiva,25.300506,27.500550000000004,2.200044000000005
28,28,28,28,Preeti,27.517217,28.90057800000001,1.3833610000000114
29,29,29,29,Shiva,27.550551,28.90057800000001,1.350027000000008
30,30,30,30,Kamal,27.550551,28.90057800000001,1.350027000000008
31,31,31,31,Keerthi,27.717221,28.90057800000001,1.183357000000008
32,32,32,32,Vidya,27.733888000000004,28.90057800000001,1.1666900000000062
33,33,33,33,Arjun,28.100562000000004,28.90057800000001,0.8000160000000065
34,34,34,34,Arjun's Father,28.400568000000003,28.90057800000001,0.5000100000000067
35,35,35,35,Gautham,28.583904999999998,28.90057800000001,0.31667300000000864
36,36,36,36,Kamal,28.90057800000001,32.750655,3.850076999999992
37,37,37,37,Arjun,28.950578999999998,32.750655,3.8000760000000007
38,38,38,38,Shiva,28.950578999999998,32.750655,3.8000760000000007
39,39,39,39,Preeti's father,29.317253000000004,32.750655,3.4334019999999974
40,40,40,40,Preeti,29.317253000000004,32.750655,3.4334019999999974
41,41,41,41,Vidya,32.750655,34.784029000000004,2.033374000000002
42,42,42,42,Shiva,32.750655,34.784029000000004,2.033374000000002
43,43,43,43,Keerthi,32.750655,34.784029000000004,2.033374000000002
44,44,44,44,Arjun,32.783989000000005,34.784029000000004,2.0000399999999985
45,45,45,45,Preeti,32.83399,34.784029000000004,1.950039000000004
46,46,46,46,Arjun,34.817363,40.18413700000001,5.366774000000007
47,47,47,47,Shiva,34.884031,40.18413700000001,5.300106000000007
48,48,48,48,Kamal,34.884031,40.18413700000001,5.300106000000007
49,49,49,49,Preeti,35.317372999999996,40.18413700000001,4.866764000000003
50,50,50,50,Arjun,40.31747300000001,42.56751800000001,2.250045
51,51,51,51,Shiva,40.31747300000001,42.56751800000001,2.250045
52,52,52,52,Keerthi,41.084154999999996,42.56751800000001,1.4833630000000042
53,53,53,53,Kamal,41.084154999999996,42.56751800000001,1.4833630000000042
54,54,54,54,Kalyan,41.684166999999995,42.56751800000001,0.8833510000000047
55,55,55,55,Arjun,42.56751800000001,44.48422300000001,1.9167050000000003
56,56,56,56,Preeti,43.017527,44.48422300000001,1.466696000000006
57,57,57,57,Arjun,44.48422300000001,48.617639,4.133415999999997
58,58,58,58,Preeti,44.517557,48.617639,4.100082
59,59,59,59,Amit,45.28423900000001,48.617639,3.333399999999997
60,60,60,60,Shiva,45.450909,48.617639,3.166730000000001
61,61,61,61,Kamal,45.450909,48.617639,3.166730000000001
62,62,62,62,Kalyan,45.517577,48.617639,3.100062000000001
63,63,63,63,Keerthi,47.60095200000001,48.617639,1.0166869999999977
64,64,64,64,Vidya,47.60095200000001,48.617639,1.0166869999999977
65,65,65,65,Arjun,48.700974,52.934392,4.233418
66,66,66,66,Shiva,48.767641999999995,52.934392,4.16675
67,67,67,67,Prospective Bridegroom,50.11766900000001,52.934392,2.8167229999999956
68,68,68,68,Arjun,52.934392,55.20110400000001,2.2667120000000054
69,69,69,69,Keerthi,52.984393,55.20110400000001,2.216711000000004
70,70,70,70,Preeti,52.984393,55.20110400000001,2.216711000000004
71,71,71,71,Vidya,52.984393,55.20110400000001,2.216711000000004
72,72,72,72,Shiva,53.01772700000001,55.20110400000001,2.183377
73,73,73,73,Kamal,53.01772700000001,55.20110400000001,2.183377
74,74,74,74,Arjun,55.251105,62.251245,7.0001399999999965
75,75,75,75,Preeti,55.251105,62.251245,7.0001399999999965
76,76,76,76,Keerthi,57.751155,62.251245,4.500089999999993
77,77,77,77,Shiva,57.751155,62.251245,4.500089999999993
78,78,78,78,Vidya,57.751155,62.251245,4.500089999999993
79,79,79,79,Kamal,57.751155,62.251245,4.500089999999993
80,80,80,80,Vidya,62.251245,64.78462900000001,2.5333840000000123
