,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Michael,2.9333920000000004,12.216911,9.283518999999998
1,1,1,1,CEO,3.0667280000000003,12.216911,9.150182999999998
2,2,2,2,Judge,3.4334020000000005,12.216911,8.783508999999999
3,3,3,3,Janardhan,3.4667360000000005,12.216911,8.750174999999999
4,4,4,4,Vijay's Friend,3.5167370000000004,12.216911,8.700173999999999
5,5,5,5,Narayana,3.5667380000000004,12.216911,8.650172999999999
6,6,6,6,Vijay,3.6000720000000004,12.216911,8.616838999999999
7,7,7,7,Navneetha,3.66674,12.216911,8.550170999999999
8,8,8,8,Swetcha,3.66674,12.216911,8.550170999999999
9,9,9,9,Lahari,3.66674,12.216911,8.550170999999999
10,10,10,10,Lawyer Purushottham,3.716741,12.216911,8.500169999999999
11,11,11,11,Service Center Guy,7.233478000000002,12.216911,4.983432999999997
12,12,12,12,Vijay,12.250245,25.16717,12.916925000000004
13,13,13,13,Michael,12.450249,25.16717,12.716921
14,14,14,14,Narayana,14.700294,25.16717,10.466876000000003
15,15,15,15,Navneetha,17.767022,25.16717,7.4001480000000015
16,16,16,16,Lahari,17.767022,25.16717,7.4001480000000015
17,17,17,17,Swetcha,25.383841000000004,39.450789,14.066947999999995
18,18,18,18,Navneetha,25.50051,39.450789,13.950278999999998
19,19,19,19,Lahari's Friend,25.66718,39.450789,13.783609000000002
20,20,20,20,Lahari,25.66718,39.450789,13.783609000000002
21,21,21,21,Vijay,28.717240999999998,39.450789,10.733548
22,22,22,22,Janardhan,29.40058800000001,39.450789,10.05020099999999
23,23,23,23,Bharath,29.40058800000001,39.450789,10.05020099999999
24,24,24,24,Michael,32.333980000000004,39.450789,7.116808999999996
25,25,25,25,Ajay,34.484023,39.450789,4.966766000000002
26,26,26,26,Vijay,39.46745600000001,52.05104100000001,12.583585000000001
27,27,27,27,Michael,39.517457,52.05104100000001,12.533584000000012
28,28,28,28,Narayana,39.86746400000001,52.05104100000001,12.183577
29,29,29,29,Vijay's Friend,40.46747600000001,52.05104100000001,11.583565
30,30,30,30,Bharath,40.60081200000001,52.05104100000001,11.450229
31,31,31,31,Lahari,41.184157000000006,52.05104100000001,10.866884000000004
32,32,32,32,Navneetha,42.134176,52.05104100000001,9.916865000000008
33,33,33,33,Swetcha,42.200844,52.05104100000001,9.850197000000009
34,34,34,34,Lahari's Mother,47.06760800000001,52.05104100000001,4.983433000000005
35,35,35,35,Lahari's Friend,47.06760800000001,52.05104100000001,4.983433000000005
36,36,36,36,Bharath,52.084375,58.06782800000001,5.983453000000013
37,37,37,37,Vijay,52.084375,58.06782800000001,5.983453000000013
38,38,38,38,Janardhan,52.701054000000006,58.06782800000001,5.366774000000007
39,39,39,39,Lahari,53.601071999999995,58.06782800000001,4.466756000000012
40,40,40,40,Lahari,58.084495,68.318033,10.233538000000003
41,41,41,41,Swetcha,58.13449600000001,68.318033,10.183536999999989
42,42,42,42,Vijay,58.301166,68.318033,10.016866999999998
43,43,43,43,Michael,59.151182999999996,68.318033,9.166849999999997
44,44,44,44,Vijay's Friend,59.151182999999996,68.318033,9.166849999999997
45,45,45,45,Ajay,60.23453800000001,68.318033,8.083494999999992
46,46,46,46,Narayana,66.48466300000001,68.318033,1.8333699999999882
47,47,47,47,Narayana,68.33470000000001,80.16826999999998,11.833569999999964
48,48,48,48,Vijay,69.618059,80.16826999999998,10.550210999999976
49,49,49,49,Swetcha,72.30144600000001,80.16826999999998,7.866823999999966
50,50,50,50,Janardhan,72.518117,80.16826999999998,7.650152999999975
51,51,51,51,Kishore,73.80147600000002,80.16826999999998,6.366793999999956
52,52,52,52,Swetcha's Mother,74.68482700000001,80.16826999999998,5.483442999999966
53,53,53,53,CEO,75.13483599999998,80.16826999999998,5.033434
54,54,54,54,Janardhan,80.184937,90.901818,10.716880999999999
55,55,55,55,Bharath,80.184937,90.901818,10.716880999999999
56,56,56,56,Kishore,80.55161100000002,90.901818,10.350206999999985
57,57,57,57,Vijay,80.55161100000002,90.901818,10.350206999999985
58,58,58,58,Swetcha,80.55161100000002,90.901818,10.350206999999985
59,59,59,59,Lahari,81.518297,90.901818,9.383521000000002
60,60,60,60,Narayana,85.55171100000003,90.901818,5.35010699999998
61,61,61,61,Michael,85.785049,90.901818,5.116769000000005
62,62,62,62,Janardhan,90.918485,99.268652,8.350166999999999
63,63,63,63,CEO,90.918485,99.268652,8.350166999999999
64,64,64,64,Bharath,90.918485,99.268652,8.350166999999999
65,65,65,65,Kishore,90.935152,99.268652,8.3335
66,66,66,66,Vijay,90.935152,99.268652,8.3335
67,67,67,67,Swetcha,90.935152,99.268652,8.3335
68,68,68,68,Lahari,95.101902,99.268652,4.166750000000008
69,69,69,69,Narayana,97.03527400000002,99.268652,2.2333779999999885
70,70,70,70,Swetcha's Mother,97.53528399999999,99.268652,1.7333679999999991
71,71,71,71,Michael,99.16865,99.268652,0.10000200000000348
72,72,72,72,Vijay,99.301986,114.86896399999999,15.566978000000004
73,73,73,73,Narayana,99.368654,114.86896399999999,15.50031
74,74,74,74,Michael,102.902058,114.86896399999999,11.966906000000007
75,75,75,75,Vijay's Friend,102.902058,114.86896399999999,11.966906000000007
76,76,76,76,Lahari,103.035394,114.86896399999999,11.833570000000007
77,77,77,77,Swetcha,103.38540100000002,114.86896399999999,11.483562999999993
78,78,78,78,Janardhan,105.33543999999999,114.86896399999999,9.533524
79,79,79,79,CEO,107.552151,114.86896399999999,7.31681300000001
80,80,80,80,Lawyer Purushottham,108.23549799999999,114.86896399999999,6.633465999999999
81,81,81,81,Service Center Guy,108.302166,114.86896399999999,6.566798000000019
82,82,82,82,Judge,108.352167,114.86896399999999,6.516797000000013
83,83,83,83,Navneetha,108.385501,114.86896399999999,6.4834629999999995
84,84,84,84,Ajay,109.918865,114.86896399999999,4.950099000000009
