,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Venky,1.2333580000000002,14.016947000000002,12.783589
1,1,1,1,Varun,1.6667,14.016947000000002,12.350247
2,2,2,2,Viswanath,6.2001240000000015,14.016947000000002,7.8168229999999985
3,3,3,3,Telugu Matrimony Matchmaker,7.200144000000001,14.016947000000002,6.816803000000001
4,4,4,4,Harika,7.3334800000000016,14.016947000000002,6.683467
5,5,5,5,Harika's Grandmother #1,8.466836,14.016947000000002,5.550111000000001
6,6,6,6,Harika's Grandmother #2,8.466836,14.016947000000002,5.550111000000001
7,7,7,7,Harika & Honey's Mother,8.733508,14.016947000000002,5.283439000000001
8,8,8,8,Harika & Honey's Father,8.883511,14.016947000000002,5.133436000000001
9,9,9,9,MLA,11.483563,14.016947000000002,2.5333840000000016
10,10,10,10,MLA's Driver,11.483563,14.016947000000002,2.5333840000000016
11,11,11,11,MLA's Bodyguard,11.516897000000002,14.016947000000002,2.50005
12,12,12,12,Venky,14.100282000000002,26.050521000000003,11.950239000000002
13,13,13,13,MLA's Driver,14.100282000000002,26.050521000000003,11.950239000000002
14,14,14,14,MLA,14.133616000000002,26.050521000000003,11.916905000000002
15,15,15,15,MLA's Bodyguard,14.183617000000002,26.050521000000003,11.866904000000002
16,16,16,16,Harika & Honey's Father,14.633626,26.050521000000003,11.416895000000002
17,17,17,17,Harika & Honey's Mother,14.633626,26.050521000000003,11.416895000000002
18,18,18,18,Telugu Matrimony Matchmaker,14.650293,26.050521000000003,11.400228000000006
19,19,19,19,Harika's Grandmother #1,14.983633,26.050521000000003,11.066888000000004
20,20,20,20,Harika's Grandmother #2,14.983633,26.050521000000003,11.066888000000004
21,21,21,21,Harika,15.600311999999999,26.050521000000003,10.450209000000003
22,22,22,22,Honey,18.3337,26.050521000000003,7.716821000000002
23,23,23,23,Prasad,24.033814000000003,26.050521000000003,2.016707
