,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Chotu Bhai,3.783409,11.450229,7.666819999999999
1,1,1,1,Bowenpally Sampath,5.2834389999999996,11.450229,6.16679
2,2,2,2,Mahesh,8.066828000000001,11.450229,3.3834009999999988
3,3,3,3,Circuit,8.100162000000001,11.450229,3.3500669999999992
4,4,4,4,Das,8.250164999999999,11.450229,3.200064000000001
5,5,5,5,Peg Pandu,8.416835,11.450229,3.0333939999999995
6,6,6,6,Filament,8.616839,11.450229,2.83339
7,7,7,7,Mohan,8.750175,11.450229,2.700054
8,8,8,8,Rinku,9.033514,11.450229,2.416715
9,9,9,9,Laxman,9.033514,11.450229,2.416715
10,10,10,10,Young Das,11.616899000000002,31.333959999999998,19.717060999999998
11,11,11,11,Young Tina,11.766902000000002,31.333959999999998,19.567058
12,12,12,12,Das Mother,12.266912,31.333959999999998,19.067048
13,13,13,13,Das Sister,12.416915,31.333959999999998,18.917045
14,14,14,14,Peg Pandu,13.283598999999999,31.333959999999998,18.050361
15,15,15,15,Shankar Anna,13.283598999999999,31.333959999999998,18.050361
16,16,16,16,Young Faizal,14.700294,31.333959999999998,16.633666
17,17,17,17,Young Mahesh,15.316973,31.333959999999998,16.016987
18,18,18,18,Young Filament,15.900318000000002,31.333959999999998,15.433642
19,19,19,19,Filament,17.967026,31.333959999999998,13.366934
20,20,20,20,Das,17.967026,31.333959999999998,13.366934
21,21,21,21,Circuit,17.967026,31.333959999999998,13.366934
22,22,22,22,Mohan,18.200364,31.333959999999998,13.133595999999999
23,23,23,23,Tina,18.3337,31.333959999999998,13.00026
24,24,24,24,Mahesh,28.383901,31.333959999999998,2.9500589999999995
25,25,25,25,Ravi,31.16729,31.333959999999998,0.16666999999999987
26,26,26,26,Raju,31.16729,31.333959999999998,0.16666999999999987
27,27,27,27,Das,31.367294,51.217690999999995,19.850397
28,28,28,28,Das Mother,31.55063100000001,51.217690999999995,19.667059999999992
29,29,29,29,Das Sister,34.317353000000004,51.217690999999995,16.900337999999998
30,30,30,30,Sakhi,34.950699,51.217690999999995,16.266992000000002
31,31,31,31,Circuit,35.550711,51.217690999999995,15.666980000000002
32,32,32,32,Peg Pandu,35.734048,51.217690999999995,15.483642999999999
33,33,33,33,Filament,35.734048,51.217690999999995,15.483642999999999
34,34,34,34,Mahesh,35.734048,51.217690999999995,15.483642999999999
35,35,35,35,Mohan,35.75071500000001,51.217690999999995,15.466975999999995
36,36,36,36,Ravi,39.767462,51.217690999999995,11.450229
37,37,37,37,Raju,39.767462,51.217690999999995,11.450229
38,38,38,38,Saidulu,40.31747300000001,51.217690999999995,10.900217999999995
39,39,39,39,Niranjan,40.31747300000001,51.217690999999995,10.900217999999995
40,40,40,40,Mutton Masthan,41.91750500000001,51.217690999999995,9.300185999999991
41,41,41,41,Rinku,48.71764100000001,51.217690999999995,2.5000499999999946
42,42,42,42,Filament,51.217690999999995,62.184577,10.966886000000002
43,43,43,43,Peg Pandu,51.23435800000001,62.184577,10.950218999999995
44,44,44,44,Saidulu,51.23435800000001,62.184577,10.950218999999995
45,45,45,45,Circuit,51.23435800000001,62.184577,10.950218999999995
46,46,46,46,Das,53.63440600000001,62.184577,8.550170999999992
47,47,47,47,Zoya,53.651073,62.184577,8.533504000000008
48,48,48,48,Das Sister,53.651073,62.184577,8.533504000000008
49,49,49,49,Das Mother,53.95107900000001,62.184577,8.233497999999997
50,50,50,50,Zoya Mother,54.184417,62.184577,8.000160000000001
51,51,51,51,Mohan,56.701133999999996,62.184577,5.483443000000001
52,52,52,52,Mahesh,56.701133999999996,62.184577,5.483443000000001
53,53,53,53,Sakhi,56.95113900000001,62.184577,5.2334379999999925
54,54,54,54,Ravi,57.13447600000001,62.184577,5.050100999999998
55,55,55,55,Raju,57.13447600000001,62.184577,5.050100999999998
56,56,56,56,Das,62.267912,76.93487200000001,14.66696000000001
57,57,57,57,Circuit,62.267912,76.93487200000001,14.66696000000001
58,58,58,58,Mohan,62.367914000000006,76.93487200000001,14.566958000000007
59,59,59,59,Saidulu,63.41793500000001,76.93487200000001,13.516937000000004
60,60,60,60,Mallesh,63.41793500000001,76.93487200000001,13.516937000000004
61,61,61,61,Interrogation Guy,64.084615,76.93487200000001,12.850257000000012
62,62,62,62,Das Mother,66.38466100000001,76.93487200000001,10.550211000000004
63,63,63,63,Sakhi Father,66.601332,76.93487200000001,10.333540000000012
64,64,64,64,Sakhi Mother,66.601332,76.93487200000001,10.333540000000012
65,65,65,65,Sakhi,66.601332,76.93487200000001,10.333540000000012
66,66,66,66,Das Sister,66.701334,76.93487200000001,10.23353800000001
67,67,67,67,Peg Pandu,67.868024,76.93487200000001,9.06684800000001
68,68,68,68,Filament,67.884691,76.93487200000001,9.05018100000001
69,69,69,69,Mahesh,67.884691,76.93487200000001,9.05018100000001
70,70,70,70,Ravi,69.56805800000001,76.93487200000001,7.366814000000005
71,71,71,71,Raju,69.56805800000001,76.93487200000001,7.366814000000005
72,72,72,72,Niranjan,69.56805800000001,76.93487200000001,7.366814000000005
73,73,73,73,Rinku,69.584725,76.93487200000001,7.350147000000009
74,74,74,74,Aneesh,71.23475800000001,76.93487200000001,5.700113999999999
75,75,75,75,Gun Dealer,76.95153900000003,92.40184800000002,15.45030899999999
76,76,76,76,Filament,76.95153900000003,92.40184800000002,15.45030899999999
77,77,77,77,Mahesh,76.95153900000003,92.40184800000002,15.45030899999999
78,78,78,78,Das,76.95153900000003,92.40184800000002,15.45030899999999
79,79,79,79,Circuit,76.95153900000003,92.40184800000002,15.45030899999999
80,80,80,80,Peg Pandu,77.151543,92.40184800000002,15.250305000000012
81,81,81,81,Saidulu,78.101562,92.40184800000002,14.300286000000016
82,82,82,82,Mallesh,78.11822900000001,92.40184800000002,14.283619000000002
83,83,83,83,Advocate Venkat,79.268252,92.40184800000002,13.133596000000011
84,84,84,84,Mohan,79.534924,92.40184800000002,12.866924000000012
85,85,85,85,Zoya,80.45160899999998,92.40184800000002,11.950239000000039
86,86,86,86,Sakhi,80.93495200000002,92.40184800000002,11.466895999999993
87,87,87,87,Rinku,88.66844,92.40184800000002,3.7334080000000114
88,88,88,88,Laxman,88.951779,92.40184800000002,3.4500690000000134
89,89,89,89,Ravi,89.585125,92.40184800000002,2.8167230000000103
90,90,90,90,Raju,89.585125,92.40184800000002,2.8167230000000103
91,91,91,91,Zoya,92.585185,109.635526,17.050341000000003
92,92,92,92,Mahesh,92.585185,109.635526,17.050341000000003
93,93,93,93,Das,92.585185,109.635526,17.050341000000003
94,94,94,94,Ravi,93.018527,109.635526,16.616998999999993
95,95,95,95,Raju,93.018527,109.635526,16.616998999999993
96,96,96,96,Peg Pandu,93.051861,109.635526,16.583664999999996
97,97,97,97,Filament,93.051861,109.635526,16.583664999999996
98,98,98,98,Mallesh,93.051861,109.635526,16.583664999999996
99,99,99,99,Advocate Venkat,93.051861,109.635526,16.583664999999996
100,100,100,100,Circuit,93.051861,109.635526,16.583664999999996
101,101,101,101,Mohan,94.701894,109.635526,14.933632000000005
102,102,102,102,Zoya Mother,102.102042,109.635526,7.533484000000001
103,103,103,103,Laxman,102.235378,109.635526,7.4001480000000015
104,104,104,104,Mallesh,109.73552800000002,128.35256700000002,18.617039000000005
105,105,105,105,Das,109.73552800000002,128.35256700000002,18.617039000000005
106,106,106,106,Circuit,110.252205,128.35256700000002,18.10036200000002
107,107,107,107,Rinku,110.38554099999999,128.35256700000002,17.96702600000002
108,108,108,108,Saidulu,110.518877,128.35256700000002,17.83369000000002
109,109,109,109,Filament,111.118889,128.35256700000002,17.233678000000026
110,110,110,110,Ravi,111.402228,128.35256700000002,16.950339000000017
111,111,111,111,Raju,111.402228,128.35256700000002,16.950339000000017
112,112,112,112,Niranjan,111.402228,128.35256700000002,16.950339000000017
113,113,113,113,Peg Pandu,111.45222900000002,128.35256700000002,16.900338000000005
114,114,114,114,Das Mother,111.45222900000002,128.35256700000002,16.900338000000005
115,115,115,115,Mahesh,115.68564700000002,128.35256700000002,12.666920000000005
116,116,116,116,Das Sister,115.68564700000002,128.35256700000002,12.666920000000005
117,117,117,117,Mohan,116.21899100000002,128.35256700000002,12.133576000000005
118,118,118,118,Zoya,116.21899100000002,128.35256700000002,12.133576000000005
119,119,119,119,Zoya Mother,116.21899100000002,128.35256700000002,12.133576000000005
120,120,120,120,Laxman,120.785749,128.35256700000002,7.566818000000026
121,121,121,121,Filament,128.419235,141.219491,12.80025599999999
122,122,122,122,Circuit,128.419235,141.219491,12.80025599999999
123,123,123,123,Das,128.53590400000002,141.219491,12.683586999999989
124,124,124,124,Mohan,128.552571,141.219491,12.666920000000005
125,125,125,125,Mahesh,129.202584,141.219491,12.016907000000005
