,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Varun,3.83341,14.550291,10.716880999999999
1,1,1,1,Raju,4.16675,14.550291,10.383541
2,2,2,2,Bujji,4.450089,14.550291,10.100202
3,3,3,3,Ali,6.2167910000000015,14.550291,8.333499999999997
4,4,4,4,Suzie,6.2167910000000015,14.550291,8.333499999999997
5,5,5,5,Bhanumati,7.550151,14.550291,7.000139999999999
6,6,6,6,Bhanu's Friend,7.883491000000001,14.550291,6.6667999999999985
7,7,7,7,Bhanu's Father,8.733508,14.550291,5.816782999999999
8,8,8,8,Bhanumati's Aunt,8.850177,14.550291,5.700113999999999
9,9,9,9,Renuka,9.600192000000002,14.550291,4.950098999999998
10,10,10,10,Varun,14.650293,29.83393,15.183637
11,11,11,11,Bhanumati,14.816963000000001,29.83393,15.016966999999998
12,12,12,12,Bujji,18.767042,29.83393,11.066888
13,13,13,13,Raju,18.767042,29.83393,11.066888
14,14,14,14,Renuka,19.667060000000006,29.83393,10.166869999999992
15,15,15,15,Bhanumati's Aunt,20.967086,29.83393,8.866844
16,16,16,16,Bhanu's Father,24.383821,29.83393,5.450108999999998
17,17,17,17,Bhanu's Friend,24.483823,29.83393,5.350106999999999
18,18,18,18,Varun,29.850597000000004,49.817663,19.967066
19,19,19,19,Bhanumati,30.033934000000002,49.817663,19.783729
20,20,20,20,Bhanumati's Aunt,30.717281000000003,49.817663,19.100382
21,21,21,21,Bujji,30.933952,49.817663,18.883711
22,22,22,22,Raju,31.567298000000005,49.817663,18.250365
23,23,23,23,Renuka,34.034014000000006,49.817663,15.783648999999995
24,24,24,24,Bhanu's Friend,34.034014000000006,49.817663,15.783648999999995
25,25,25,25,Bhanu's Father,34.317353000000004,49.817663,15.50031
26,26,26,26,Renuka,49.85099700000001,65.751315,15.900317999999999
27,27,27,27,Bhanumati's Aunt,49.85099700000001,65.751315,15.900317999999999
28,28,28,28,Bhanumati,49.967666,65.751315,15.783649000000004
29,29,29,29,Bhanu's Friend,49.967666,65.751315,15.783649000000004
30,30,30,30,Varun,50.63434600000001,65.751315,15.116968999999996
31,31,31,31,Bujji,59.33452000000001,65.751315,6.416794999999992
32,32,32,32,Bhanu's Father,59.717861000000006,65.751315,6.033453999999999
33,33,33,33,Raju,61.15122300000001,65.751315,4.6000919999999965
34,34,34,34,Bhanu's Friend,65.751315,72.83479000000001,7.083475000000008
35,35,35,35,Bhanumati,65.751315,72.83479000000001,7.083475000000008
36,36,36,36,Varun,66.317993,72.83479000000001,6.516797000000013
37,37,37,37,Bujji,66.50133000000001,72.83479000000001,6.333460000000002
38,38,38,38,Bhanumati's Aunt,66.984673,72.83479000000001,5.850117000000013
39,39,39,39,Bhanu's Father,67.40134800000001,72.83479000000001,5.433441999999999
40,40,40,40,Renuka,67.40134800000001,72.83479000000001,5.433441999999999
41,41,41,41,Raju,67.40134800000001,72.83479000000001,5.433441999999999
42,42,42,42,Bhanu's Father,72.884791,85.30170600000002,12.416915000000017
43,43,43,43,Bhanumati,72.918125,85.30170600000002,12.383581000000019
44,44,44,44,Varun,73.00146000000002,85.30170600000002,12.300246000000001
45,45,45,45,Renuka,73.31813299999997,85.30170600000002,11.98357300000005
46,46,46,46,Bhanumati's Aunt,73.31813299999997,85.30170600000002,11.98357300000005
47,47,47,47,Bujji,73.31813299999997,85.30170600000002,11.98357300000005
48,48,48,48,Raju,73.31813299999997,85.30170600000002,11.98357300000005
49,49,49,49,Ali,75.968186,85.30170600000002,9.33352000000002
50,50,50,50,Bhanu's Friend,78.201564,85.30170600000002,7.1001420000000195
51,51,51,51,Renuka,85.33504,97.635286,12.300245999999989
52,52,52,52,Bujji,85.33504,97.635286,12.300245999999989
53,53,53,53,Varun,85.33504,97.635286,12.300245999999989
54,54,54,54,Raju,85.33504,97.635286,12.300245999999989
55,55,55,55,Bhanumati,85.751715,97.635286,11.883570999999993
56,56,56,56,Bhanumati's neighbor,88.951779,97.635286,8.683506999999992
57,57,57,57,Ali,91.051821,97.635286,6.5834649999999915
58,58,58,58,Suzie,92.368514,97.635286,5.266771999999988
59,59,59,59,Bhanu's Father,94.50189,97.635286,3.1333959999999905
60,60,60,60,Bhanumati's Aunt,94.50189,97.635286,3.1333959999999905
61,61,61,61,Varun,97.66862,112.035574,14.366953999999993
62,62,62,62,Raju,97.66862,112.035574,14.366953999999993
63,63,63,63,Renuka,97.685287,112.035574,14.350286999999994
64,64,64,64,Bhanu's Father,100.202004,112.035574,11.833569999999995
65,65,65,65,Bhanumati's Aunt,100.202004,112.035574,11.833569999999995
66,66,66,66,Bhanumati,100.202004,112.035574,11.833569999999995
67,67,67,67,Bhanumati's neighbor,100.718681,112.035574,11.316892999999993
68,68,68,68,Suzie,102.71872100000002,112.035574,9.31685299999998
