,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Lacey,0.5500109999999999,4.350087,3.8000760000000002
1,1,1,1,Senator Johnson,0.566678,4.350087,3.783409
2,2,2,2,Beach Runner,3.2167310000000002,4.350087,1.133356
3,3,3,3,Detective,3.5834050000000004,4.350087,0.7666819999999999
4,4,4,4,Agent Peterson,4.650093,20.100402000000006,15.450309000000004
5,5,5,5,Sarah Plummer,4.700094,20.100402000000006,15.400308000000004
6,6,6,6,Jacob Plummer,7.700153999999999,20.100402000000006,12.400248000000007
7,7,7,7,Ken Plummer,8.200164000000001,20.100402000000006,11.900238000000005
8,8,8,8,Michelle Taylor,12.133576,20.100402000000006,7.966826000000006
9,9,9,9,Co-Pilot,12.50025,20.100402000000006,7.600152000000008
10,10,10,10,Pilot,12.533584,20.100402000000006,7.566818000000008
11,11,11,11,Stewardess One,12.750255000000001,20.100402000000006,7.350147000000005
12,12,12,12,Cameron,20.200404000000002,41.284159,21.083755
13,13,13,13,Ken Plummer,20.350407,41.284159,20.933752
14,14,14,14,Jacob Plummer,20.350407,41.284159,20.933752
15,15,15,15,Sarah Plummer,20.617079,41.284159,20.66708
16,16,16,16,Michelle Taylor,20.617079,41.284159,20.66708
17,17,17,17,Passenger,20.617079,41.284159,20.66708
18,18,18,18,Nick,23.183797,41.284159,18.100362000000004
19,19,19,19,Pool Cleaner,26.367194,41.284159,14.916965
20,20,20,20,Stewardess,27.867224000000004,41.284159,13.416935
21,21,21,21,Passenger,27.900558000000004,41.284159,13.383601
22,22,22,22,Passenger,27.900558000000004,41.284159,13.383601
23,23,23,23,Passenger,27.900558000000004,41.284159,13.383601
24,24,24,24,Senator Johnson,30.50061,41.284159,10.783549
25,25,25,25,Gina,36.367394,41.284159,4.916765000000005
26,26,26,26,Agent Peterson,39.26745200000001,41.284159,2.0167069999999896
27,27,27,27,Ken Plummer,41.300826,59.951199,18.650373000000002
28,28,28,28,Jacob Plummer,41.300826,59.951199,18.650373000000002
29,29,29,29,Cameron,41.417495,59.951199,18.533704
30,30,30,30,Agent Franklin,42.16751000000001,59.951199,17.783688999999995
31,31,31,31,Sarah Plummer,45.184237,59.951199,14.766962
32,32,32,32,Michelle Taylor,45.184237,59.951199,14.766962
33,33,33,33,Nick,45.184237,59.951199,14.766962
34,34,34,34,Passenger,45.184237,59.951199,14.766962
35,35,35,35,Agent Peterson,46.967606,59.951199,12.983592999999999
36,36,36,36,Gina,47.53428400000001,59.951199,12.416914999999996
37,37,37,37,Marshall Adams,54.03441400000001,59.951199,5.91678499999999
38,38,38,38,Pilot,58.58450500000001,59.951199,1.3666939999999954
39,39,39,39,Co-Pilot,58.58450500000001,59.951199,1.3666939999999954
40,40,40,40,Cameron,60.03453400000001,82.318313,22.283779
41,41,41,41,Ken Plummer,60.117869000000006,82.318313,22.200444
42,42,42,42,Jacob Plummer,60.117869000000006,82.318313,22.200444
43,43,43,43,Senator Johnson,60.98455300000001,82.318313,21.333759999999987
44,44,44,44,Agent Peterson,61.33456,82.318313,20.983753
45,45,45,45,Pool Cleaner,61.75123500000001,82.318313,20.567077999999995
46,46,46,46,Sarah Plummer,62.00124,82.318313,20.317073
47,47,47,47,Michelle Taylor,62.00124,82.318313,20.317073
48,48,48,48,Marshall Adams,62.00124,82.318313,20.317073
49,49,49,49,Stewardess,62.41791500000001,82.318313,19.900398000000003
50,50,50,50,Frank Harrison,65.517977,82.318313,16.800335999999998
51,51,51,51,Gina,70.284739,82.318313,12.033574000000002
52,52,52,52,Agent Franklin,73.51813700000002,82.318313,8.800175999999981
53,53,53,53,Helicopter Pilot,73.951479,82.318313,8.366833999999997
54,54,54,54,Mrs. Johnson,76.13485600000001,82.318313,6.183456999999992
55,55,55,55,Jacob Plummer,82.40164800000002,83.518337,1.1166889999999796
56,56,56,56,Sarah Plummer,82.53498400000002,83.518337,0.9833529999999796
57,57,57,57,Ken Plummer,82.584985,83.518337,0.9333519999999992
58,58,58,58,Newscaster,82.718321,83.518337,0.8000159999999994
59,59,59,59,Agent Peterson,82.81832299999998,83.518337,0.7000140000000243
60,60,60,60,Senator Johnson,82.81832299999998,83.518337,0.7000140000000243
61,61,61,61,Michelle Taylor,83.234998,83.518337,0.283338999999998
