,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Satya,2.200044,10.616879,8.416835
1,1,1,1,Young Gopi,3.1500630000000003,10.616879,7.4668160000000015
2,2,2,2,Damodar,3.2167310000000002,10.616879,7.4001480000000015
3,3,3,3,Acharya (Head of Trinethra),3.5500710000000004,10.616879,7.066808
4,4,4,4,Ramayya,6.683467,10.616879,3.933412000000001
5,5,5,5,Librarian,8.283499,10.616879,2.33338
6,6,6,6,Arjun Kumar,8.283499,10.616879,2.33338
7,7,7,7,Arjun Kumar,10.700214,17.317013000000006,6.616799000000006
8,8,8,8,Girl In Pub,13.350267,17.317013000000006,3.966746000000007
9,9,9,9,Guy In Pub,13.466936,17.317013000000006,3.8500770000000064
10,10,10,10,Nadiya Qureshi,14.516957000000001,17.317013000000006,2.800056000000005
11,11,11,11,Damodar,15.883651000000002,17.317013000000006,1.4333620000000042
12,12,12,12,Arjun Kumar,17.317013000000006,24.100482000000003,6.7834689999999975
13,13,13,13,Salesman At Tailorman,17.583685000000006,24.100482000000003,6.516796999999998
14,14,14,14,Shyam,17.717021000000006,24.100482000000003,6.383460999999998
15,15,15,15,Gokaraju,19.433722000000003,24.100482000000003,4.66676
16,16,16,16,Damodar,19.767062000000006,24.100482000000003,4.333419999999997
17,17,17,17,Kishore Krishnamoorthy,19.800396000000006,24.100482000000003,4.300085999999997
18,18,18,18,Uma Vishwanath,19.800396000000006,24.100482000000003,4.300085999999997
19,19,19,19,Ravi Varma,19.800396000000006,24.100482000000003,4.300085999999997
20,20,20,20,Leena Rajan,19.800396000000006,24.100482000000003,4.300085999999997
21,21,21,21,Mohammad Basha,19.800396000000006,24.100482000000003,4.300085999999997
22,22,22,22,Abdul Qadir,24.317153,37.984093,13.66694
23,23,23,23,Kishore Krishnamoorthy,25.100502,37.984093,12.883591000000004
24,24,24,24,Uma Vishwanath,25.100502,37.984093,12.883591000000004
25,25,25,25,Ravi Varma,25.100502,37.984093,12.883591000000004
26,26,26,26,Arjun Kumar,25.100502,37.984093,12.883591000000004
27,27,27,27,Leena Rajan,25.100502,37.984093,12.883591000000004
28,28,28,28,Mohammad Basha,25.100502,37.984093,12.883591000000004
29,29,29,29,Nadiya Qureshi,25.117169000000004,37.984093,12.866923999999996
30,30,30,30,Arabic Trainer,25.733848000000002,37.984093,12.250245
31,31,31,31,Damodar,25.817183000000004,37.984093,12.166909999999998
32,32,32,32,Shaam,25.883851000000003,37.984093,12.100241999999998
33,33,33,33,Sameera Rao,27.667220000000004,37.984093,10.316872999999998
34,34,34,34,Satya,29.583925000000004,37.984093,8.400167999999997
35,35,35,35,Young Gopi,31.833970000000004,37.984093,6.150122999999998
36,36,36,36,Vishnu Babai,37.134076,37.984093,0.8500170000000011
37,37,37,37,Hamzaa,37.234078000000004,37.984093,0.7500149999999977
38,38,38,38,Arjun Kumar,38.00076000000001,51.267692,13.26693199999999
39,39,39,39,Sameera Rao,38.00076000000001,51.267692,13.26693199999999
40,40,40,40,Nadiya Qureshi,38.517437,51.267692,12.750254999999996
41,41,41,41,Ravi Varma,38.517437,51.267692,12.750254999999996
42,42,42,42,Leena Rajan,38.517437,51.267692,12.750254999999996
43,43,43,43,Mohammad Basha,38.517437,51.267692,12.750254999999996
44,44,44,44,Damodar,38.55077100000001,51.267692,12.716920999999983
45,45,45,45,Shaam,42.98419300000001,51.267692,8.283498999999985
46,46,46,46,Vishnu Babai,43.417535,51.267692,7.850156999999998
47,47,47,47,Clinic Receptionist,43.600872,51.267692,7.666819999999994
48,48,48,48,Vijay,44.41755500000001,51.267692,6.8501369999999895
49,49,49,49,Young Gopi,44.43422200000001,51.267692,6.833469999999982
50,50,50,50,Axis Bank Bhaskar,44.61755900000001,51.267692,6.650132999999991
51,51,51,51,Hamzaa,49.100982,51.267692,2.1667099999999957
52,52,52,52,Arjun Kumar,51.267692,57.51781700000001,6.250125000000013
53,53,53,53,Nadiya Qureshi,51.284359,57.51781700000001,6.233458000000006
54,54,54,54,Shyam,51.284359,57.51781700000001,6.233458000000006
55,55,55,55,Damodar,51.467696000000004,57.51781700000001,6.0501210000000025
56,56,56,56,Satya,52.18437700000001,57.51781700000001,5.333439999999996
57,57,57,57,Sameera Rao,52.201044,57.51781700000001,5.316773000000005
58,58,58,58,Kishore Krishnamoorthy,53.801076,57.51781700000001,3.7167410000000074
59,59,59,59,Uma Vishwanath,53.801076,57.51781700000001,3.7167410000000074
60,60,60,60,Ravi Varma,53.801076,57.51781700000001,3.7167410000000074
61,61,61,61,Leena Rajan,53.801076,57.51781700000001,3.7167410000000074
62,62,62,62,Mohammad Basha,53.801076,57.51781700000001,3.7167410000000074
63,63,63,63,Acharya (Head of Trinethra),54.117749,57.51781700000001,3.4000680000000045
64,64,64,64,Hamzaa,56.93447200000001,57.51781700000001,0.5833450000000013
65,65,65,65,Arjun Kumar,57.51781700000001,71.63476600000001,14.116949000000005
66,66,66,66,Sameera Rao,57.551151000000004,71.63476600000001,14.083615000000007
67,67,67,67,Damodar,57.751155000000004,71.63476600000001,13.883611000000007
68,68,68,68,Satya,57.884491000000004,71.63476600000001,13.75027500000001
69,69,69,69,Hamzaa,58.301166,71.63476600000001,13.333600000000011
70,70,70,70,Acharya (Head of Trinethra),58.46783600000001,71.63476600000001,13.16693
71,71,71,71,Mohammad Basha,58.50117,71.63476600000001,13.133596000000011
72,72,72,72,Abdul Qadir,63.16793000000001,71.63476600000001,8.466836
73,73,73,73,Rana,71.301426,71.63476600000001,0.33334000000000685
74,74,74,74,Rana,71.751435,78.768242,7.016807000000001
75,75,75,75,Abdul Qadir,71.78476900000003,78.768242,6.983472999999975
76,76,76,76,Nadiya Qureshi,72.00144,78.768242,6.7668019999999975
77,77,77,77,Ravi Varma,72.00144,78.768242,6.7668019999999975
78,78,78,78,Mohammad Basha,72.30144600000001,78.768242,6.466795999999987
79,79,79,79,Kishore Krishnamoorthy,73.068128,78.768242,5.700113999999999
80,80,80,80,Arjun Kumar,73.45146899999997,78.768242,5.316773000000026
81,81,81,81,Shyam,73.68480699999998,78.768242,5.083435000000024
82,82,82,82,PM Secretary,74.03481400000003,78.768242,4.733427999999974
83,83,83,83,Water Tank Cleaner,75.88485100000003,78.768242,2.8833909999999747
84,84,84,84,TV9 Reporter Rajahmundry,76.66820000000001,78.768242,2.100041999999988
85,85,85,85,Ramayya,76.93487200000001,78.768242,1.833369999999988
86,86,86,86,Satya,77.034874,78.768242,1.7333679999999991
87,87,87,87,Arjun Kumar,78.80157600000003,92.80185600000002,14.000279999999993
88,88,88,88,Rana,78.851577,92.80185600000002,13.950279000000007
89,89,89,89,Abdul Qadir,78.851577,92.80185600000002,13.950279000000007
90,90,90,90,Khan,78.984913,92.80185600000002,13.816943000000007
91,91,91,91,Satya,79.25158499999998,92.80185600000002,13.550271000000038
92,92,92,92,TV9 Reporter Rajahmundry,79.60159200000002,92.80185600000002,13.20026399999999
93,93,93,93,Ramayya,81.10162199999998,92.80185600000002,11.700234000000036
94,94,94,94,Shyam,82.418315,92.80185600000002,10.383541000000008
95,95,95,95,Nadiya Qureshi,82.95165899999998,92.80185600000002,9.850197000000037
96,96,96,96,Ravi Varma,83.03499400000003,92.80185600000002,9.766861999999987
97,97,97,97,Rahmat Ali,85.70171400000002,92.80185600000002,7.100141999999992
98,98,98,98,Sameera Rao,85.80171600000001,92.80185600000002,7.000140000000003
99,99,99,99,Hamzaa,91.035154,92.80185600000002,1.7667020000000089
