,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Sarah,2.0333740000000002,10.283539,8.250164999999999
1,1,1,1,Tyler,3.1000620000000003,10.283539,7.183476999999999
2,2,2,2,Kathy,3.8000760000000002,10.283539,6.483462999999999
3,3,3,3,Sonny,3.8000760000000002,10.283539,6.483462999999999
4,4,4,4,Sam,5.0334340000000015,10.283539,5.250104999999998
5,5,5,5,Sam's Father,5.1001020000000015,10.283539,5.183436999999998
6,6,6,6,Mr. Chu,5.5167769999999985,10.283539,4.766762000000001
7,7,7,7,Walter,7.700153999999999,10.283539,2.5833850000000007
8,8,8,8,Tommy Madigan,8.83351,10.283539,1.4500289999999991
9,9,9,9,Cooper,8.83351,10.283539,1.4500289999999991
10,10,10,10,Derek,8.83351,10.283539,1.4500289999999991
11,11,11,11,Mrs. Hoover,9.250185,10.283539,1.0333539999999992
12,12,12,12,Sam,10.283539,20.200404000000002,9.916865000000003
13,13,13,13,Sonny,10.33354,20.200404000000002,9.866864000000003
14,14,14,14,Tommy Madigan,16.416995,20.200404000000002,3.7834090000000025
15,15,15,15,Derek,16.416995,20.200404000000002,3.7834090000000025
16,16,16,16,Cooper,16.433661999999998,20.200404000000002,3.7667420000000043
17,17,17,17,Sarah,18.750375,20.200404000000002,1.4500290000000042
18,18,18,18,Sarah,20.250405,30.867284,10.616879
19,19,19,19,Tyler,20.700414000000002,30.867284,10.16687
20,20,20,20,Tyler's Crew,20.817083,30.867284,10.050201
21,21,21,21,Sam,21.683767000000003,30.867284,9.183516999999998
22,22,22,22,Sonny,21.967106,30.867284,8.900178
23,23,23,23,Slappy,22.917125,30.867284,7.950159000000002
24,24,24,24,Paramedic - TJ,30.533944,30.867284,0.3333399999999997
25,25,25,25,Sarah,30.867284,39.83413,8.966846
26,26,26,26,Sonny,31.117289000000003,39.83413,8.716840999999999
27,27,27,27,Tommy Madigan,31.367294,39.83413,8.466836
28,28,28,28,Cooper,31.367294,39.83413,8.466836
29,29,29,29,Derek,31.41729500000001,39.83413,8.416834999999992
30,30,30,30,Vanessa,31.467296000000005,39.83413,8.366833999999997
31,31,31,31,Sam,31.81730300000001,39.83413,8.016826999999992
32,32,32,32,Mrs. Carter,31.950639000000002,39.83413,7.8834909999999985
33,33,33,33,Mr. Chu,33.984013000000004,39.83413,5.850116999999997
34,34,34,34,Kathy,34.200684,39.83413,5.6334459999999975
35,35,35,35,Slappy,34.200684,39.83413,5.6334459999999975
36,36,36,36,Mr. Chu,40.217471,55.367774,15.150302999999996
37,37,37,37,Sam,40.817483,55.367774,14.550290999999996
38,38,38,38,Sonny,40.817483,55.367774,14.550290999999996
39,39,39,39,Sarah,40.817483,55.367774,14.550290999999996
40,40,40,40,Slappy,42.017507,55.367774,13.350266999999995
41,41,41,41,Walter,42.200844000000004,55.367774,13.166929999999995
42,42,42,42,Tommy Madigan,46.26759200000001,55.367774,9.100181999999991
43,43,43,43,Cooper,46.26759200000001,55.367774,9.100181999999991
44,44,44,44,Derek,46.26759200000001,55.367774,9.100181999999991
45,45,45,45,Kathy,53.984413,55.367774,1.3833609999999936
46,46,46,46,Sarah,55.367774,62.584585,7.216811
47,47,47,47,Sam,55.384441,62.584585,7.2001439999999945
48,48,48,48,Sonny,55.384441,62.584585,7.2001439999999945
49,49,49,49,R.L. Stine,56.317793,62.584585,6.266791999999995
50,50,50,50,Kathy,56.58446500000001,62.584585,6.000119999999987
51,51,51,51,Slappy,58.80117600000001,62.584585,3.7834089999999847
52,52,52,52,Walter,58.90117800000001,62.584585,3.683406999999988
53,53,53,53,Sarah,62.584585,76.36819399999997,13.783608999999974
54,54,54,54,Sonny,62.584585,76.36819399999997,13.783608999999974
55,55,55,55,Sam,62.584585,76.36819399999997,13.783608999999974
56,56,56,56,Mr. Chu,62.584585,76.36819399999997,13.783608999999974
57,57,57,57,Kathy,63.48460300000001,76.36819399999997,12.883590999999967
58,58,58,58,Slappy,63.55127100000001,76.36819399999997,12.816922999999967
59,59,59,59,Walter,63.584605,76.36819399999997,12.78358899999997
60,60,60,60,R.L. Stine,68.418035,76.36819399999997,7.950158999999973
61,61,61,61,R.L. Stine,76.36819399999997,82.65165300000002,6.28345900000005
62,62,62,62,Kathy,76.43486200000002,82.65165300000002,6.2167910000000015
63,63,63,63,Sam,76.43486200000002,82.65165300000002,6.2167910000000015
64,64,64,64,Sonny,76.43486200000002,82.65165300000002,6.2167910000000015
65,65,65,65,Sarah,76.43486200000002,82.65165300000002,6.2167910000000015
66,66,66,66,Walter,77.551551,82.65165300000002,5.100102000000022
67,67,67,67,Tommy Madigan,78.51823700000001,82.65165300000002,4.133416000000011
68,68,68,68,Science Award Presenter-Principal Harrison,80.26827200000002,82.65165300000002,2.383381
69,69,69,69,Mr. Chu,80.51827700000003,82.65165300000002,2.1333759999999984
70,70,70,70,Slappy,82.01830700000002,82.65165300000002,0.6333460000000031
