,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Hiccup,0.566678,5.833450000000001,5.266772000000001
1,1,1,1,Stoick,1.7500350000000002,5.833450000000001,4.0834150000000005
2,2,2,2,Gobber,2.300046,5.833450000000001,3.5334040000000013
3,3,3,3,nt0882092,2.766722,5.833450000000001,3.066728000000001
4,4,4,4,Ruffnut,2.8833910000000005,5.833450000000001,2.9500590000000004
5,5,5,5,Snotlout,2.8833910000000005,5.833450000000001,2.9500590000000004
6,6,6,6,Fishlegs,2.8833910000000005,5.833450000000001,2.9500590000000004
7,7,7,7,Tuffnut,2.8833910000000005,5.833450000000001,2.9500590000000004
8,8,8,8,Astrid,2.9333920000000004,5.833450000000001,2.9000580000000005
9,9,9,9,nt0370103,2.9333920000000004,5.833450000000001,2.9000580000000005
10,10,10,10,nt0488892,4.350087,5.833450000000001,1.4833630000000009
11,11,11,11,nt0758975,4.716761000000001,5.833450000000001,1.116689
12,12,12,12,Hiccup,5.833450000000001,8.666839999999999,2.8333899999999983
13,13,13,13,Stoick,6.583465,8.666839999999999,2.0833749999999984
14,14,14,14,nt0046512,7.083475000000001,8.666839999999999,1.583364999999998
15,15,15,15,Gobber,7.733488,8.666839999999999,0.9333519999999984
16,16,16,16,Ruffnut,8.483503,8.666839999999999,0.18333699999999808
17,17,17,17,nt0598325,8.483503,8.666839999999999,0.18333699999999808
18,18,18,18,Snotlout,8.483503,8.666839999999999,0.18333699999999808
19,19,19,19,Fishlegs,8.483503,8.666839999999999,0.18333699999999808
20,20,20,20,Tuffnut,8.483503,8.666839999999999,0.18333699999999808
21,21,21,21,Astrid,8.550171,8.666839999999999,0.11666899999999815
22,22,22,22,nt0751816,8.566838,8.666839999999999,0.10000199999999816
23,23,23,23,Gobber,8.666839999999999,9.433522000000002,0.766682000000003
24,24,24,24,Hiccup,8.666839999999999,9.433522000000002,0.766682000000003
25,25,25,25,nt0986681,9.200184,9.433522000000002,0.2333380000000016
26,26,26,26,Stoick,9.466856000000002,11.533564000000002,2.066708
27,27,27,27,Spitelout,9.500190000000002,11.533564000000002,2.0333740000000002
28,28,28,28,Gobber,9.983533,11.533564000000002,1.5500310000000024
29,29,29,29,nt0328192,10.816883,11.533564000000002,0.7166810000000012
30,30,30,30,nt0671445,11.050221,11.533564000000002,0.4833430000000014
31,31,31,31,Hiccup,11.616899000000002,15.183637,3.5667379999999973
32,32,32,32,Stoick,15.183637,16.883671000000003,1.7000340000000045
33,33,33,33,Hiccup,15.216971,16.883671000000003,1.666700000000004
34,34,34,34,nt0046502,16.116989,16.883671000000003,0.766682000000003
35,35,35,35,nt0046522,16.533664,16.883671000000003,0.3500070000000015
36,36,36,36,Gobber,16.883671000000003,20.050401,3.1667299999999976
37,37,37,37,Astrid,16.917005000000003,20.050401,3.1333959999999976
38,38,38,38,Ruffnut,16.917005000000003,20.050401,3.1333959999999976
39,39,39,39,Snotlout,16.917005000000003,20.050401,3.1333959999999976
40,40,40,40,Fishlegs,16.917005000000003,20.050401,3.1333959999999976
41,41,41,41,Tuffnut,16.917005000000003,20.050401,3.1333959999999976
42,42,42,42,Hiccup,17.417015000000006,20.050401,2.6333859999999945
43,43,43,43,nt0488894,17.783689000000006,20.050401,2.2667119999999947
44,44,44,44,nt0832838,18.100362,20.050401,1.9500390000000003
45,45,45,45,nt0598327,19.833730000000006,20.050401,0.2166709999999945
46,46,46,46,Hiccup,20.050401,21.95043900000001,1.9000380000000088
47,47,47,47,nt0020548,20.767082000000002,21.95043900000001,1.183357000000008
48,48,48,48,Gobber,21.95043900000001,24.750495,2.8000559999999908
49,49,49,49,Hiccup,22.00044,24.750495,2.750055
50,50,50,50,Astrid,22.00044,24.750495,2.750055
51,51,51,51,Ruffnut,22.05044100000001,24.750495,2.7000539999999904
52,52,52,52,Snotlout,22.05044100000001,24.750495,2.7000539999999904
53,53,53,53,Fishlegs,22.05044100000001,24.750495,2.7000539999999904
54,54,54,54,Tuffnut,22.05044100000001,24.750495,2.7000539999999904
55,55,55,55,nt0838924,24.517157,24.750495,0.23333799999999985
56,56,56,56,Stoick,24.783829,25.550511000000004,0.766682000000003
57,57,57,57,Spitelout,24.900498000000002,25.550511000000004,0.6500130000000013
58,58,58,58,nt0973092,25.150503000000004,25.550511000000004,0.4000079999999997
59,59,59,59,Hiccup,25.550511000000004,27.683887,2.1333759999999957
60,60,60,60,Gobber,25.733848000000002,27.683887,1.9500389999999967
61,61,61,61,Fishlegs,25.917185000000003,27.683887,1.766701999999995
62,62,62,62,Ruffnut,26.067188,27.683887,1.6166989999999968
63,63,63,63,Tuffnut,26.067188,27.683887,1.6166989999999968
64,64,64,64,Astrid,26.33386,27.683887,1.3500269999999972
65,65,65,65,Snotlout,26.33386,27.683887,1.3500269999999972
66,66,66,66,nt0430551,26.367194,27.683887,1.3166929999999972
67,67,67,67,nt0449991,26.567198,27.683887,1.1166889999999974
68,68,68,68,Hiccup,27.767222000000004,31.00062,3.2333979999999976
69,69,69,69,nt0020552,28.700574000000003,31.00062,2.3000459999999983
70,70,70,70,nt0020550,30.083935000000004,31.00062,0.9166849999999976
71,71,71,71,Hiccup,31.00062,33.233998,2.2333779999999983
72,72,72,72,nt0739413,32.283978999999995,33.233998,0.9500190000000046
73,73,73,73,Fishlegs,33.233998,34.50069000000001,1.2666920000000133
74,74,74,74,Snotlout,33.233998,34.50069000000001,1.2666920000000133
75,75,75,75,Ruffnut,33.233998,34.50069000000001,1.2666920000000133
76,76,76,76,Astrid,33.233998,34.50069000000001,1.2666920000000133
77,77,77,77,Gobber,33.233998,34.50069000000001,1.2666920000000133
78,78,78,78,Hiccup,33.233998,34.50069000000001,1.2666920000000133
79,79,79,79,Tuffnut,33.384001000000005,34.50069000000001,1.116689000000008
80,80,80,80,nt0784907,34.317353000000004,34.50069000000001,0.18333700000000874
81,81,81,81,Hiccup,34.50069000000001,35.084035,0.5833449999999871
82,82,82,82,Hiccup,35.084035,37.184077,2.100042000000002
83,83,83,83,nt0020551,37.100742,37.184077,0.08333500000000528
84,84,84,84,Gobber,37.184077,39.117449,1.9333719999999983
85,85,85,85,Hiccup,37.250745,39.117449,1.8667039999999984
86,86,86,86,Astrid,37.250745,39.117449,1.8667039999999984
87,87,87,87,Ruffnut,37.250745,39.117449,1.8667039999999984
88,88,88,88,Snotlout,37.250745,39.117449,1.8667039999999984
89,89,89,89,Fishlegs,37.250745,39.117449,1.8667039999999984
90,90,90,90,Tuffnut,37.250745,39.117449,1.8667039999999984
91,91,91,91,nt0588577,38.584105,39.117449,0.5333439999999996
92,92,92,92,Hiccup,39.117449,40.11746900000001,1.0000200000000063
93,93,93,93,Gobber,39.91746500000001,40.11746900000001,0.20000399999999985
94,94,94,94,Astrid,39.91746500000001,40.11746900000001,0.20000399999999985
95,95,95,95,Ruffnut,39.91746500000001,40.11746900000001,0.20000399999999985
96,96,96,96,Snotlout,39.91746500000001,40.11746900000001,0.20000399999999985
97,97,97,97,Fishlegs,39.91746500000001,40.11746900000001,0.20000399999999985
98,98,98,98,Tuffnut,39.91746500000001,40.11746900000001,0.20000399999999985
99,99,99,99,nt0690508,39.91746500000001,40.11746900000001,0.20000399999999985
100,100,100,100,Hiccup,40.11746900000001,40.634146,0.5166769999999943
101,101,101,101,Astrid,40.300806,40.634146,0.3333399999999997
102,102,102,102,Ruffnut,40.50081,40.634146,0.1333359999999999
103,103,103,103,Snotlout,40.50081,40.634146,0.1333359999999999
104,104,104,104,Fishlegs,40.50081,40.634146,0.1333359999999999
105,105,105,105,Tuffnut,40.50081,40.634146,0.1333359999999999
106,106,106,106,Hiccup,40.700814,41.350827,0.6500130000000013
107,107,107,107,Gobber,40.750815,41.350827,0.6000119999999995
108,108,108,108,Astrid,40.817483,41.350827,0.5333439999999996
109,109,109,109,Ruffnut,40.817483,41.350827,0.5333439999999996
110,110,110,110,Snotlout,40.817483,41.350827,0.5333439999999996
111,111,111,111,Fishlegs,40.817483,41.350827,0.5333439999999996
112,112,112,112,Tuffnut,40.817483,41.350827,0.5333439999999996
113,113,113,113,nt0105112,41.150823,41.350827,0.20000399999999985
114,114,114,114,Hiccup,41.350827,42.467516,1.1166890000000012
115,115,115,115,Astrid,42.03417400000001,42.467516,0.4333419999999961
116,116,116,116,nt0566328,42.11750900000001,42.467516,0.35000699999999085
117,117,117,117,Stoick,42.66752,43.467536,0.8000159999999994
118,118,118,118,Gobber,42.76752200000001,43.467536,0.7000139999999959
119,119,119,119,nt0105109,43.234198000000006,43.467536,0.2333379999999963
120,120,120,120,Hiccup,43.484203,47.13427600000001,3.650073000000007
121,121,121,121,nt0020549,46.00092,47.13427600000001,1.1333560000000062
122,122,122,122,nt0020555,46.35092700000001,47.13427600000001,0.7833489999999941
123,123,123,123,Hiccup,47.13427600000001,49.78432900000001,2.6500529999999998
124,124,124,124,Stoick,47.26761200000001,49.78432900000001,2.516717
125,125,125,125,nt0046515,47.767622,49.78432900000001,2.016707000000004
126,126,126,126,nt0046520,49.16765,49.78432900000001,0.6166790000000049
127,127,127,127,nt0810095,49.25098500000001,49.78432900000001,0.5333439999999996
128,128,128,128,Hiccup,49.83433,51.017687,1.1833570000000009
129,129,129,129,Astrid,49.83433,51.017687,1.1833570000000009
130,130,130,130,Stoick,49.967666,51.017687,1.050021000000001
131,131,131,131,Gobber,50.451009000000006,51.017687,0.566677999999996
132,132,132,132,Ruffnut,50.867684000000004,51.017687,0.1500029999999981
133,133,133,133,nt0980761,50.867684000000004,51.017687,0.1500029999999981
134,134,134,134,Snotlout,50.867684000000004,51.017687,0.1500029999999981
135,135,135,135,Fishlegs,50.867684000000004,51.017687,0.1500029999999981
136,136,136,136,Tuffnut,50.867684000000004,51.017687,0.1500029999999981
137,137,137,137,Hiccup,51.017687,54.184417,3.166730000000001
138,138,138,138,Astrid,51.23435800000001,54.184417,2.950058999999996
139,139,139,139,nt0860863,53.384401000000004,54.184417,0.8000159999999994
140,140,140,140,Astrid,54.184417,56.101122,1.9167049999999928
141,141,141,141,Hiccup,54.184417,56.101122,1.9167049999999928
142,142,142,142,nt0105801,54.35108700000001,56.101122,1.7500349999999898
143,143,143,143,nt0105803,54.81776300000001,56.101122,1.28335899999999
144,144,144,144,Astrid,56.101122,58.71784100000001,2.6167190000000105
145,145,145,145,Hiccup,56.101122,58.71784100000001,2.6167190000000105
146,146,146,146,nt0105804,57.267812000000006,58.71784100000001,1.450029000000001
147,147,147,147,Astrid,58.71784100000001,59.934532,1.2166909999999902
148,148,148,148,Hiccup,58.73450800000001,59.934532,1.2000239999999849
149,149,149,149,nt0105805,59.351187,59.934532,0.5833449999999942
150,150,150,150,Stoick,60.03453400000001,62.76792200000001,2.7333880000000046
151,151,151,151,Hiccup,60.551211,62.76792200000001,2.2167110000000108
152,152,152,152,Astrid,60.76788200000001,62.76792200000001,2.0000400000000056
153,153,153,153,Gobber,61.11788900000001,62.76792200000001,1.6500330000000003
154,154,154,154,nt0046513,61.21789100000001,62.76792200000001,1.5500310000000042
155,155,155,155,Ruffnut,61.267892,62.76792200000001,1.5000300000000095
156,156,156,156,Snotlout,61.267892,62.76792200000001,1.5000300000000095
157,157,157,157,Fishlegs,61.267892,62.76792200000001,1.5000300000000095
158,158,158,158,Tuffnut,61.267892,62.76792200000001,1.5000300000000095
159,159,159,159,nt0598324,61.56789800000001,62.76792200000001,1.2000240000000062
160,160,160,160,nt0838923,61.76790200000001,62.76792200000001,1.0000200000000063
161,161,161,161,Gobber,62.76792200000001,63.63460600000001,0.8666839999999993
162,162,162,162,Stoick,62.76792200000001,63.63460600000001,0.8666839999999993
163,163,163,163,Hiccup,62.80125600000001,63.63460600000001,0.8333500000000029
164,164,164,164,Astrid,62.95125900000001,63.63460600000001,0.6833470000000048
165,165,165,165,nt0786304,63.60127200000001,63.63460600000001,0.033334000000003534
166,166,166,166,Hiccup,63.66794000000001,64.78462900000001,1.1166890000000012
167,167,167,167,Gobber,63.81794300000001,64.78462900000001,0.9666860000000028
168,168,168,168,Ruffnut,64.051281,64.78462900000001,0.7333480000000066
169,169,169,169,Snotlout,64.051281,64.78462900000001,0.7333480000000066
170,170,170,170,Fishlegs,64.051281,64.78462900000001,0.7333480000000066
171,171,171,171,Tuffnut,64.051281,64.78462900000001,0.7333480000000066
