,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Child Satish,1.3000260000000001,3.5667380000000004,2.266712
1,1,1,1,Savitri,1.416695,3.5667380000000004,2.150043
2,2,2,2,Doctor Bangalore,2.766722,3.5667380000000004,0.8000160000000003
3,3,3,3,Madhuravani Mother,3.900078,15.700314000000002,11.800236000000002
4,4,4,4,Madhuravani Father,3.900078,15.700314000000002,11.800236000000002
5,5,5,5,Madhura Vani,3.983413000000001,15.700314000000002,11.716901000000002
6,6,6,6,Madhuravani Bamma,3.983413000000001,15.700314000000002,11.716901000000002
7,7,7,7,Old Lady 2 in Bus,6.6668,15.700314000000002,9.033514000000002
8,8,8,8,Old Lady 1 in Bus,6.783469,15.700314000000002,8.916845000000002
9,9,9,9,Editor,7.750155,15.700314000000002,7.950159000000002
10,10,10,10,Vijay Anthony,9.350187,15.700314000000002,6.350127000000002
11,11,11,11,Gemini Ganesan,11.600232000000002,15.700314000000002,4.100082
12,12,12,12,Keshava,12.466916000000001,15.700314000000002,3.233398000000001
13,13,13,13,Keshava,15.700314000000002,23.283799,7.583484999999996
14,14,14,14,Singeetham Srinivasa Rao,15.750315000000002,23.283799,7.533483999999996
15,15,15,15,K.V. Reddy,16.483663,23.283799,6.8001359999999975
16,16,16,16,Savitri,17.100342,23.283799,6.183456999999998
17,17,17,17,Madhura Vani,20.200404000000002,23.283799,3.083394999999996
18,18,18,18,Vijay Anthony,20.350407,23.283799,2.9333919999999982
19,19,19,19,Editor,21.583765000000003,23.283799,1.7000339999999952
20,20,20,20,Madhura Vani,23.317133,34.184017000000004,10.866884000000004
21,21,21,21,Child Satish,23.917145,34.184017000000004,10.266872000000003
22,22,22,22,Chowdary's Wife,24.783829,34.184017000000004,9.400188000000004
23,23,23,23,Savitri,25.200504000000002,34.184017000000004,8.983513000000002
24,24,24,24,K.V. Chowdary,25.783849000000004,34.184017000000004,8.400167999999999
25,25,25,25,Savitri's Mother,25.783849000000004,34.184017000000004,8.400167999999999
26,26,26,26,Child Savitri,26.050521000000003,34.184017000000004,8.133496000000001
27,27,27,27,Child Susheela,27.01720700000001,34.184017000000004,7.166809999999996
28,28,28,28,Dance Master,30.950619000000003,34.184017000000004,3.233398000000001
29,29,29,29,Savitri,34.184017000000004,40.150803,5.966785999999999
30,30,30,30,Susheela,34.267352,40.150803,5.883451000000001
31,31,31,31,K.V. Chowdary,34.584025000000004,40.150803,5.5667779999999984
32,32,32,32,Prithviraj Kapoor,34.817363,40.150803,5.333440000000003
33,33,33,33,Dance Master,34.90069800000001,40.150803,5.250104999999991
34,34,34,34,Akkineni Nageswara Rao,36.934072,40.150803,3.216731000000003
35,35,35,35,Chowdary's Wife,37.917425,40.150803,2.2333780000000023
36,36,36,36,Savitri's Mother,37.917425,40.150803,2.2333780000000023
37,37,37,37,K.V. Chowdary,40.25080500000001,49.00098000000001,8.750175000000006
38,38,38,38,Savitri,40.25080500000001,49.00098000000001,8.750175000000006
39,39,39,39,Tanga Guy,40.25080500000001,49.00098000000001,8.750175000000006
40,40,40,40,S.V. Ranga Rao,44.88423100000001,49.00098000000001,4.116749000000007
41,41,41,41,Gemini Ganesan,47.28427900000001,49.00098000000001,1.7167010000000005
42,42,42,42,Susheela,49.00098000000001,57.951159,8.950178999999984
43,43,43,43,Savitri,49.00098000000001,57.951159,8.950178999999984
44,44,44,44,Chowdary's Wife,49.00098000000001,57.951159,8.950178999999984
45,45,45,45,Donepudi Krishna Murthy,49.16765,57.951159,8.783508999999995
46,46,46,46,K.V. Chowdary,49.26765200000001,57.951159,8.683506999999986
47,47,47,47,L.V. Prasad,50.817683,57.951159,7.133475999999996
48,48,48,48,Akkineni Nageswara Rao,51.30102600000001,57.951159,6.650132999999991
49,49,49,49,Announcer Patala Bhairavi,53.851077000000004,57.951159,4.100081999999993
50,50,50,50,Aluri Chakrapani,54.184417,57.951159,3.7667419999999936
51,51,51,51,K.V. Reddy,54.184417,57.951159,3.7667419999999936
52,52,52,52,Madhura Vani,57.967826,70.58474500000001,12.61691900000001
53,53,53,53,Vijay Anthony,57.967826,70.58474500000001,12.61691900000001
54,54,54,54,GVG Krishnan,58.20116400000001,70.58474500000001,12.383581
55,55,55,55,Akkineni Nageswara Rao,59.33452000000001,70.58474500000001,11.250225
56,56,56,56,Savitri,59.33452000000001,70.58474500000001,11.250225
57,57,57,57,Manikyam,59.484523,70.58474500000001,11.10022200000001
58,58,58,58,Vedantam Raghavaiah,59.484523,70.58474500000001,11.10022200000001
59,59,59,59,K.V. Chowdary,60.117869000000006,70.58474500000001,10.466876000000006
60,60,60,60,Pulliah,60.551211,70.58474500000001,10.03353400000001
61,61,61,61,Gemini Ganesan,61.43456200000001,70.58474500000001,9.150183000000006
62,62,62,62,Savitri,70.58474500000001,86.86840400000001,16.283659
63,63,63,63,Gemini Ganesan,70.58474500000001,86.86840400000001,16.283659
64,64,64,64,Manikyam,72.56811800000001,86.86840400000001,14.300285999999998
65,65,65,65,Vedantam Raghavaiah,72.56811800000001,86.86840400000001,14.300285999999998
66,66,66,66,Akkineni Nageswara Rao,73.434802,86.86840400000001,13.433602000000008
67,67,67,67,K.V. Chowdary,73.83481,86.86840400000001,13.033594000000008
68,68,68,68,Pulliah,73.93481200000002,86.86840400000001,12.93359199999999
69,69,69,69,Couple at Chamundeshwari Temple,75.38484100000002,86.86840400000001,11.483562999999993
70,70,70,70,Madhura Vani,78.73490799999998,86.86840400000001,8.133496000000036
71,71,71,71,Vijay Anthony,78.751575,86.86840400000001,8.11682900000001
72,72,72,72,Aluri Chakrapani,79.33492000000003,86.86840400000001,7.533483999999987
73,73,73,73,L.V. Prasad,79.33492000000003,86.86840400000001,7.533483999999987
74,74,74,74,Alamelu,82.16830999999998,86.86840400000001,4.700094000000036
75,75,75,75,Chowdary's Wife,82.468316,86.86840400000001,4.400088000000012
76,76,76,76,Savitri's Mother,82.468316,86.86840400000001,4.400088000000012
77,77,77,77,Alamelu,86.918405,99.485323,12.566917999999989
78,78,78,78,Gemini Ganesan,86.98507300000001,99.485323,12.500249999999983
79,79,79,79,Savitri,86.98507300000001,99.485323,12.500249999999983
80,80,80,80,Aluri Chakrapani,87.751755,99.485323,11.733567999999993
81,81,81,81,Chowdary's Wife,88.285099,99.485323,11.200223999999993
82,82,82,82,K.V. Chowdary,88.285099,99.485323,11.200223999999993
83,83,83,83,Savitri's Mother,88.285099,99.485323,11.200223999999993
84,84,84,84,Madhura Vani,89.65179300000001,99.485323,9.833529999999982
85,85,85,85,Vijay Anthony,90.251805,99.485323,9.233517999999991
86,86,86,86,Madhuravani Mother,99.485323,112.102242,12.61691900000001
87,87,87,87,Madhura Vani,99.485323,112.102242,12.61691900000001
88,88,88,88,Madhuravani Bamma,100.15200300000001,112.102242,11.950238999999995
89,89,89,89,Savitri,100.302006,112.102242,11.800235999999998
