,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Rishi Kumar,2.83339,19.117049,16.283659
1,1,1,1,Nidhi,3.233398,19.117049,15.883651
2,2,2,2,Interviewer,6.3334600000000005,19.117049,12.783589
3,3,3,3,Satyanarayana,7.2501450000000025,19.117049,11.866903999999998
4,4,4,4,Rishi's Mother,7.4334820000000015,19.117049,11.683567
5,5,5,5,Kanna,10.483543,19.117049,8.633506000000002
6,6,6,6,Rishi's Friend,10.883551,19.117049,8.233497999999999
7,7,7,7,Professor,11.216891,19.117049,7.900158000000001
8,8,8,8,Rahul,12.916925,19.117049,6.2001240000000015
9,9,9,9,Rishi Kumar,19.400388000000003,31.71730100000001,12.316913000000007
10,10,10,10,Dean,19.450389,31.71730100000001,12.266912000000007
11,11,11,11,Rishi's Friend,21.700434,31.71730100000001,10.016867000000008
12,12,12,12,Ajay,22.300446,31.71730100000001,9.416855000000009
13,13,13,13,Ravi Shankar,22.83379,31.71730100000001,8.88351100000001
14,14,14,14,Ravi's Father,22.917125,31.71730100000001,8.800176000000011
15,15,15,15,Pooja,24.000480000000003,31.71730100000001,7.716821000000008
16,16,16,16,Professor,27.100542,31.71730100000001,4.616759000000009
17,17,17,17,Rishi Kumar,31.75063500000001,44.984233,13.233597999999995
18,18,18,18,Ravi Shankar,31.75063500000001,44.984233,13.233597999999995
19,19,19,19,Pooja,31.833970000000004,44.984233,13.150263
20,20,20,20,Ravi's Father,33.300666,44.984233,11.683567000000005
21,21,21,21,Pallavi,33.300666,44.984233,11.683567000000005
22,22,22,22,Professor,34.450689000000004,44.984233,10.533544
23,23,23,23,Ajay,34.70069400000001,44.984233,10.28353899999999
24,24,24,24,Rishi Kumar,45.03423400000001,58.73450800000001,13.700274
25,25,25,25,Ravi Shankar,45.10090200000001,58.73450800000001,13.633606
26,26,26,26,Bhanu Prasad,47.434282,58.73450800000001,11.30022600000001
27,27,27,27,Bhanu Prasad's Henchman,47.434282,58.73450800000001,11.30022600000001
28,28,28,28,Pooja's Sister,52.03437400000001,58.73450800000001,6.700134000000006
29,29,29,29,Pooja's Grandfather #1,52.88439100000001,58.73450800000001,5.8501170000000045
30,30,30,30,Pooja's Grandfather #2,52.88439100000001,58.73450800000001,5.8501170000000045
31,31,31,31,Pooja's Maternal Grandfather,52.88439100000001,58.73450800000001,5.8501170000000045
32,32,32,32,Pooja's Grandmother,52.88439100000001,58.73450800000001,5.8501170000000045
33,33,33,33,Ravi Shankar,58.80117600000001,76.734868,17.933691999999994
34,34,34,34,Rishi's Friend,58.80117600000001,76.734868,17.933691999999994
35,35,35,35,Rishi Kumar,58.951179,76.734868,17.783689000000006
36,36,36,36,Ravi's Father,59.417855,76.734868,17.317013000000006
37,37,37,37,Sai Babu,59.60119200000001,76.734868,17.133675999999994
38,38,38,38,Ajay,59.90119800000001,76.734868,16.833669999999998
39,39,39,39,Interview Panel Member,60.16787000000001,76.734868,16.566997999999998
40,40,40,40,Pooja,62.167910000000006,76.734868,14.566957999999998
41,41,41,41,Professor,65.45130900000001,76.734868,11.283558999999995
42,42,42,42,Police Officer,66.33466,76.734868,10.400208000000006
43,43,43,43,Dean,66.38466100000001,76.734868,10.350206999999996
44,44,44,44,Rishi's Mother,69.884731,76.734868,6.850137000000004
45,45,45,45,Kanna,69.901398,76.734868,6.8334700000000055
46,46,46,46,Satyanarayana,69.96806600000001,76.734868,6.7668019999999975
47,47,47,47,Mohan,70.651413,76.734868,6.0834550000000025
48,48,48,48,Nidhi,70.73474800000002,76.734868,6.000119999999981
49,49,49,49,Rishi Kumar,76.768202,87.185077,10.416875000000003
50,50,50,50,Professor,76.768202,87.185077,10.416875000000003
51,51,51,51,Kanna,76.768202,87.185077,10.416875000000003
52,52,52,52,Nidhi,76.768202,87.185077,10.416875000000003
53,53,53,53,Rishi's Friend,76.768202,87.185077,10.416875000000003
54,54,54,54,Ravi Shankar,79.61825900000002,87.185077,7.566817999999984
55,55,55,55,Rishi's Mother,81.48496300000002,87.185077,5.700113999999987
56,56,56,56,Pooja,82.318313,87.185077,4.866764000000003
57,57,57,57,Satyanarayana,82.601652,87.185077,4.5834250000000045
58,58,58,58,News 100 Reporter,87.43508200000002,101.96870600000001,14.533623999999987
59,59,59,59,Pooja's Grandfather #1,87.768422,101.96870600000001,14.200284000000007
60,60,60,60,Pooja's Grandmother,87.768422,101.96870600000001,14.200284000000007
61,61,61,61,Pooja,87.80175600000004,101.96870600000001,14.166949999999973
62,62,62,62,Rishi's Mother,88.018427,101.96870600000001,13.950279000000007
63,63,63,63,Kanna,88.018427,101.96870600000001,13.950279000000007
64,64,64,64,Ramakrishna,88.08509500000002,101.96870600000001,13.883610999999988
65,65,65,65,Ravi Shankar,89.90179800000001,101.96870600000001,12.066907999999998
66,66,66,66,Ravi's Father,90.451809,101.96870600000001,11.516897000000016
67,67,67,67,Krishna Kishore,94.101882,101.96870600000001,7.866824000000008
68,68,68,68,Sai Babu,94.51855700000002,101.96870600000001,7.450148999999996
69,69,69,69,MP,94.585225,101.96870600000001,7.3834810000000175
70,70,70,70,Farmer,95.65191300000001,101.96870600000001,6.316793000000002
71,71,71,71,Chief Minister,96.568598,101.96870600000001,5.400108000000016
72,72,72,72,Vivek Mittal's Assistant,97.518617,101.96870600000001,4.4500890000000055
73,73,73,73,Vivek Mittal,97.601952,101.96870600000001,4.3667540000000145
74,74,74,74,Villager #1,102.16871,116.152323,13.983612999999993
75,75,75,75,Villager #2,102.16871,116.152323,13.983612999999993
76,76,76,76,Rishi Kumar,102.268712,116.152323,13.883611000000002
77,77,77,77,Ramakrishna,102.552051,116.152323,13.60027199999999
78,78,78,78,MP,103.702074,116.152323,12.450249
79,79,79,79,News 100 Reporter,104.085415,116.152323,12.066907999999998
80,80,80,80,Ravi Shankar,104.202084,116.152323,11.950238999999995
81,81,81,81,Rishi's Mother,104.435422,116.152323,11.716900999999993
82,82,82,82,Farmer,105.0021,116.152323,11.150222999999995
83,83,83,83,Vivek Mittal,105.418775,116.152323,10.733547999999999
84,84,84,84,Pooja's Manager,105.702114,116.152323,10.450209
85,85,85,85,Pooja,105.752115,116.152323,10.400207999999992
86,86,86,86,Pooja's Friend,105.752115,116.152323,10.400207999999992
87,87,87,87,Ajay,111.952239,116.152323,4.2000839999999915
88,88,88,88,Pallavi,114.968966,116.152323,1.1833570000000009
89,89,89,89,Sai Babu,115.885651,116.152323,0.2666719999999998
90,90,90,90,Sai Babu,116.202324,131.735968,15.53364400000001
91,91,91,91,Rishi Kumar,116.23565800000002,131.735968,15.50031
92,92,92,92,Ravi Shankar,118.252365,131.735968,13.483603000000016
93,93,93,93,Pallavi,118.385701,131.735968,13.350267000000017
94,94,94,94,Ramakrishna,118.95237900000001,131.735968,12.783589000000005
95,95,95,95,Pooja,119.119049,131.735968,12.61691900000001
96,96,96,96,Pooja's Friend,119.21905100000001,131.735968,12.516917000000007
97,97,97,97,Subbarayudu's Henchman,123.352467,131.735968,8.38350100000001
98,98,98,98,Subbarayudu,123.352467,131.735968,8.38350100000001
99,99,99,99,Vivek Mittal,124.752495,131.735968,6.983473000000018
100,100,100,100,Vivek Mittal's Assistant,124.802496,131.735968,6.933472000000008
101,101,101,101,MP,125.419175,131.735968,6.316793000000018
102,102,102,102,News 100 Reporter,127.36921399999999,131.735968,4.366754000000029
103,103,103,103,Ravi Shankar,131.81930300000002,146.31959300000003,14.500290000000007
104,104,104,104,Rishi Kumar,132.219311,146.31959300000003,14.10028200000002
105,105,105,105,Subbarayudu,137.76942200000002,146.31959300000003,8.550171000000006
106,106,106,106,Vivek Mittal,138.30276600000002,146.31959300000003,8.016827000000006
107,107,107,107,Ramakrishna,138.40276799999998,146.31959300000003,7.9168250000000455
108,108,108,108,Subbarayudu's Henchman,139.536124,146.31959300000003,6.783469000000025
109,109,109,109,Pooja,139.75279500000002,146.31959300000003,6.566798000000006
110,110,110,110,Pallavi,140.28613900000002,146.31959300000003,6.033454000000006
111,111,111,111,Sai Babu,140.352807,146.31959300000003,5.966786000000013
112,112,112,112,Rishi's Mother,140.96948600000005,146.31959300000003,5.35010699999998
113,113,113,113,MP,143.56953800000005,146.31959300000003,2.750054999999975
114,114,114,114,Farmer,146.436262,158.986513,12.550251000000005
115,115,115,115,Rishi Kumar,146.46959600000002,158.986513,12.516916999999975
116,116,116,116,Ramakrishna,150.43634200000002,158.986513,8.550170999999978
117,117,117,117,Sai Babu,151.253025,158.986513,7.733487999999994
118,118,118,118,MP,151.253025,158.986513,7.733487999999994
119,119,119,119,Subbarayudu's Henchman,154.51975700000003,158.986513,4.4667559999999735
120,120,120,120,Ravi Shankar,154.70309400000005,158.986513,4.283418999999952
121,121,121,121,Pallavi,154.70309400000005,158.986513,4.283418999999952
122,122,122,122,Srinivas,156.50313000000003,158.986513,2.483382999999975
123,123,123,123,Rishi Kumar,159.23651800000005,175.086835,15.850316999999961
124,124,124,124,News 100 Reporter,159.23651800000005,175.086835,15.850316999999961
125,125,125,125,Rishi's Mother,160.38654100000005,175.086835,14.700293999999955
126,126,126,126,Sai Babu,160.436542,175.086835,14.650293000000005
127,127,127,127,Ravi Shankar,160.436542,175.086835,14.650293000000005
128,128,128,128,Pallavi,160.436542,175.086835,14.650293000000005
129,129,129,129,Pooja's Grandfather #1,160.48654299999995,175.086835,14.600292000000053
130,130,130,130,Pooja's Grandfather #2,160.48654299999995,175.086835,14.600292000000053
131,131,131,131,Pooja's Grandmother,160.48654299999995,175.086835,14.600292000000053
132,132,132,132,Pooja,160.48654299999995,175.086835,14.600292000000053
133,133,133,133,Chief Minister,160.65321300000005,175.086835,14.433621999999955
134,134,134,134,Principal,165.90331799999996,175.086835,9.183517000000052
135,135,135,135,Ajay,168.62003900000005,175.086835,6.46679599999996
136,136,136,136,Vivek Mittal,168.77004200000005,175.086835,6.3167929999999615
137,137,137,137,Vivek Mittal's Assistant,168.77004200000005,175.086835,6.3167929999999615
138,138,138,138,MP,168.953379,175.086835,6.133455999999995
139,139,139,139,Farmer,170.786749,175.086835,4.300086000000022
140,140,140,140,Subbarayudu's Henchman,172.93679200000003,175.086835,2.1500429999999824
141,141,141,141,Subbarayudu,173.070128,175.086835,2.0167069999999967
