,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Julia Meade,0.6166790000000001,4.983433000000002,4.366754000000001
1,1,1,1,Ethan Hunt,0.6166790000000001,4.983433000000002,4.366754000000001
2,2,2,2,Soloman Lane,1.350027,4.983433000000002,3.6334060000000017
3,3,3,3,Delivery Man,1.8667040000000001,4.983433000000002,3.116729000000001
4,4,4,4,Nils Debruuk,4.566758,4.983433000000002,0.4166750000000015
5,5,5,5,Benji Dunn,5.0167670000000015,10.783549,5.766781999999999
6,6,6,6,Ethan Hunt,5.0834350000000015,10.783549,5.700113999999999
7,7,7,7,Luther Stickell,5.316773,10.783549,5.466776
8,8,8,8,Himself,10.783549,16.366994000000002,5.583445000000001
9,9,9,9,Ethan Hunt,10.883551,16.366994000000002,5.483443000000001
10,10,10,10,Luther Stickell,11.400228,16.366994000000002,4.966766000000002
11,11,11,11,Nils Debruuk,11.50023,16.366994000000002,4.866764000000002
12,12,12,12,Benji Dunn,16.016987,16.366994000000002,0.3500070000000015
13,13,13,13,Alan Hunley,17.183677000000007,22.700454,5.516776999999994
14,14,14,14,Ethan Hunt,17.267012,22.700454,5.433441999999999
15,15,15,15,The White Widow,17.733688,22.700454,4.966766000000002
16,16,16,16,Erika Sloane,18.900378000000003,22.700454,3.800075999999997
17,17,17,17,August Walker,18.900378000000003,22.700454,3.800075999999997
18,18,18,18,Ethan Hunt,22.750455,27.100542,4.350087000000002
19,19,19,19,August Walker,22.750455,27.100542,4.350087000000002
20,20,20,20,August Walker,27.100542,35.067368,7.966826000000001
21,21,21,21,Ethan Hunt,27.100542,35.067368,7.966826000000001
22,22,22,22,Lark,29.317253000000004,35.067368,5.750114999999997
23,23,23,23,Ilsa Faust,32.950659,35.067368,2.116709
24,24,24,24,Ethan Hunt,35.067368,40.60081200000001,5.533444000000008
25,25,25,25,Ilsa Faust,35.250705,40.60081200000001,5.350107000000008
26,26,26,26,The White Widow,35.95071900000001,40.60081200000001,4.6500930000000045
27,27,27,27,Zola,38.050761,40.60081200000001,2.5500510000000105
28,28,28,28,August Walker,40.417475,40.60081200000001,0.18333700000000874
29,29,29,29,The White Widow,40.60081200000001,46.784269,6.183456999999992
30,30,30,30,Ethan Hunt,40.60081200000001,46.784269,6.183456999999992
31,31,31,31,Zola,41.000820000000004,46.784269,5.783448999999997
32,32,32,32,August Walker,41.067488,46.784269,5.7167810000000046
33,33,33,33,Soloman Lane,42.067508000000004,46.784269,4.716760999999998
34,34,34,34,Erika Sloane,46.784269,55.53444400000001,8.750175000000006
35,35,35,35,August Walker,46.81760300000001,55.53444400000001,8.716840999999995
36,36,36,36,Soloman Lane,49.38432100000001,55.53444400000001,6.1501230000000024
37,37,37,37,Zola,49.58432500000001,55.53444400000001,5.950119000000001
38,38,38,38,Ethan Hunt,49.85099700000001,55.53444400000001,5.683447000000001
39,39,39,39,Luther Stickell,55.53444400000001,63.36793400000001,7.833490000000005
40,40,40,40,Benji Dunn,55.61777900000001,63.36793400000001,7.750154999999999
41,41,41,41,Soloman Lane,55.651113,63.36793400000001,7.716821000000008
42,42,42,42,Ethan Hunt,55.917785,63.36793400000001,7.4501490000000095
43,43,43,43,August Walker,55.917785,63.36793400000001,7.4501490000000095
44,44,44,44,Zola,57.15114300000001,63.36793400000001,6.2167910000000015
45,45,45,45,French Police Agent,61.11788900000001,63.36793400000001,2.250045
46,46,46,46,Henchman,62.184577000000004,63.36793400000001,1.183357000000008
47,47,47,47,Ethan Hunt,63.50127000000001,70.384741,6.883470999999991
48,48,48,48,Luther Stickell,63.50127000000001,70.384741,6.883470999999991
49,49,49,49,Soloman Lane,63.50127000000001,70.384741,6.883470999999991
50,50,50,50,Benji Dunn,63.50127000000001,70.384741,6.883470999999991
51,51,51,51,August Walker,63.53460400000001,70.384741,6.8501369999999975
52,52,52,52,Ilsa Faust,66.50133000000001,70.384741,3.8834109999999953
53,53,53,53,Zola,67.31801300000001,70.384741,3.0667279999999977
54,54,54,54,Zola,70.384741,76.56819800000002,6.1834570000000175
55,55,55,55,The White Widow,70.384741,76.56819800000002,6.1834570000000175
56,56,56,56,Henchman,70.384741,76.56819800000002,6.1834570000000175
57,57,57,57,Ethan Hunt,70.384741,76.56819800000002,6.1834570000000175
58,58,58,58,Ilsa Faust,72.518117,76.56819800000002,4.05008100000002
59,59,59,59,Soloman Lane,76.251525,76.56819800000002,0.31667300000002285
60,60,60,60,Julia Meade,76.251525,76.56819800000002,0.31667300000002285
61,61,61,61,Ethan Hunt,76.56819800000002,84.301686,7.733487999999981
62,62,62,62,Soloman Lane,76.651533,84.301686,7.650153000000002
63,63,63,63,August Walker,76.71820100000002,84.301686,7.583484999999982
64,64,64,64,The White Widow,76.88487099999998,84.301686,7.416815000000027
65,65,65,65,Zola,76.918205,84.301686,7.383481000000002
66,66,66,66,Ilsa Faust,77.034874,84.301686,7.266812000000002
67,67,67,67,Luther Stickell,77.23487800000002,84.301686,7.066807999999981
68,68,68,68,Benji Dunn,77.23487800000002,84.301686,7.066807999999981
69,69,69,69,Alan Hunley,77.58488500000001,84.301686,6.716800999999991
70,70,70,70,August Walker,84.301686,91.818503,7.516817000000002
71,71,71,71,Soloman Lane,84.66835999999998,91.818503,7.1501430000000274
72,72,72,72,Benji Dunn,86.41839499999998,91.818503,5.400108000000031
73,73,73,73,Alan Hunley,86.51839700000002,91.818503,5.300105999999985
74,74,74,74,Ethan Hunt,87.185077,91.818503,4.633426
75,75,75,75,Luther Stickell,87.185077,91.818503,4.633426
76,76,76,76,Erika Sloane,88.151763,91.818503,3.6667400000000043
77,77,77,77,Ilsa Faust,88.78510899999998,91.818503,3.0333940000000297
78,78,78,78,Ethan Hunt,91.818503,99.135316,7.316812999999996
79,79,79,79,Luther Stickell,92.00184,99.135316,7.133476000000003
80,80,80,80,Benji Dunn,92.018507,99.135316,7.1168090000000035
81,81,81,81,Ilsa Faust,92.035174,99.135316,7.1001420000000035
82,82,82,82,British Agent,92.185177,99.135316,6.950139000000008
83,83,83,83,British Agent,92.185177,99.135316,6.950139000000008
84,84,84,84,August Walker,93.035194,99.135316,6.100121999999999
85,85,85,85,Julia Meade,97.701954,99.135316,1.4333620000000025
86,86,86,86,Soloman Lane,98.48530300000002,99.135316,0.6500129999999871
87,87,87,87,Luther Stickell,99.15198300000002,103.635406,4.483422999999988
88,88,88,88,Benji Dunn,99.218651,103.635406,4.416755000000009
89,89,89,89,Ilsa Faust,99.251985,103.635406,4.3834209999999985
90,90,90,90,Ethan Hunt,102.035374,103.635406,1.6000319999999988
91,91,91,91,Soloman Lane,102.66872,103.635406,0.96668600000001
92,92,92,92,Ethan Hunt,103.802076,107.135476,3.333399999999997
