,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Radha Krishna,1.4500290000000002,9.766862,8.316832999999999
1,1,1,1,Radha Krishna's Father,1.6833669999999998,9.766862,8.083495
2,2,2,2,Priest,1.7833690000000002,9.766862,7.9834929999999975
3,3,3,3,Radha Krishna's Uncle,3.766742,9.766862,6.00012
4,4,4,4,Radha Krishna's Mother,6.3667940000000005,9.766862,3.4000679999999988
5,5,5,5,Fortune Teller,7.683486999999999,9.766862,2.083375000000001
6,6,6,6,Radha Krishna's Friend,10.766882,22.883791,12.116908999999998
7,7,7,7,Radha Krishna,10.916885,22.883791,11.966905999999998
8,8,8,8,Radha Krishna's Uncle,16.733667999999998,22.883791,6.1501230000000024
9,9,9,9,Radha Krishna's Mother,16.733667999999998,22.883791,6.1501230000000024
10,10,10,10,Radha Krishna's Father,18.583705,22.883791,4.300086
11,11,11,11,Priest,22.15044300000001,22.883791,0.7333479999999888
12,12,12,12,Manasa,23.200464000000004,38.08409500000001,14.883631000000005
13,13,13,13,Radha Krishna's Friend,24.350487,38.08409500000001,13.733608000000013
14,14,14,14,Radha Krishna,24.36715400000001,38.08409500000001,13.716941000000002
15,15,15,15,Accident Victim,25.900518,38.08409500000001,12.18357700000001
16,16,16,16,Satya,38.50077,52.48438300000001,13.983613000000005
17,17,17,17,Radha Krishna,38.934112000000006,52.48438300000001,13.550271000000002
18,18,18,18,Radha Krishna's Father,40.684147,52.48438300000001,11.800236000000005
19,19,19,19,Radha Krishna's Friend,40.684147,52.48438300000001,11.800236000000005
20,20,20,20,Priest,41.684167,52.48438300000001,10.800216000000004
21,21,21,21,Radha Krishna's Uncle,42.417515,52.48438300000001,10.066868000000008
22,22,22,22,Radha Krishna's Mother,42.417515,52.48438300000001,10.066868000000008
23,23,23,23,Satya's Father,44.81756300000001,52.48438300000001,7.666820000000001
24,24,24,24,Manasa's Uncle,44.850897,52.48438300000001,7.633486000000005
25,25,25,25,Satya's Brother,45.21757100000001,52.48438300000001,7.266812000000002
26,26,26,26,Astrologer,46.15092300000001,52.48438300000001,6.333459999999995
27,27,27,27,Satya's Mother,46.767602000000004,52.48438300000001,5.7167810000000046
28,28,28,28,Drunkard,47.08427500000001,52.48438300000001,5.400107999999998
29,29,29,29,Radha Krishna's Friend,52.48438300000001,61.58456500000001,9.100182000000004
30,30,30,30,Radha Krishna,52.48438300000001,61.58456500000001,9.100182000000004
31,31,31,31,Radha Krishna's Father,52.534384,61.58456500000001,9.05018100000001
32,32,32,32,Radha Krishna's Mother,52.534384,61.58456500000001,9.05018100000001
33,33,33,33,Priest,53.717741000000004,61.58456500000001,7.866824000000008
34,34,34,34,Satya,53.88441100000001,61.58456500000001,7.700154000000005
35,35,35,35,Satya's Father,53.917745,61.58456500000001,7.666820000000015
36,36,36,36,Radha Krishna's Uncle,55.051101,61.58456500000001,6.533464000000008
37,37,37,37,Satya's Brother,56.20112400000001,61.58456500000001,5.383441000000005
38,38,38,38,Satya's Mother,57.684487,61.58456500000001,3.900078000000015
39,39,39,39,Astrologer,57.701154,61.58456500000001,3.8834110000000095
40,40,40,40,Manasa's Uncle,57.701154,61.58456500000001,3.8834110000000095
41,41,41,41,Radha Krishna,61.58456500000001,77.184877,15.600311999999988
42,42,42,42,Satya's Brother,61.58456500000001,77.184877,15.600311999999988
43,43,43,43,Satya's Father,61.801236,77.184877,15.383640999999995
44,44,44,44,Astrologer,61.801236,77.184877,15.383640999999995
45,45,45,45,Radha Krishna's Friend,61.867904,77.184877,15.316972999999996
46,46,46,46,Satya's Mother,62.534584,77.184877,14.650292999999998
47,47,47,47,Doctor,63.63460600000001,77.184877,13.550270999999988
48,48,48,48,Satya,63.63460600000001,77.184877,13.550270999999988
49,49,49,49,Drunkard,69.234718,77.184877,7.9501589999999975
50,50,50,50,Manasa,73.984813,77.184877,3.2000639999999976
51,51,51,51,Manasa's Uncle,76.218191,77.184877,0.9666859999999956
52,52,52,52,Manasa,77.184877,86.86840400000001,9.683527000000012
53,53,53,53,Radha Krishna,77.184877,86.86840400000001,9.683527000000012
54,54,54,54,Satya's Father,77.53488399999998,86.86840400000001,9.333520000000037
55,55,55,55,Manasa's Father,77.53488399999998,86.86840400000001,9.333520000000037
56,56,56,56,Satya's Mother,77.684887,86.86840400000001,9.183517000000009
57,57,57,57,Manasa's Mother,77.684887,86.86840400000001,9.183517000000009
58,58,58,58,Manasa's Uncle,79.651593,86.86840400000001,7.216811000000009
59,59,59,59,Radha Krishna's Friend,79.818263,86.86840400000001,7.050141000000012
60,60,60,60,Drunkard,80.15160300000002,86.86840400000001,6.716800999999991
61,61,61,61,Satya's Brother,80.484943,86.86840400000001,6.383461000000013
62,62,62,62,Manasa's Uncle,86.86840400000001,103.102062,16.23365799999999
63,63,63,63,Satya's Father,86.86840400000001,103.102062,16.23365799999999
64,64,64,64,Satya's Mother,88.10176200000002,103.102062,15.000299999999983
