,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Jim Preston,4.0167470000000005,13.083595,9.066848
1,1,1,1,Communications Officer,4.566758,13.083595,8.516836999999999
2,2,2,2,Deejay,6.7168009999999985,13.083595,6.366794000000002
3,3,3,3,Instructor (Hologram),7.4001480000000015,13.083595,5.683446999999999
4,4,4,4,The Starship Avalon,8.650172999999999,13.083595,4.433422000000002
5,5,5,5,InfoMat,9.400188,13.083595,3.6834070000000008
6,6,6,6,Observatory,10.683547,13.083595,2.400048
7,7,7,7,Jim Preston,13.083595,20.617079,7.533484
8,8,8,8,Arthur,13.150263,20.617079,7.4668160000000015
9,9,9,9,Deejay,14.816963000000001,20.617079,5.800115999999999
10,10,10,10,The Starship Avalon,15.116969000000001,20.617079,5.500109999999999
11,11,11,11,Sushi Robot Waitress,19.467056000000003,20.617079,1.1500229999999974
12,12,12,12,Dancer,19.567058000000007,20.617079,1.050020999999994
13,13,13,13,"Hector, the Robot Waiter",19.850397,20.617079,0.7666819999999994
14,14,14,14,Jim Preston,20.617079,32.83399,12.216911
15,15,15,15,The Starship Avalon,21.317093000000003,32.83399,11.516896999999995
16,16,16,16,Aurora Lane,25.367174,32.83399,7.4668160000000015
17,17,17,17,Arthur,26.91720500000001,32.83399,5.91678499999999
18,18,18,18,Communications Officer,32.200644000000004,32.83399,0.633345999999996
19,19,19,19,Jim Preston,32.83399,37.08407500000001,4.250085000000013
20,20,20,20,The Starship Avalon,33.183997000000005,37.08407500000001,3.900078000000008
21,21,21,21,Aurora Lane,33.217331,37.08407500000001,3.8667440000000113
22,22,22,22,Observatory,34.284019,37.08407500000001,2.800056000000012
23,23,23,23,Arthur,37.08407500000001,43.66754,6.5834649999999915
24,24,24,24,Jim Preston,37.100742,43.66754,6.566798000000006
25,25,25,25,Aurora Lane,37.81742300000001,43.66754,5.85011699999999
26,26,26,26,InfoMat,38.06742800000001,43.66754,5.6001119999999975
27,27,27,27,The Starship Avalon,38.600772000000006,43.66754,5.066767999999996
28,28,28,28,Aurora Lane,43.66754,48.300966,4.633426
29,29,29,29,Jim Preston,43.700874000000006,48.300966,4.6000919999999965
30,30,30,30,Space Cruise Passenger,44.66756,48.300966,3.633406000000001
31,31,31,31,Dancer,46.384261,48.300966,1.9167050000000003
32,32,32,32,Dancer,46.384261,48.300966,1.9167050000000003
33,33,33,33,Arthur,47.01760700000001,48.300966,1.28335899999999
34,34,34,34,Jim Preston,48.367634,56.317793,7.9501589999999975
35,35,35,35,Aurora Lane,48.46763600000001,56.317793,7.850156999999987
36,36,36,36,Arthur,50.20100400000001,56.317793,6.11678899999999
37,37,37,37,French Restaurant Robot Waiter,51.751035,56.317793,4.566758
38,38,38,38,French Restaurant Robot Waiter,51.751035,56.317793,4.566758
39,39,39,39,The Starship Avalon,54.03441400000001,56.317793,2.2833789999999894
40,40,40,40,Aurora Lane,56.317793,59.417855,3.100062000000001
41,41,41,41,Jim Preston,56.317793,59.417855,3.100062000000001
42,42,42,42,Arthur,58.00116000000001,59.417855,1.4166949999999898
43,43,43,43,Sushi Robot Waitress,58.11782900000001,59.417855,1.3000259999999957
44,44,44,44,The Starship Avalon,59.484523,64.83463,5.350107000000001
45,45,45,45,Jim Preston,59.51785700000001,64.83463,5.316772999999999
46,46,46,46,Aurora Lane,59.51785700000001,64.83463,5.316772999999999
47,47,47,47,French Restaurant Robot Waiter,60.667880000000004,64.83463,4.16675
48,48,48,48,French Restaurant Robot Waiter,60.667880000000004,64.83463,4.16675
49,49,49,49,Arthur,60.96788600000001,64.83463,3.866743999999997
50,50,50,50,Aurora Lane,64.867964,70.60141200000002,5.733448000000024
51,51,51,51,Jim Preston,64.984633,70.60141200000002,5.6167790000000215
52,52,52,52,Arthur,66.451329,70.60141200000002,4.1500830000000235
53,53,53,53,The Starship Avalon,67.55135100000001,70.60141200000002,3.0500610000000137
54,54,54,54,Best Friend,69.38472100000001,70.60141200000002,1.2166910000000115
55,55,55,55,Party Friend,69.43472200000001,70.60141200000002,1.1666900000000169
56,56,56,56,Party Friend,69.43472200000001,70.60141200000002,1.1666900000000169
57,57,57,57,Party Friend,69.43472200000001,70.60141200000002,1.1666900000000169
58,58,58,58,Party Friend,69.43472200000001,70.60141200000002,1.1666900000000169
59,59,59,59,Party Friend,69.43472200000001,70.60141200000002,1.1666900000000169
60,60,60,60,Party Friend,69.43472200000001,70.60141200000002,1.1666900000000169
61,61,61,61,Jim Preston,70.60141200000002,77.951559,7.350146999999978
62,62,62,62,Arthur,70.66808,77.951559,7.283478999999999
63,63,63,63,The Starship Avalon,70.934752,77.951559,7.016807000000001
64,64,64,64,Aurora Lane,70.951419,77.951559,7.000140000000003
65,65,65,65,Gus Mancuso,71.984773,77.951559,5.966785999999999
66,66,66,66,Aurora Lane,77.951559,91.885171,13.933611999999995
67,67,67,67,Jim Preston,78.25156500000001,91.885171,13.633605999999983
68,68,68,68,Gus Mancuso,78.28489900000002,91.885171,13.600271999999974
69,69,69,69,The Starship Avalon,81.418295,91.885171,10.466876
70,70,70,70,Autodoc,82.068308,91.885171,9.816862999999998
71,71,71,71,Arthur,86.05172100000001,91.885171,5.833449999999987
72,72,72,72,Jim Preston,91.901838,102.235378,10.33354
73,73,73,73,Aurora Lane,92.05184100000001,102.235378,10.183536999999989
74,74,74,74,The Starship Avalon,92.201844,102.235378,10.033534000000003
75,75,75,75,Autodoc,99.768662,102.235378,2.4667159999999906
76,76,76,76,Arthur,102.435382,106.635466,4.2000839999999915
77,77,77,77,Aurora Lane,102.435382,106.635466,4.2000839999999915
78,78,78,78,Jim Preston,102.618719,106.635466,4.016746999999995
79,79,79,79,Gus Mancuso,102.80205600000001,106.635466,3.8334099999999856
80,80,80,80,The Starship Avalon,106.95213900000002,107.718821,0.7666819999999888
81,81,81,81,Aurora Lane,107.035474,107.718821,0.6833470000000119
82,82,82,82,Captain Norris,107.135476,107.718821,0.5833450000000084
83,83,83,83,Executive Officer,107.135476,107.718821,0.5833450000000084
84,84,84,84,Crew Member,107.135476,107.718821,0.5833450000000084
