,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,SP Prakash,1.1000219999999998,5.916785000000001,4.816763000000001
1,1,1,1,Lucky's Uncle,3.5834050000000004,5.916785000000001,2.3333800000000005
2,2,2,2,Lucky's Uncle,3.5834050000000004,5.916785000000001,2.3333800000000005
3,3,3,3,Lucky's Uncle,3.5834050000000004,5.916785000000001,2.3333800000000005
4,4,4,4,Lucky's Aunt,3.5834050000000004,5.916785000000001,2.3333800000000005
5,5,5,5,Lucky's Aunt,3.5834050000000004,5.916785000000001,2.3333800000000005
6,6,6,6,Lucky's Uncle,3.5834050000000004,5.916785000000001,2.3333800000000005
7,7,7,7,Lucky,4.550091,5.916785000000001,1.3666940000000007
8,8,8,8,I.G,5.0167670000000015,5.916785000000001,0.9000179999999993
9,9,9,9,Devaraj,6.016787000000001,9.716861000000002,3.7000740000000008
10,10,10,10,Devaraj's Father,6.0834550000000025,9.716861000000002,3.633405999999999
11,11,11,11,Rajeev,6.1501230000000024,9.716861000000002,3.566737999999998
12,12,12,12,Saraswathi,8.916845,9.716861000000002,0.8000160000000012
13,13,13,13,SP Prakash,9.750195,11.450229,1.7000340000000005
14,14,14,14,I.G,9.750195,11.450229,1.7000340000000005
15,15,15,15,Rajeev,10.133536,11.450229,1.3166930000000008
16,16,16,16,Lucky,10.550211000000001,11.450229,0.9000179999999993
17,17,17,17,Rajeev,11.450229,16.066988000000002,4.616759000000002
18,18,18,18,Devaraj,11.450229,16.066988000000002,4.616759000000002
19,19,19,19,Devaraj's Father,11.450229,16.066988000000002,4.616759000000002
20,20,20,20,SP Prakash,11.983573000000002,16.066988000000002,4.0834150000000005
21,21,21,21,Lucky,12.583585000000001,16.066988000000002,3.4834030000000014
22,22,22,22,Raja,15.933652000000002,16.066988000000002,0.1333359999999999
23,23,23,23,Raja,16.066988000000002,19.450389,3.3834009999999988
24,24,24,24,Sahayam,16.900338,19.450389,2.550051
25,25,25,25,Bujji,18.100362,19.450389,1.3500270000000008
26,26,26,26,S.I.Babu Rao,18.700374,19.450389,0.7500150000000012
27,27,27,27,Commentator,19.500390000000003,26.50053,7.000139999999997
28,28,28,28,Raja,19.600392000000006,26.50053,6.9001379999999966
29,29,29,29,Bujji,19.600392000000006,26.50053,6.9001379999999966
30,30,30,30,S.I.Babu Rao,19.600392000000006,26.50053,6.9001379999999966
31,31,31,31,Bank Bulls Player,19.750395,26.50053,6.750135
32,32,32,32,Bank Bulls Captain,19.767062000000006,26.50053,6.733467999999995
33,33,33,33,Bank Bulls Player,19.783729,26.50053,6.7168009999999985
34,34,34,34,Bujji,26.50053,32.11730900000001,5.616779000000012
35,35,35,35,Raja,26.517197000000003,32.11730900000001,5.60011200000001
36,36,36,36,Bank Bulls Captain,26.81720300000001,32.11730900000001,5.300106000000003
37,37,37,37,Bank Bulls Player,26.81720300000001,32.11730900000001,5.300106000000003
38,38,38,38,Bank Bulls Player,26.81720300000001,32.11730900000001,5.300106000000003
39,39,39,39,Ananthalakshmi,29.767262,32.11730900000001,2.350047000000014
40,40,40,40,SP Prakash,30.700614,32.11730900000001,1.4166950000000114
41,41,41,41,Rajeev,30.700614,32.11730900000001,1.4166950000000114
42,42,42,42,Lucky,30.717281000000003,32.11730900000001,1.4000280000000096
43,43,43,43,Devaraj,30.733948,32.11730900000001,1.3833610000000114
44,44,44,44,Lucky's Uncle,30.817283000000003,32.11730900000001,1.3000260000000097
45,45,45,45,Lucky's Uncle,30.817283000000003,32.11730900000001,1.3000260000000097
46,46,46,46,I.G,30.817283000000003,32.11730900000001,1.3000260000000097
47,47,47,47,Lucky's Uncle,30.817283000000003,32.11730900000001,1.3000260000000097
48,48,48,48,Lucky's Uncle,30.817283000000003,32.11730900000001,1.3000260000000097
49,49,49,49,Young Raja,31.45062900000001,32.11730900000001,0.6666800000000029
50,50,50,50,Ananthalakshmi,32.150643,34.817363,2.666719999999998
51,51,51,51,Raja,32.150643,34.817363,2.666719999999998
52,52,52,52,Bujji,32.150643,34.817363,2.666719999999998
53,53,53,53,S.I.Babu Rao,32.217310999999995,34.817363,2.6000520000000047
54,54,54,54,Police Officer,32.217310999999995,34.817363,2.6000520000000047
55,55,55,55,I.G,32.217310999999995,34.817363,2.6000520000000047
56,56,56,56,Police Officer,32.217310999999995,34.817363,2.6000520000000047
57,57,57,57,I.G's Wife,33.784009000000005,34.817363,1.0333539999999957
58,58,58,58,Lucky,34.950699,37.16741,2.2167109999999965
59,59,59,59,Raja,35.88405100000001,37.16741,1.28335899999999
60,60,60,60,Bujji,35.88405100000001,37.16741,1.28335899999999
61,61,61,61,Police Officer,36.10072200000001,37.16741,1.066687999999985
62,62,62,62,Police Officer,36.10072200000001,37.16741,1.066687999999985
63,63,63,63,Pandu,36.734068,37.16741,0.4333419999999961
64,64,64,64,Lucky,37.16741,40.767482,3.6000720000000044
65,65,65,65,Pandu,37.16741,40.767482,3.6000720000000044
66,66,66,66,Prasad,37.434082000000004,40.767482,3.333399999999997
67,67,67,67,Gayatri,37.83409,40.767482,2.9333919999999982
68,68,68,68,Bank Manager Babji,38.667440000000006,40.767482,2.1000419999999957
69,69,69,69,Prasad's Mother,39.434122,40.767482,1.333359999999999
70,70,70,70,Raja,40.784149000000006,42.267512,1.4833629999999969
71,71,71,71,Police Officer,40.784149000000006,42.267512,1.4833629999999969
72,72,72,72,Police Officer,40.784149000000006,42.267512,1.4833629999999969
73,73,73,73,Bujji,40.80081600000001,42.267512,1.4666959999999918
74,74,74,74,Devaraj,41.534164000000004,42.267512,0.7333479999999994
75,75,75,75,Devaraj's Father,41.567498,42.267512,0.700014000000003
76,76,76,76,I.G,42.267512,44.48422300000001,2.216711000000004
77,77,77,77,Prasad,42.70085400000001,44.48422300000001,1.7833690000000004
78,78,78,78,Raja,42.71752100000001,44.48422300000001,1.766701999999995
79,79,79,79,Bujji,42.71752100000001,44.48422300000001,1.766701999999995
80,80,80,80,Police Officer,42.750855,44.48422300000001,1.7333680000000058
81,81,81,81,Police Officer,42.750855,44.48422300000001,1.7333680000000058
82,82,82,82,Prasad's Mother,43.700874000000006,44.48422300000001,0.7833490000000012
83,83,83,83,Gayatri,43.700874000000006,44.48422300000001,0.7833490000000012
84,84,84,84,Police Officer,44.534224,50.96768600000001,6.433462000000006
85,85,85,85,Police Officer,44.534224,50.96768600000001,6.433462000000006
86,86,86,86,Pandu,44.55089100000001,50.96768600000001,6.4167950000000005
87,87,87,87,Lucky,44.56755800000001,50.96768600000001,6.400127999999995
88,88,88,88,Raja,44.63422600000001,50.96768600000001,6.333459999999995
89,89,89,89,Bujji,44.63422600000001,50.96768600000001,6.333459999999995
90,90,90,90,Prasad,46.017587000000006,50.96768600000001,4.950099000000002
91,91,91,91,Gayatri,46.017587000000006,50.96768600000001,4.950099000000002
92,92,92,92,Prasad's Mother,47.15094300000001,50.96768600000001,3.8167429999999953
93,93,93,93,SP Prakash,50.06766800000001,50.96768600000001,0.9000179999999958
94,94,94,94,Devaraj's Father,51.017687,52.65105300000001,1.6333660000000094
95,95,95,95,Devaraj,51.017687,52.65105300000001,1.6333660000000094
96,96,96,96,Lucky,52.65105300000001,54.76776200000001,2.116709
97,97,97,97,Prasad,52.68438700000001,54.76776200000001,2.083375000000004
98,98,98,98,Gayatri,52.801056,54.76776200000001,1.9667060000000087
99,99,99,99,Pandu,52.801056,54.76776200000001,1.9667060000000087
100,100,100,100,Raja,52.867724,54.76776200000001,1.9000380000000088
101,101,101,101,Bujji,52.88439100000001,54.76776200000001,1.883371000000004
102,102,102,102,Prasad's Mother,53.651073,54.76776200000001,1.1166890000000151
103,103,103,103,Police Officer,54.76776200000001,60.81788300000001,6.050120999999997
104,104,104,104,Police Officer,54.76776200000001,60.81788300000001,6.050120999999997
105,105,105,105,Raja,54.76776200000001,60.81788300000001,6.050120999999997
106,106,106,106,Pandu,54.917765,60.81788300000001,5.900118000000006
107,107,107,107,Lucky,54.917765,60.81788300000001,5.900118000000006
108,108,108,108,Prasad,54.96776600000001,60.81788300000001,5.850116999999997
109,109,109,109,Bujji,54.96776600000001,60.81788300000001,5.850116999999997
110,110,110,110,Bank Manager Babji,55.48444300000001,60.81788300000001,5.333439999999996
111,111,111,111,Bank Cashier Siddharth,58.434502,60.81788300000001,2.383381000000006
112,112,112,112,Ananthalakshmi,60.83455000000001,62.851257,2.0167069999999896
113,113,113,113,Raja,60.88455100000001,62.851257,1.966705999999988
114,114,114,114,Lucky,61.03455400000001,62.851257,1.8167029999999893
115,115,115,115,Young Raja,61.201224,62.851257,1.6500329999999934
116,116,116,116,Raja's Father,61.38456100000001,62.851257,1.4666959999999851
117,117,117,117,Prasad's Mother,62.90125800000001,65.917985,3.016726999999989
118,118,118,118,Prasad,62.90125800000001,65.917985,3.016726999999989
119,119,119,119,Gayatri,62.90125800000001,65.917985,3.016726999999989
120,120,120,120,Pandu,62.90125800000001,65.917985,3.016726999999989
121,121,121,121,Raja,63.117929000000004,65.917985,2.8000559999999983
122,122,122,122,Bujji,63.117929000000004,65.917985,2.8000559999999983
123,123,123,123,Police Officer,63.117929000000004,65.917985,2.8000559999999983
124,124,124,124,Lucky,63.117929000000004,65.917985,2.8000559999999983
125,125,125,125,Police Officer,63.117929000000004,65.917985,2.8000559999999983
126,126,126,126,SP Prakash,64.28461899999999,65.917985,1.6333660000000094
127,127,127,127,Devaraj's Father,64.43462199999999,65.917985,1.483363000000011
128,128,128,128,Devaraj,64.601292,65.917985,1.3166930000000008
129,129,129,129,S.I.Babu Rao,64.70129399999999,65.917985,1.2166910000000115
130,130,130,130,I.G,64.70129399999999,65.917985,1.2166910000000115
131,131,131,131,Prasad,65.917985,70.61807900000002,4.700094000000021
132,132,132,132,Raja,65.95131900000001,70.61807900000002,4.666760000000012
133,133,133,133,Bujji,65.95131900000001,70.61807900000002,4.666760000000012
134,134,134,134,Police Officer,65.95131900000001,70.61807900000002,4.666760000000012
135,135,135,135,Bank Manager Babji,65.95131900000001,70.61807900000002,4.666760000000012
136,136,136,136,Police Officer,65.95131900000001,70.61807900000002,4.666760000000012
137,137,137,137,Prasad's Mother,66.00131999999999,70.61807900000002,4.61675900000003
138,138,138,138,Lucky,66.584665,70.61807900000002,4.033414000000022
139,139,139,139,Devaraj,70.58474500000001,70.61807900000002,0.03333400000001063
140,140,140,140,Devaraj,70.61807900000002,72.06810800000002,1.450029000000001
141,141,141,141,Devaraj's Father,70.71808100000001,72.06810800000002,1.3500270000000114
142,142,142,142,Saraswathi,71.618099,72.06810800000002,0.4500090000000228
143,143,143,143,I.G,71.751435,72.06810800000002,0.31667300000002285
144,144,144,144,Prasad,72.134776,80.81828300000002,8.683507000000018
145,145,145,145,Raja,72.134776,80.81828300000002,8.683507000000018
146,146,146,146,Bujji,72.134776,80.81828300000002,8.683507000000018
147,147,147,147,Gayatri,72.134776,80.81828300000002,8.683507000000018
148,148,148,148,Police Officer,72.134776,80.81828300000002,8.683507000000018
149,149,149,149,I.G,72.134776,80.81828300000002,8.683507000000018
150,150,150,150,Pandu,72.134776,80.81828300000002,8.683507000000018
151,151,151,151,Lucky,72.134776,80.81828300000002,8.683507000000018
152,152,152,152,Police Officer,72.134776,80.81828300000002,8.683507000000018
153,153,153,153,Young Raja,76.868204,80.81828300000002,3.9500790000000174
154,154,154,154,Ananthalakshmi,76.918205,80.81828300000002,3.900078000000022
155,155,155,155,Martial Arts Trainer,76.93487200000001,80.81828300000002,3.8834110000000095
156,156,156,156,Devaraj's Father,80.868284,84.36835400000002,3.500070000000022
157,157,157,157,Devaraj,81.10162199999998,84.36835400000002,3.266732000000048
158,158,158,158,Prasad's Mother,81.95163900000001,84.36835400000002,2.4167150000000106
159,159,159,159,Prasad,81.95163900000001,84.36835400000002,2.4167150000000106
160,160,160,160,Raja,81.95163900000001,84.36835400000002,2.4167150000000106
161,161,161,161,Bujji,81.95163900000001,84.36835400000002,2.4167150000000106
162,162,162,162,Gayatri,81.95163900000001,84.36835400000002,2.4167150000000106
163,163,163,163,Police Officer,81.95163900000001,84.36835400000002,2.4167150000000106
164,164,164,164,I.G,81.95163900000001,84.36835400000002,2.4167150000000106
165,165,165,165,Police Officer,81.95163900000001,84.36835400000002,2.4167150000000106
166,166,166,166,Lucky's Uncle,84.418355,89.051781,4.633426
167,167,167,167,Lucky's Uncle,84.451689,89.051781,4.6000920000000045
168,168,168,168,Lucky's Aunt,84.46835600000001,89.051781,4.583424999999991
169,169,169,169,Lucky's Aunt,84.56835799999998,89.051781,4.48342300000003
170,170,170,170,Lucky's Uncle,84.65169300000002,89.051781,4.400087999999983
171,171,171,171,Lucky's Uncle,84.65169300000002,89.051781,4.400087999999983
172,172,172,172,Lucky's Aunt,84.65169300000002,89.051781,4.400087999999983
173,173,173,173,Raja,86.36839400000002,89.051781,2.683386999999982
174,174,174,174,Bujji,86.36839400000002,89.051781,2.683386999999982
175,175,175,175,Lucky,86.36839400000002,89.051781,2.683386999999982
176,176,176,176,SP Prakash,88.518437,89.051781,0.5333439999999996
177,177,177,177,Raja,89.10178200000001,93.485203,4.383420999999984
178,178,178,178,Ananthalakshmi,89.13511600000002,93.485203,4.350086999999974
179,179,179,179,Lucky's Uncle,89.451789,93.485203,4.033413999999993
180,180,180,180,Lucky's Uncle,89.451789,93.485203,4.033413999999993
181,181,181,181,Lucky's Uncle,89.451789,93.485203,4.033413999999993
182,182,182,182,Lucky's Uncle,89.451789,93.485203,4.033413999999993
183,183,183,183,Lucky's Aunt,89.468456,93.485203,4.016746999999995
184,184,184,184,Lucky's Aunt,89.585125,93.485203,3.9000779999999935
185,185,185,185,Lucky's Aunt,89.66846000000002,93.485203,3.8167429999999736
186,186,186,186,Bujji,89.90179800000001,93.485203,3.5834049999999853
187,187,187,187,Lucky,93.53520400000001,97.851957,4.316752999999991
188,188,188,188,Lucky's Aunt,93.551871,97.851957,4.300085999999993
189,189,189,189,Lucky's Aunt,93.551871,97.851957,4.300085999999993
190,190,190,190,Lucky's Aunt,93.551871,97.851957,4.300085999999993
191,191,191,191,Lucky's Uncle,93.601872,97.851957,4.250084999999999
192,192,192,192,Lucky's Uncle,93.601872,97.851957,4.250084999999999
193,193,193,193,Lucky's Uncle,93.601872,97.851957,4.250084999999999
194,194,194,194,Lucky's Uncle,93.618539,97.851957,4.233418
195,195,195,195,Raja,94.135216,97.851957,3.716740999999999
196,196,196,196,Bujji,94.151883,97.851957,3.7000740000000008
197,197,197,197,Raja,97.868624,102.38538100000001,4.516757000000013
198,198,198,198,Bujji,97.868624,102.38538100000001,4.516757000000013
199,199,199,199,Lucky,97.868624,102.38538100000001,4.516757000000013
200,200,200,200,SP Prakash,97.935292,102.38538100000001,4.4500890000000055
201,201,201,201,Surya Murthy,98.16863000000001,102.38538100000001,4.216751000000002
202,202,202,202,Lucky's Uncle,98.285299,102.38538100000001,4.100082000000015
203,203,203,203,Lucky's Uncle,98.285299,102.38538100000001,4.100082000000015
204,204,204,204,Lucky's Uncle,98.285299,102.38538100000001,4.100082000000015
205,205,205,205,Lucky's Uncle,98.285299,102.38538100000001,4.100082000000015
206,206,206,206,Lucky's Aunt,101.702034,102.38538100000001,0.6833470000000119
207,207,207,207,Lucky's Aunt,101.702034,102.38538100000001,0.6833470000000119
208,208,208,208,Lucky's Aunt,101.702034,102.38538100000001,0.6833470000000119
209,209,209,209,Lucky's Uncle,102.402048,105.752115,3.350067000000009
210,210,210,210,Lucky's Uncle,102.402048,105.752115,3.350067000000009
211,211,211,211,Lucky's Uncle,102.402048,105.752115,3.350067000000009
212,212,212,212,Lucky's Uncle,102.402048,105.752115,3.350067000000009
213,213,213,213,Lucky's Aunt,102.468716,105.752115,3.283399000000003
214,214,214,214,Lucky's Aunt,102.468716,105.752115,3.283399000000003
215,215,215,215,Lucky,102.468716,105.752115,3.283399000000003
216,216,216,216,Lucky's Aunt,102.51871700000001,105.752115,3.2333979999999936
217,217,217,217,Raja,102.752055,105.752115,3.000060000000005
218,218,218,218,Bujji,102.752055,105.752115,3.000060000000005
219,219,219,219,Devaraj's Uncle,103.368734,105.752115,2.383381
220,220,220,220,Devaraj,105.10210200000002,105.752115,0.6500129999999871
221,221,221,221,Devaraj's Father,105.285439,105.752115,0.4666760000000068
222,222,222,222,Raja,105.81878300000001,111.618899,5.8001159999999885
223,223,223,223,Devaraj's Father,105.868784,111.618899,5.750114999999994
224,224,224,224,Devaraj,105.868784,111.618899,5.750114999999994
225,225,225,225,Lucky's Uncle,106.285459,111.618899,5.333439999999996
226,226,226,226,Bujji,106.285459,111.618899,5.333439999999996
227,227,227,227,Lucky's Uncle,106.285459,111.618899,5.333439999999996
228,228,228,228,Lucky's Uncle,106.285459,111.618899,5.333439999999996
229,229,229,229,Lucky's Uncle,106.285459,111.618899,5.333439999999996
230,230,230,230,Lucky,106.285459,111.618899,5.333439999999996
231,231,231,231,Lucky's Aunt,106.318793,111.618899,5.3001059999999995
232,232,232,232,Lucky's Aunt,106.33546000000001,111.618899,5.283438999999987
233,233,233,233,SP Prakash,106.452129,111.618899,5.16677
234,234,234,234,Rajeev,106.452129,111.618899,5.16677
235,235,235,235,Devaraj,111.618899,117.06900800000001,5.450109000000012
236,236,236,236,Devaraj's Father,111.618899,117.06900800000001,5.450109000000012
