,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Engineer Chitti Babu,1.0166870000000001,9.866864,8.850176999999997
1,1,1,1,Dakshina Murthy,1.916705,9.866864,7.9501589999999975
2,2,2,2,Sitaram,3.633406,9.866864,6.2334580000000015
3,3,3,3,Somaraju,6.0667880000000025,9.866864,3.800075999999997
4,4,4,4,Veera Babu,7.3334800000000016,9.866864,2.533383999999998
5,5,5,5,Maisaa,8.450169,9.866864,1.4166949999999991
6,6,6,6,Rangammattha,8.850177,9.866864,1.0166869999999992
7,7,7,7,Engineer Chitti Babu,9.866864,21.150423000000004,11.283559000000004
8,8,8,8,Erra Sreenu,10.216871000000001,21.150423000000004,10.933552000000002
9,9,9,9,Government Employee,10.633546,21.150423000000004,10.516877000000003
10,10,10,10,Sheshu Naidu,10.883551,21.150423000000004,10.266872000000003
11,11,11,11,President Phanindra Bhupathi,13.16693,21.150423000000004,7.983493000000002
12,12,12,12,President's Assistant,13.16693,21.150423000000004,7.983493000000002
13,13,13,13,Somaraju,13.633606000000002,21.150423000000004,7.516817000000001
14,14,14,14,Maisaa,15.433642,21.150423000000004,5.716781000000003
15,15,15,15,Rangammattha,16.383661,21.150423000000004,4.766762000000004
16,16,16,16,Kumar Babu,19.983733,21.150423000000004,1.166690000000003
17,17,17,17,Government Employee,21.150423000000004,27.567218000000004,6.4167950000000005
18,18,18,18,Sheshu Naidu,21.267092,27.567218000000004,6.300126000000002
19,19,19,19,Kumar Babu,21.367094,27.567218000000004,6.200124000000002
20,20,20,20,Engineer Chitti Babu,21.400428,27.567218000000004,6.166790000000002
21,21,21,21,Koteswarrao,22.35044700000001,27.567218000000004,5.216770999999994
22,22,22,22,Kanthamma,22.367114,27.567218000000004,5.200104000000003
23,23,23,23,Padma,24.100482000000003,27.567218000000004,3.4667360000000014
24,24,24,24,President Phanindra Bhupathi,24.983833,27.567218000000004,2.583385000000004
25,25,25,25,BDO Officer,25.017167,27.567218000000004,2.5500510000000034
26,26,26,26,President's Assistant,25.200504000000002,27.567218000000004,2.3667140000000018
27,27,27,27,Veera Babu,27.567218000000004,36.450729,8.883510999999997
28,28,28,28,Engineer Chitti Babu,27.967226000000004,36.450729,8.483502999999999
29,29,29,29,Rama Lakshmi,28.183897,36.450729,8.266832
30,30,30,30,Kanthamma,31.533964000000005,36.450729,4.916764999999998
31,31,31,31,Kumar Babu,31.667300000000004,36.450729,4.783428999999998
32,32,32,32,Maisaa,32.883990999999995,36.450729,3.5667380000000084
33,33,33,33,Rangammattha,33.484003,36.450729,2.9667260000000013
34,34,34,34,Maisaa,36.450729,45.41757500000001,8.966846000000004
35,35,35,35,Rama Lakshmi,36.450729,45.41757500000001,8.966846000000004
36,36,36,36,Engineer Chitti Babu,36.450729,45.41757500000001,8.966846000000004
37,37,37,37,Rangammattha,39.184117,45.41757500000001,6.233458000000006
38,38,38,38,Kumar Babu,39.517457,45.41757500000001,5.900118000000006
39,39,39,39,Kaasi's Brother,41.267492,45.41757500000001,4.150083000000009
40,40,40,40,Kaasi,43.084195,45.41757500000001,2.3333800000000053
41,41,41,41,President Phanindra Bhupathi,45.134236,45.41757500000001,0.2833390000000051
42,42,42,42,Sheshu Naidu,45.134236,45.41757500000001,0.2833390000000051
43,43,43,43,President's Assistant,45.134236,45.41757500000001,0.2833390000000051
44,44,44,44,Rama Lakshmi,45.41757500000001,52.43438200000001,7.016807000000001
45,45,45,45,Engineer Chitti Babu,45.41757500000001,52.43438200000001,7.016807000000001
46,46,46,46,Government Employee,45.884251000000006,52.43438200000001,6.550131
47,47,47,47,Veera Babu,46.700934000000004,52.43438200000001,5.733448000000003
48,48,48,48,Rangammattha,50.00100000000001,52.43438200000001,2.4333819999999946
49,49,49,49,Maisaa,50.017667,52.43438200000001,2.4167150000000035
50,50,50,50,Venkat Rao,51.85103700000001,52.43438200000001,0.5833449999999942
51,51,51,51,Government Employee,52.45104900000001,60.401208,7.950158999999987
52,52,52,52,Somaraju,52.48438300000001,60.401208,7.916824999999987
53,53,53,53,Engineer Chitti Babu,52.58438500000001,60.401208,7.816822999999987
54,54,54,54,Rangammattha,53.76774200000001,60.401208,6.6334659999999825
55,55,55,55,Kumar Babu,53.90107800000001,60.401208,6.500129999999984
56,56,56,56,Maisaa,53.90107800000001,60.401208,6.500129999999984
57,57,57,57,Rama Lakshmi,53.934412,60.401208,6.466795999999995
58,58,58,58,Somaraju,60.401208,74.95149900000001,14.550291000000017
59,59,59,59,Engineer Chitti Babu,60.401208,74.95149900000001,14.550291000000017
60,60,60,60,Kumar Babu,60.417875,74.95149900000001,14.53362400000001
61,61,61,61,Rama Lakshmi,60.65121300000001,74.95149900000001,14.300285999999998
62,62,62,62,Government Employee,61.21789100000001,74.95149900000001,13.733608000000006
63,63,63,63,Sheshu Naidu,62.33458,74.95149900000001,12.61691900000001
64,64,64,64,Veera Babu,62.33458,74.95149900000001,12.61691900000001
65,65,65,65,Maisaa,62.367914000000006,74.95149900000001,12.583585000000005
66,66,66,66,Koteswarrao,62.66792,74.95149900000001,12.28357900000001
67,67,67,67,Kaasi,62.75125500000001,74.95149900000001,12.200244000000005
68,68,68,68,President Phanindra Bhupathi,63.28459900000001,74.95149900000001,11.666900000000005
69,69,69,69,President's Assistant,63.28459900000001,74.95149900000001,11.666900000000005
70,70,70,70,Kanthamma,66.78466900000001,74.95149900000001,8.166830000000003
71,71,71,71,Rangammattha,72.751455,74.95149900000001,2.2000440000000046
