,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Ragini,9.950199000000001,26.067188,16.116989
1,1,1,1,Sriram,10.133536,26.067188,15.933652000000002
2,2,2,2,Sriram,26.083855000000003,41.16749,15.083634999999996
3,3,3,3,Jenny,36.200724,41.16749,4.966766000000002
4,4,4,4,Panduranga Rao,39.550791,41.16749,1.616699000000004
5,5,5,5,Panduranga Rao,41.184157000000006,55.184437,14.000279999999995
6,6,6,6,Sriram,44.984233,55.184437,10.200204
7,7,7,7,Jenny,44.984233,55.184437,10.200204
8,8,8,8,Panduranga Rao,55.20110400000001,68.301366,13.100261999999995
9,9,9,9,Jenny,57.884491000000004,68.301366,10.416874999999996
10,10,10,10,Sriram,58.084495,68.301366,10.216871000000003
11,11,11,11,Panduranga Rao,68.35136700000001,85.50171,17.150342999999992
12,12,12,12,Sriram,68.434702,85.50171,17.067007999999998
13,13,13,13,Jenny,69.11804900000001,85.50171,16.38366099999999
14,14,14,14,Sriram,85.518377,100.818683,15.300305999999992
15,15,15,15,Jenny,85.635046,100.818683,15.18363699999999
16,16,16,16,Lessa,91.6685,100.818683,9.150182999999998
17,17,17,17,Jenny,100.885351,122.65245300000001,21.76710200000001
18,18,18,18,Lessa,100.885351,122.65245300000001,21.76710200000001
19,19,19,19,Sriram,101.218691,122.65245300000001,21.433762
