,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Vasu's Grandfather,3.783409,17.750355000000006,13.966946000000007
1,1,1,1,Ramaraju,4.0500810000000005,17.750355000000006,13.700274000000006
2,2,2,2,Seetha,4.233418,17.750355000000006,13.516937000000004
3,3,3,3,Vasu's Grandmother,4.316753,17.750355000000006,13.433602000000004
4,4,4,4,Raju,4.716761000000001,17.750355000000006,13.033594000000004
5,5,5,5,Raju's Wife,6.1667900000000015,17.750355000000006,11.583565000000005
6,6,6,6,Raju's Brother In Law,7.733488,17.750355000000006,10.016867000000003
7,7,7,7,Sreenu,8.133496000000001,17.750355000000006,9.616859000000003
8,8,8,8,Servant,8.416835,17.750355000000006,9.333520000000004
9,9,9,9,Padmavathi,8.583505,17.750355000000006,9.166850000000004
10,10,10,10,Veerababu,8.766842,17.750355000000006,8.983513000000006
11,11,11,11,Vasu,11.833570000000002,17.750355000000006,5.916785000000004
12,12,12,12,Praveen,13.033594,17.750355000000006,4.716761000000004
13,13,13,13,Shekar,13.033594,17.750355000000006,4.716761000000004
14,14,14,14,Bujji,13.033594,17.750355000000006,4.716761000000004
15,15,15,15,Prabhu,13.033594,17.750355000000006,4.716761000000004
16,16,16,16,Vasu,17.767022,23.567138000000003,5.800116000000003
17,17,17,17,Praveen,17.783689000000006,23.567138000000003,5.783448999999997
18,18,18,18,Sri,17.967026,23.567138000000003,5.600112000000002
19,19,19,19,Bujji,18.450369,23.567138000000003,5.116769000000005
20,20,20,20,Rajesh,21.317093000000003,23.567138000000003,2.250045
21,21,21,21,Shanthi,21.317093000000003,23.567138000000003,2.250045
22,22,22,22,Ramaraju,22.41711500000001,23.567138000000003,1.1500229999999938
23,23,23,23,Vasu's Grandmother,22.48378300000001,23.567138000000003,1.083354999999994
24,24,24,24,Raju,22.48378300000001,23.567138000000003,1.083354999999994
25,25,25,25,Raju's Brother In Law,22.48378300000001,23.567138000000003,1.083354999999994
26,26,26,26,Seetha,22.50045,23.567138000000003,1.0666880000000027
27,27,27,27,Padmavathi,22.50045,23.567138000000003,1.0666880000000027
28,28,28,28,Raju's Wife,22.517117000000002,23.567138000000003,1.050021000000001
29,29,29,29,Veerababu,23.267132000000004,23.567138000000003,0.3000059999999998
