,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Commissioner Gordon,0.983353,1.3166930000000001,0.3333400000000001
1,1,1,1,Harvey Dent,1.1000219999999998,1.3166930000000001,0.21667100000000028
2,2,2,2,Dr. Pavel,1.4500290000000002,6.616799,5.16677
3,3,3,3,Barsad,1.4500290000000002,6.616799,5.16677
4,4,4,4,CIA Op,1.5000300000000002,6.616799,5.1167690000000015
5,5,5,5,Special Ops Sergeant,1.5000300000000002,6.616799,5.1167690000000015
6,6,6,6,Bane,3.366734,6.616799,3.250065
7,7,7,7,Mayor,6.766802,12.900258000000001,6.1334560000000025
8,8,8,8,Harvey Dent,7.066808000000001,12.900258000000001,5.83345
9,9,9,9,Selina,7.216811000000001,12.900258000000001,5.683447
10,10,10,10,Daggett,7.3668140000000015,12.900258000000001,5.533443999999999
11,11,11,11,Stryver,7.3668140000000015,12.900258000000001,5.533443999999999
12,12,12,12,Commissioner Gordon,7.50015,12.900258000000001,5.400108000000001
13,13,13,13,Congressman,7.550151,12.900258000000001,5.350107000000001
14,14,14,14,Foley,7.566818,12.900258000000001,5.333440000000001
15,15,15,15,Bruce Wayne,7.633486,12.900258000000001,5.2667720000000005
16,16,16,16,James Gordon Jr.,8.266832,12.900258000000001,4.633426
17,17,17,17,Maid #2,9.116849,12.900258000000001,3.7834090000000007
18,18,18,18,Caterer,9.116849,12.900258000000001,3.7834090000000007
19,19,19,19,Maid #3,9.116849,12.900258000000001,3.7834090000000007
20,20,20,20,Alfred,9.200184,12.900258000000001,3.7000740000000008
21,21,21,21,Miranda,9.600192000000002,12.900258000000001,3.300066
22,22,22,22,Thomas Wayne,10.916885,12.900258000000001,1.9833730000000005
23,23,23,23,Martha Wayne,10.916885,12.900258000000001,1.9833730000000005
24,24,24,24,Rachel Dawes,10.966886,12.900258000000001,1.9333720000000003
25,25,25,25,Rachel Dawes,12.900258000000001,13.416935,0.5166769999999996
26,26,26,26,Alfred,12.900258000000001,13.416935,0.5166769999999996
27,27,27,27,Bruce Wayne,12.900258000000001,13.416935,0.5166769999999996
28,28,28,28,Blake,13.416935,14.483623000000001,1.066688000000001
29,29,29,29,Commissioner Gordon,13.466936,14.483623000000001,1.016687000000001
30,30,30,30,Alfred,14.483623000000001,17.817023000000006,3.3334000000000046
31,31,31,31,Bruce Wayne,15.116969000000001,17.817023000000006,2.7000540000000046
32,32,32,32,Selina,15.633646,17.817023000000006,2.1833770000000046
33,33,33,33,DWP Man,17.817023000000006,19.133716000000003,1.3166929999999972
34,34,34,34,Blake,17.883691000000006,19.133716000000003,1.2500249999999973
35,35,35,35,Ross,17.883691000000006,19.133716000000003,1.2500249999999973
36,36,36,36,Fr. Reilly,18.233698,19.133716000000003,0.9000180000000029
37,37,37,37,Mark,18.600372,19.133716000000003,0.5333440000000031
38,38,38,38,Selina,19.167050000000003,26.417195000000003,7.250145
39,39,39,39,Congressman,19.167050000000003,26.417195000000003,7.250145
40,40,40,40,Stryver,19.217051,26.417195000000003,7.2001440000000025
41,41,41,41,Jen,20.400408,26.417195000000003,6.0167870000000025
42,42,42,42,Blake,22.18377700000001,26.417195000000003,4.233417999999993
43,43,43,43,Commissioner Gordon,22.66712,26.417195000000003,3.7500750000000025
44,44,44,44,Cop in Manhole,23.067128000000004,26.417195000000003,3.3500669999999992
45,45,45,45,Foley,23.483803,26.417195000000003,2.9333920000000013
46,46,46,46,Sewer Thug #1,23.700474000000003,26.417195000000003,2.7167209999999997
47,47,47,47,Sewer Thug #2,23.717141,26.417195000000003,2.700054000000001
48,48,48,48,Bane,24.56715800000001,26.417195000000003,1.8500369999999933
49,49,49,49,Barsad,24.583825,26.417195000000003,1.8333700000000024
50,50,50,50,Alfred,26.417195000000003,30.300606,3.8834109999999953
51,51,51,51,Blake,26.433862,30.300606,3.866743999999997
52,52,52,52,Bruce Wayne,26.68386700000001,30.300606,3.616738999999989
53,53,53,53,Doctor,30.300606,31.500630000000005,1.2000240000000062
54,54,54,54,Bruce Wayne,30.317273000000004,31.500630000000005,1.1833570000000009
55,55,55,55,Commissioner Gordon,30.850617000000003,31.500630000000005,0.6500130000000013
56,56,56,56,Bruce Wayne,31.500630000000005,36.634066,5.1334359999999934
57,57,57,57,Selina,31.55063100000001,36.634066,5.083434999999987
58,58,58,58,Jen,31.600632000000004,36.634066,5.0334339999999935
59,59,59,59,Yuppie,31.61729900000001,36.634066,5.016766999999987
60,60,60,60,Paparazzi #2,32.067308000000004,36.634066,4.566757999999994
61,61,61,61,Paparazzi #1,32.067308000000004,36.634066,4.566757999999994
62,62,62,62,Valet at Museum,32.133976000000004,36.634066,4.500089999999993
63,63,63,63,Greeter at Museum,32.283978999999995,36.634066,4.350087000000002
64,64,64,64,Rich Twit,32.367314,36.634066,4.266751999999997
