,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Vinayak,1.416695,13.600272,12.183577
1,1,1,1,Mother,3.250065,13.600272,10.350207000000001
2,2,2,2,Sarkaar,3.983413000000001,13.600272,9.616859
3,3,3,3,Young Vinayak,5.400108,13.600272,8.200164000000001
4,4,4,4,Sadashiv,5.400108,13.600272,8.200164000000001
5,5,5,5,Grandmother,9.516857000000002,13.600272,4.083414999999999
6,6,6,6,Mother,13.600272,28.150563000000002,14.550291
7,7,7,7,Sadashiv,13.600272,28.150563000000002,14.550291
8,8,8,8,Young Vinayak,13.600272,28.150563000000002,14.550291
9,9,9,9,Grandmother,20.733748000000002,28.150563000000002,7.416815
10,10,10,10,Vinayak,28.333900000000003,40.217471,11.883571
11,11,11,11,Grandmother,30.933952,40.217471,9.283519000000002
12,12,12,12,Vinayak's Wife,35.850717,40.217471,4.366754
13,13,13,13,Raghav,37.400748,40.217471,2.816723000000003
14,14,14,14,Raghav,40.217471,59.017847,18.800376
15,15,15,15,Sgt Cooper,40.350807,59.017847,18.66704
16,16,16,16,Vinayak's Wife,41.350827,59.017847,17.66702
17,17,17,17,Vinayak,42.03417400000001,59.017847,16.983672999999996
18,18,18,18,Mother,45.36757400000001,59.017847,13.650272999999993
19,19,19,19,Vinayak's Mistress,46.50093,59.017847,12.516917000000007
20,20,20,20,Vinayak,59.10118200000001,64.43462199999999,5.333439999999982
21,21,21,21,Grandmother,59.584525000000006,64.43462199999999,4.850096999999983
22,22,22,22,Vinayak's Mistress,63.20126400000001,64.43462199999999,1.2333579999999813
23,23,23,23,Vinayak's Wife,63.20126400000001,64.43462199999999,1.2333579999999813
24,24,24,24,Vinayak,64.601292,73.90147800000003,9.300186000000023
25,25,25,25,Twin,65.884651,73.90147800000003,8.016827000000019
26,26,26,26,Twin,65.884651,73.90147800000003,8.016827000000019
27,27,27,27,Pandurang,65.917985,73.90147800000003,7.983493000000024
28,28,28,28,Vinayak's Mistress,66.91800500000001,73.90147800000003,6.983473000000018
29,29,29,29,Vinayak's Wife,68.00135999999999,73.90147800000003,5.900118000000035
30,30,30,30,Pandurang,73.90147800000003,93.868544,19.967065999999974
31,31,31,31,Vinayak,73.90147800000003,93.868544,19.967065999999974
32,32,32,32,Vinayak's Wife,77.918225,93.868544,15.950318999999993
33,33,33,33,Raja,79.76826200000002,93.868544,14.10028199999998
34,34,34,34,Vinayak's Mistress,81.71830100000003,93.868544,12.150242999999973
35,35,35,35,Pandurang,93.901878,98.385301,4.483423000000002
36,36,36,36,Vinayak,96.03525400000001,98.385301,2.3500469999999893
