,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Rachana's Mother,3.783409,12.433582000000001,8.650173000000002
1,1,1,1,Rachana,3.783409,12.433582000000001,8.650173000000002
2,2,2,2,Akhila,10.783549,12.433582000000001,1.6500330000000003
3,3,3,3,Karthi,10.783549,12.433582000000001,1.6500330000000003
4,4,4,4,Akhila's Husband,10.950219,12.433582000000001,1.4833630000000009
5,5,5,5,Rachana,12.433582000000001,23.867144000000003,11.433562000000002
6,6,6,6,Akhila,12.550251,23.867144000000003,11.316893000000006
7,7,7,7,Karthi,12.550251,23.867144000000003,11.316893000000006
8,8,8,8,Akhila's Husband,12.566918,23.867144000000003,11.300226000000006
9,9,9,9,Aditya,18.50037,23.867144000000003,5.366774000000003
10,10,10,10,Rachana,23.867144000000003,37.650753,13.783608999999998
11,11,11,11,Aditya,25.033834,37.650753,12.616919000000005
12,12,12,12,Prabhakar,28.050561,37.650753,9.600192000000003
13,13,13,13,Akhila,30.267272,37.650753,7.383481000000002
14,14,14,14,Chandra Shekhar,30.267272,37.650753,7.383481000000002
15,15,15,15,Nayak,32.767322,37.650753,4.883431000000002
16,16,16,16,Rachana,37.650753,48.60097200000001,10.950219000000011
17,17,17,17,Nayak,37.68408700000001,48.60097200000001,10.916885
18,18,18,18,Prabhakar,40.66748000000001,48.60097200000001,7.933492000000001
19,19,19,19,Prabhakar,48.60097200000001,53.851077000000004,5.250104999999991
20,20,20,20,Rachana,49.350987,53.851077000000004,4.50009
21,21,21,21,Nayak,49.40098800000001,53.851077000000004,4.450088999999991
22,22,22,22,Sharath Kumar,50.11766900000001,53.851077000000004,3.733407999999997
23,23,23,23,Prabhakar,53.917745,60.551211,6.633466000000006
24,24,24,24,Chandra Shekhar,54.16775000000001,60.551211,6.383460999999992
25,25,25,25,Nayak,54.384421,60.551211,6.166789999999999
26,26,26,26,Rachana,55.88445100000001,60.551211,4.6667599999999885
27,27,27,27,Aditya,60.56787800000001,70.06806800000001,9.500190000000003
28,28,28,28,Nayak,60.801216000000004,70.06806800000001,9.266852000000009
29,29,29,29,Rachana,62.251245,70.06806800000001,7.816823000000013
30,30,30,30,Chandra Shekhar,63.717941,70.06806800000001,6.3501270000000085
31,31,31,31,Rachana,71.13475600000002,79.88493100000002,8.750174999999999
32,32,32,32,Nayak,71.13475600000002,79.88493100000002,8.750174999999999
33,33,33,33,Aditya,71.53476400000002,79.88493100000002,8.350166999999999
34,34,34,34,Prabhakar,74.70149400000003,79.88493100000002,5.183436999999998
35,35,35,35,Aditya,79.93493199999998,89.55179100000002,9.616859000000046
36,36,36,36,Rachana,80.11826900000001,89.55179100000002,9.433522000000009
37,37,37,37,Nayak,82.151643,89.55179100000002,7.4001480000000175
38,38,38,38,Chandra Shekhar,82.184977,89.55179100000002,7.366814000000019
39,39,39,39,Prabhakar,82.284979,89.55179100000002,7.266812000000018
40,40,40,40,Ritesh,83.80167600000001,89.55179100000002,5.750115000000008
41,41,41,41,Rachana,89.55179100000002,101.985373,12.433581999999975
42,42,42,42,Nayak,90.451809,101.985373,11.533563999999998
43,43,43,43,Sharath Kumar,90.551811,101.985373,11.433561999999995
44,44,44,44,Rachana's Mother,90.635146,101.985373,11.35022699999999
45,45,45,45,Aditya,91.885171,101.985373,10.100201999999996
46,46,46,46,Maaya,95.25190500000001,101.985373,6.733467999999987
47,47,47,47,Arna,96.718601,101.985373,5.266771999999988
48,48,48,48,Nayak,101.985373,115.10230200000001,13.116929000000011
49,49,49,49,Rachana,101.985373,115.10230200000001,13.116929000000011
50,50,50,50,Maaya,104.18541700000002,115.10230200000001,10.916884999999995
51,51,51,51,Arna,104.218751,115.10230200000001,10.883551000000011
52,52,52,52,Aditya,110.685547,115.10230200000001,4.416755000000009
53,53,53,53,Aditya,115.135636,125.452509,10.316873
54,54,54,54,Rachana,115.218971,125.452509,10.23353800000001
55,55,55,55,Nayak,115.45230900000001,125.452509,10.000199999999992
56,56,56,56,Ritesh,115.652313,125.452509,9.800196
57,57,57,57,Arna,118.635706,125.452509,6.816803000000008
58,58,58,58,Maaya,119.419055,125.452509,6.033454000000006
