,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Narrator,1.366694,2.9333920000000004,1.5666980000000004
1,1,1,1,Chalasani Venkataratnam,2.016707,2.9333920000000004,0.9166850000000006
2,2,2,2,Narrator,2.9333920000000004,3.0500610000000004,0.11666899999999993
3,3,3,3,Radha,3.0500610000000004,8.983513,5.933452
4,4,4,4,Chalasani Venkataratnam,4.50009,8.983513,4.483423
5,5,5,5,Radha,9.016847,11.466896,2.4500490000000004
6,6,6,6,Yesu (Radha & Ranga batch),9.016847,11.466896,2.4500490000000004
7,7,7,7,Ambati Subbarao (Radha & Ranga batch),9.050181,11.466896,2.416715
8,8,8,8,Narrator,10.450209,11.466896,1.016687000000001
9,9,9,9,Chalasani Venkataratnam,11.233558,11.466896,0.23333799999999985
10,10,10,10,Radha,11.600232000000002,15.716981000000002,4.116749
11,11,11,11,Yesu (Radha & Ranga batch),11.616899000000002,15.716981000000002,4.100082
12,12,12,12,Ambati Subbarao (Radha & Ranga batch),11.633566000000002,15.716981000000002,4.0834150000000005
13,13,13,13,Chalasani Venkataratnam,12.266912,15.716981000000002,3.4500690000000027
14,14,14,14,Radha,16.133656000000002,18.033694,1.9000379999999983
15,15,15,15,Yesu (Radha & Ranga batch),16.133656000000002,18.033694,1.9000379999999983
16,16,16,16,Narrator,17.883691000000006,18.033694,0.15000299999999456
17,17,17,17,Narrator,18.033694,23.433802000000004,5.400108000000002
18,18,18,18,Radha,18.100362,23.433802000000004,5.333440000000003
19,19,19,19,Chalasani Venkataratnam,18.750375,23.433802000000004,4.6834270000000044
20,20,20,20,Ambati Subbarao (Radha & Ranga batch),18.800376,23.433802000000004,4.6334260000000045
21,21,21,21,Yesu (Radha & Ranga batch),19.750395,23.433802000000004,3.6834070000000025
22,22,22,22,Narrator,23.433802000000004,27.967226000000004,4.533424
23,23,23,23,Ambati Subbarao (Radha & Ranga batch),23.700474000000003,27.967226000000004,4.2667519999999985
24,24,24,24,Yesu (Radha & Ranga batch),23.700474000000003,27.967226000000004,4.2667519999999985
25,25,25,25,Radha,23.783809,27.967226000000004,4.183417000000002
26,26,26,26,Devineni Gandhi,25.317173000000004,27.967226000000004,2.6500529999999998
27,27,27,27,Devineni Nehru,25.317173000000004,27.967226000000004,2.6500529999999998
28,28,28,28,Narrator,27.983893,30.0006,2.016707
29,29,29,29,Devineni Gandhi,27.983893,30.0006,2.016707
30,30,30,30,Devineni Nehru,27.983893,30.0006,2.016707
31,31,31,31,Devineni Murali,28.083895000000002,30.0006,1.9167049999999968
32,32,32,32,Gandhi Mother,28.500570000000003,30.0006,1.5000299999999953
33,33,33,33,Devineni Nehru,30.0006,37.41741500000001,7.416815000000013
34,34,34,34,Devineni Murali,30.0006,37.41741500000001,7.416815000000013
35,35,35,35,Nehru Wife,30.0006,37.41741500000001,7.416815000000013
36,36,36,36,Radha,30.050601000000004,37.41741500000001,7.366814000000009
37,37,37,37,Yesu (Radha & Ranga batch),30.050601000000004,37.41741500000001,7.366814000000009
38,38,38,38,Ambati Subbarao (Radha & Ranga batch),30.067268,37.41741500000001,7.350147000000013
39,39,39,39,Devineni Gandhi,30.100602000000002,37.41741500000001,7.31681300000001
40,40,40,40,Ranga,31.33396,37.41741500000001,6.083455000000013
41,41,41,41,Ratna Kumari,31.45062900000001,37.41741500000001,5.966786000000003
42,42,42,42,Ratna Kumari,37.41741500000001,38.184097,0.7666819999999888
43,43,43,43,Narrator,37.41741500000001,38.184097,0.7666819999999888
44,44,44,44,Ranga,37.434082000000004,38.184097,0.7500149999999977
45,45,45,45,Devineni Gandhi,37.567418,38.184097,0.6166789999999978
46,46,46,46,Devineni Nehru,37.567418,38.184097,0.6166789999999978
47,47,47,47,Radha,37.900758,38.184097,0.283338999999998
48,48,48,48,Ambati Subbarao (Radha & Ranga batch),37.967426,38.184097,0.2166709999999981
49,49,49,49,Yesu (Radha & Ranga batch),37.967426,38.184097,0.2166709999999981
50,50,50,50,Narrator,39.417455,42.600852,3.1833970000000065
51,51,51,51,CPI Leader,39.434122,42.600852,3.166730000000001
52,52,52,52,Nageswara Rao,41.33416,42.600852,1.2666920000000057
53,53,53,53,Radha murder shopkeeper,42.600852,47.41761500000001,4.816763000000009
54,54,54,54,CPI Leader,43.600872,47.41761500000001,3.8167430000000095
55,55,55,55,Nageswara Rao,44.15088300000001,47.41761500000001,3.2667320000000046
56,56,56,56,Radha,44.15088300000001,47.41761500000001,3.2667320000000046
57,57,57,57,Ambati Subbarao (Radha & Ranga batch),44.33422,47.41761500000001,3.0833950000000097
