,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Ranganath,1.0833549999999998,4.600092,3.5167370000000004
1,1,1,1,Veera Reddy,2.316713,4.600092,2.283379
2,2,2,2,Shekhar,5.683447,18.900378000000003,13.216931000000002
3,3,3,3,Gowri,6.7168009999999985,18.900378000000003,12.183577000000005
4,4,4,4,Chanti,8.416835,18.900378000000003,10.483543000000003
5,5,5,5,Pandu,8.416835,18.900378000000003,10.483543000000003
6,6,6,6,Cable Satti,12.450249000000001,18.900378000000003,6.450129000000002
7,7,7,7,Grandma,14.666960000000001,18.900378000000003,4.233418000000002
8,8,8,8,Chanti,18.933712000000003,35.0007,16.066988000000002
9,9,9,9,Pandu,18.933712000000003,35.0007,16.066988000000002
10,10,10,10,Grandma,18.950379,35.0007,16.050321
11,11,11,11,Cable Satti,19.983733,35.0007,15.016967000000001
12,12,12,12,Gowri,24.017147,35.0007,10.983553
13,13,13,13,Shekhar,24.033814000000003,35.0007,10.966886
14,14,14,14,Veera Reddy,26.733868,35.0007,8.266832
15,15,15,15,Kannababu,26.967206,35.0007,8.033494000000001
16,16,16,16,Gowri,35.017367,46.73426800000001,11.716901000000007
17,17,17,17,Shekhar,35.017367,46.73426800000001,11.716901000000007
18,18,18,18,Chanti,39.484123,46.73426800000001,7.25014500000001
19,19,19,19,Pandu,39.50079,46.73426800000001,7.233478000000005
20,20,20,20,Venkatlakshmi,42.38418100000001,46.73426800000001,4.350086999999995
21,21,21,21,Cable Satti,46.167590000000004,46.73426800000001,0.5666780000000031
22,22,22,22,Venkatlakshmi,46.75093500000001,60.201204000000004,13.450268999999993
23,23,23,23,Chanti,46.75093500000001,60.201204000000004,13.450268999999993
24,24,24,24,Pandu,46.75093500000001,60.201204000000004,13.450268999999993
25,25,25,25,Cable Satti,49.38432100000001,60.201204000000004,10.816882999999995
26,26,26,26,Shekhar,54.73442800000001,60.201204000000004,5.466775999999998
27,27,27,27,Chanti,60.217871,71.884771,11.666899999999998
28,28,28,28,Pandu,60.217871,71.884771,11.666899999999998
29,29,29,29,Grandma,60.484543,71.884771,11.400227999999998
30,30,30,30,Venkatlakshmi,61.48456300000001,71.884771,10.400207999999992
31,31,31,31,Shekhar,66.467996,71.884771,5.416775000000001
32,32,32,32,Veera Reddy,71.26809200000002,71.884771,0.6166789999999764
33,33,33,33,Kannababu,71.26809200000002,71.884771,0.6166789999999764
34,34,34,34,Chanti,71.90143800000001,82.88499100000001,10.983553
35,35,35,35,Pandu,71.90143800000001,82.88499100000001,10.983553
36,36,36,36,Shekhar,71.90143800000001,82.88499100000001,10.983553
37,37,37,37,Venkatlakshmi,73.201464,82.88499100000001,9.683527000000012
38,38,38,38,Gowri,75.38484100000002,82.88499100000001,7.500149999999992
39,39,39,39,Veera Reddy,77.88489100000002,82.88499100000001,5.000099999999988
40,40,40,40,Kannababu,77.88489100000002,82.88499100000001,5.000099999999988
41,41,41,41,Chanti,82.95165899999998,92.785189,9.833530000000025
42,42,42,42,Pandu,82.95165899999998,92.785189,9.833530000000025
43,43,43,43,Shekhar,82.95165899999998,92.785189,9.833530000000025
44,44,44,44,Venkatlakshmi,83.36833399999998,92.785189,9.416855000000027
45,45,45,45,Veera Reddy,85.53504400000001,92.785189,7.2501449999999865
46,46,46,46,Kannababu,85.58504500000002,92.785189,7.200143999999981
47,47,47,47,Gowri,89.76846200000001,92.785189,3.016726999999989
48,48,48,48,Veera Reddy,92.918525,107.00214,14.083614999999995
49,49,49,49,Gowri,92.918525,107.00214,14.083614999999995
50,50,50,50,Shekhar,93.368534,107.00214,13.633606
51,51,51,51,Pandu,94.885231,107.00214,12.116908999999993
52,52,52,52,Chanti,94.91856500000002,107.00214,12.083574999999984
53,53,53,53,Venkatlakshmi,95.368574,107.00214,11.633566000000002
54,54,54,54,Kannababu,97.518617,107.00214,9.483522999999991
55,55,55,55,Kannababu,107.035474,118.752375,11.716901000000007
56,56,56,56,Veera Reddy,107.052141,118.752375,11.700233999999995
57,57,57,57,Chanti,107.652153,118.752375,11.100222000000002
58,58,58,58,Pandu,107.652153,118.752375,11.100222000000002
59,59,59,59,Cable Satti,110.685547,118.752375,8.066828000000001
60,60,60,60,Shekhar,111.38556100000001,118.752375,7.366813999999992
61,61,61,61,Gowri,112.285579,118.752375,6.466796000000002
62,62,62,62,Venkatlakshmi,113.235598,118.752375,5.516777000000005
63,63,63,63,Gowri,118.769042,135.202704,16.433662000000012
64,64,64,64,Shekhar,118.769042,135.202704,16.433662000000012
65,65,65,65,Venkatlakshmi,119.46905600000001,135.202704,15.733648000000002
66,66,66,66,Chanti,119.50239,135.202704,15.700314000000004
67,67,67,67,Pandu,119.50239,135.202704,15.700314000000004
68,68,68,68,Veera Reddy,120.71908100000002,135.202704,14.483622999999994
69,69,69,69,Kannababu,122.38578100000001,135.202704,12.816923000000005
70,70,70,70,Grandma,123.469136,135.202704,11.733568000000005
71,71,71,71,Cable Satti,123.469136,135.202704,11.733568000000005
72,72,72,72,Ranganath,125.985853,135.202704,9.216851000000004
